cluster,task_dep,family_dep,model,pearson_delta_dep,pearson_delta_rep,delta_vs_floor_mean_dep,delta_vs_floor_mean_rep,beats_floor_mean_dep,beats_floor_mean_rep,abs_diff,verdict_flip
C1,cytokine/Kang,Latent,CPA,0.7111,0.7111,0.0262,0.0262,True,True,0.0,False
C1,cytokine/Kang,Latent,scGen,0.7645,0.7497,0.0795,0.0647,True,True,0.0148,False
C2,donor/Soskic,Latent,CPA,0.1966,0.1958,0.0485,0.0478,True,True,0.0008,False
C2,donor/Soskic,OT,CellOT,0.3691,0.3666,0.2211,0.2186,True,True,0.0025,False
C2,donor/Soskic,Hybrid,STATE,0.183,0.183,0.035,0.035,True,True,0.0,False
C2,donor/Soskic,Latent,scGen,0.1436,0.147,-0.0044,-0.001,False,False,0.0034,False
C2,donor/Soskic,OT,scPRAM,0.1592,0.1592,0.0112,0.0112,True,True,0.0,False
C3,gene/CRISPR,Graph,AttentionPert,0.2139,0.2244,-0.1813,-0.1708,False,False,0.0105,False
C3,gene/CRISPR,OT,CINEMA-OT,0.4579,0.4579,0.0627,0.0627,True,True,0.0,False
C3,gene/CRISPR,Latent,CPA,0.0735,0.0586,-0.3217,-0.3366,False,False,0.0149,False
C3,gene/CRISPR,Graph,GEARS,0.2004,0.1738,-0.1948,-0.2213,False,False,0.0266,False
C3,gene/CRISPR,Hybrid,PertAdapt,-0.0014,-0.0014,-0.3965,-0.3965,False,False,0.0,False
C3,gene/CRISPR,Hybrid,STATE,-0.0206,-0.0206,-0.4157,-0.4157,False,False,0.0,False
C3,gene/CRISPR,Foundation,scFoundation,0.0437,0.0444,-0.3514,-0.3507,False,False,0.0007,False
C3,gene/CRISPR,Foundation,scGPT,0.0582,0.2164,-0.3369,-0.1788,False,False,0.1582,False
C3,gene/CRISPR,Latent,scGen,0.0796,0.1049,-0.3156,-0.2902,False,False,0.0253,False
C4,complex/Frangieh,Graph,AttentionPert,0.5113,0.5098,0.0391,0.0376,True,True,0.0015,False
C4,complex/Frangieh,Latent,CPA,0.5348,0.5348,0.0625,0.0625,True,True,0.0,False
C4,complex/Frangieh,OT,CellOT,0.5917,0.5917,0.1195,0.1195,True,True,0.0,False
C4,complex/Frangieh,Graph,GEARS,0.443,0.4404,-0.0293,-0.0318,False,False,0.0026,False
C4,complex/Frangieh,Hybrid,STATE,0.0254,0.0254,-0.4469,-0.4469,False,False,0.0,False
C4,complex/Frangieh,Latent-context,linear-shift-KOemb,0.6177,0.6177,0.1454,0.1454,True,True,0.0,False
C4,complex/Frangieh,Latent,scGen,0.5455,0.5564,0.0732,0.0841,True,True,0.0109,False
C4,complex/Frangieh,OT,scPRAM,0.3152,0.3152,-0.1571,-0.1571,False,False,0.0,False
C5,small-mol/OP3,OT,CINEMA-OT,0.2533,0.2533,0.1061,0.1061,True,True,0.0,False
C5,small-mol/OP3,Latent,CPA,0.0536,0.041,-0.0936,-0.1062,False,False,0.0126,False
C5,small-mol/OP3,Chemistry,FP-ridge,0.3874,0.3874,0.2402,0.2402,True,True,0.0,False
C5,small-mol/OP3,Hybrid,STATE,0.0555,0.0601,-0.0917,-0.0871,False,False,0.0046,False
C5,small-mol/OP3,Latent,scGen,0.177,0.1797,0.0298,0.0325,True,True,0.0027,False
C5,small-mol/OP3,OT,CINEMA-OT,0.1718,0.1718,0.0108,0.0108,True,True,0.0,False
C5,small-mol/OP3,Latent,CPA,0.1587,0.1067,-0.0023,-0.0543,False,False,0.052,False
C5,small-mol/OP3,Chemistry,FP-ridge,0.1642,0.1642,0.0032,0.0032,True,True,0.0,False
C5,small-mol/OP3,Hybrid,STATE,-0.0032,0.0045,-0.1642,-0.1565,False,False,0.0077,False
C5,small-mol/OP3,Chemistry,chemCPA,0.1116,0.116,-0.0494,-0.0449,False,False,0.0044,False
C5,small-mol/OP3,Latent,scGen,0.0862,0.0702,-0.0748,-0.0908,False,False,0.016,False
