held,model,family,pearson_delta,e_distance,n_test,n_strata,leak_free
B,scGen,latent,0.7674,14.4307,573,8,True
B,ctrl-pred,simple,-0.023,20.1666,573,8,True
B,cell-mean,simple,0.665,21.4355,573,8,True
B,donor-shift,simple,0.8287,13.3892,573,8,True
B,linear-PCA,simple,0.8292,13.3777,573,8,True
DC,scGen,latent,0.7315,22.3943,229,8,True
DC,ctrl-pred,simple,0.004,28.8901,229,8,True
DC,cell-mean,simple,0.7119,24.8175,229,8,True
DC,donor-shift,simple,0.8215,18.4772,229,8,True
DC,linear-PCA,simple,0.8223,18.4573,229,8,True
Mk,scGen,latent,0.5442,24.456,113,8,True
Mk,ctrl-pred,simple,0.0133,25.8854,113,8,True
Mk,cell-mean,simple,0.5345,25.575,113,8,True
Mk,donor-shift,simple,0.6031,23.6118,113,8,True
Mk,linear-PCA,simple,0.6024,23.6202,113,8,True
Monocyte,scGen,latent,0.6642,23.2106,1150,8,True
Monocyte,ctrl-pred,simple,0.0128,30.8863,1150,8,True
Monocyte,cell-mean,simple,0.3511,36.8801,1150,8,True
Monocyte,donor-shift,simple,0.7838,20.3652,1150,8,True
Monocyte,linear-PCA,simple,0.7849,20.3462,1150,8,True
NK,scGen,latent,0.7461,14.7178,549,8,True
NK,ctrl-pred,simple,-0.0004,19.192,549,8,True
NK,cell-mean,simple,0.5816,21.6709,549,8,True
NK,donor-shift,simple,0.7832,14.4748,549,8,True
NK,linear-PCA,simple,0.7829,14.478,549,8,True
Tcell,scGen,latent,0.8103,12.6517,1077,8,True
Tcell,ctrl-pred,simple,-0.029,15.9533,1077,8,True
Tcell,cell-mean,simple,0.6298,23.9703,1077,8,True
Tcell,donor-shift,simple,0.7868,14.5148,1077,8,True
Tcell,linear-PCA,simple,0.7859,14.5281,1077,8,True
