lineage,baseline,model_family,pearson_delta,ifn_recovery,ifn_obs_mean_delta,n_strata,leak_free
B,ctrl-pred,simple,-0.023,0.0,0.1972,8,True
B,cell-mean,simple,0.665,0.0,0.1972,8,True
B,donor-shift,simple,0.8287,0.0,0.1972,8,True
B,linear-PCA,simple,0.8292,0.0,0.1972,8,True
CD4T,ctrl-pred,simple,-0.0037,0.0,0.1361,8,True
CD4T,cell-mean,simple,0.6203,0.0,0.1361,8,True
CD4T,donor-shift,simple,0.7854,0.0,0.1361,8,True
CD4T,linear-PCA,simple,0.7845,0.0,0.1361,8,True
CD8T,ctrl-pred,simple,0.0194,0.0,0.1758,8,True
CD8T,cell-mean,simple,0.6187,0.0,0.1758,8,True
CD8T,donor-shift,simple,0.722,0.0,0.1758,8,True
CD8T,linear-PCA,simple,0.7211,0.0,0.1758,8,True
DC,ctrl-pred,simple,0.004,0.0,0.2634,8,True
DC,cell-mean,simple,0.7119,0.0,0.2634,8,True
DC,donor-shift,simple,0.8215,0.0,0.2634,8,True
DC,linear-PCA,simple,0.8223,0.0,0.2634,8,True
Mk,ctrl-pred,simple,0.0133,0.0,0.1418,8,True
Mk,cell-mean,simple,0.5345,0.0,0.1418,8,True
Mk,donor-shift,simple,0.6031,0.0,0.1418,8,True
Mk,linear-PCA,simple,0.6024,0.0,0.1418,8,True
Mono_CD14,ctrl-pred,simple,-0.0193,0.0,0.3094,8,True
Mono_CD14,cell-mean,simple,0.4559,0.0,0.3094,8,True
Mono_CD14,donor-shift,simple,0.819,0.0,0.3094,8,True
Mono_CD14,linear-PCA,simple,0.819,0.0,0.3094,8,True
Mono_FCGR3A,ctrl-pred,simple,0.0054,0.0,0.2973,8,True
Mono_FCGR3A,cell-mean,simple,0.5287,0.0,0.2973,8,True
Mono_FCGR3A,donor-shift,simple,0.8807,0.0,0.2973,8,True
Mono_FCGR3A,linear-PCA,simple,0.8813,0.0,0.2973,8,True
NK,ctrl-pred,simple,-0.0004,0.0,0.2356,8,True
NK,cell-mean,simple,0.5816,0.0,0.2356,8,True
NK,donor-shift,simple,0.7832,0.0,0.2356,8,True
NK,linear-PCA,simple,0.7829,0.0,0.2356,8,True
