lineage,model,obs_ifn_delta,pred_ifn_delta,bulk_pearson_delta,leak_free
B,scGen,0.1982,0.1317,0.7674,True
B,ctrl-pred,0.1982,-0.0055,-0.023,True
B,cell-mean,0.1982,0.3059,0.665,True
B,donor-shift,0.1982,0.2324,0.8287,True
B,linear-PCA,0.1982,0.2302,0.8292,True
CD4T,scGen,0.136,0.1395,0.7768,True
CD4T,ctrl-pred,0.136,-0.0026,-0.0037,True
CD4T,cell-mean,0.136,0.326,0.6203,True
CD4T,donor-shift,0.136,0.2445,0.7854,True
CD4T,linear-PCA,0.136,0.2395,0.7845,True
CD8T,scGen,0.1784,0.2318,0.7718,True
CD8T,ctrl-pred,0.1784,-0.0047,0.0194,True
CD8T,cell-mean,0.1784,0.3061,0.6187,True
CD8T,donor-shift,0.1784,0.2753,0.722,True
CD8T,linear-PCA,0.1784,0.2682,0.7211,True
DC,scGen,0.2607,0.138,0.7315,True
DC,ctrl-pred,0.2607,-0.0049,0.004,True
DC,cell-mean,0.2607,0.2951,0.7119,True
DC,donor-shift,0.2607,0.2237,0.8215,True
DC,linear-PCA,0.2607,0.2194,0.8223,True
Mk,scGen,0.146,0.2428,0.5442,True
Mk,ctrl-pred,0.146,-0.005,0.0133,True
Mk,cell-mean,0.146,0.3007,0.5345,True
Mk,donor-shift,0.146,0.3057,0.6031,True
Mk,linear-PCA,0.146,0.3035,0.6024,True
Mono_CD14,scGen,0.3095,0.1146,0.8352,True
Mono_CD14,ctrl-pred,0.3095,-0.0054,-0.0193,True
Mono_CD14,cell-mean,0.3095,0.2667,0.4559,True
Mono_CD14,donor-shift,0.3095,0.2217,0.819,True
Mono_CD14,linear-PCA,0.3095,0.2189,0.819,True
Mono_FCGR3A,scGen,0.2968,0.2508,0.8243,True
Mono_FCGR3A,ctrl-pred,0.2968,-0.0099,0.0054,True
Mono_FCGR3A,cell-mean,0.2968,0.2744,0.5287,True
Mono_FCGR3A,donor-shift,0.2968,0.2972,0.8807,True
Mono_FCGR3A,linear-PCA,0.2968,0.2965,0.8813,True
NK,scGen,0.2357,0.2635,0.7461,True
NK,ctrl-pred,0.2357,-0.0079,-0.0004,True
NK,cell-mean,0.2357,0.2885,0.5816,True
NK,donor-shift,0.2357,0.3121,0.7832,True
NK,linear-PCA,0.2357,0.3093,0.7829,True
