cluster,dataset,modality,split,baseline,family,action,headline_eligible,registry_task,pearson_delta,pearson_delta_ontarget,e_distance,aucell_program_corr,aucell::type_i_ifn,ran
C1,kang_GSE96583,,C1_lodo_101,CPA,latent,run_headline,True,C1_LOCT,0.6595053672790527,0.6595053672790527,20.18355423720184,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_101,cell-mean,simple,run_headline,True,C1_LOCT,0.6732544451951981,0.6732544451951981,20.150431164509527,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_101,ctrl-pred,simple,run_headline,True,C1_LOCT,0.00843779623392038,0.00843779623392038,27.9795415011736,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_101,donor-shift,simple,run_headline,True,C1_LOCT,0.666316032409668,0.666316032409668,20.09212203520034,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_101,linear-PCA,simple,run_headline,True,C1_LOCT,0.6659144312143326,0.6659144312143326,20.092120914181848,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_101,scGen,latent,run_headline,True,C1_LOCT,0.6689054742455482,0.6689054742455482,20.173015494563927,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1015,CPA,latent,run_headline,True,C1_LOCT,0.6920121908187866,0.6920121908187866,19.29480268417828,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1015,cell-mean,simple,run_headline,True,C1_LOCT,0.7089361250400543,0.7089361250400543,19.11025343116787,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1015,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.017618864236283116,-0.017618864236283116,27.96544403148033,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1015,donor-shift,simple,run_headline,True,C1_LOCT,0.7071663588285446,0.7071663588285446,19.125853293200535,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1015,linear-PCA,simple,run_headline,True,C1_LOCT,0.706970252096653,0.706970252096653,19.125853286703222,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1015,scGen,latent,run_headline,True,C1_LOCT,0.6937925145030022,0.6937925145030022,19.527172458054647,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1016,CPA,latent,run_headline,True,C1_LOCT,0.6176768019795418,0.6176768019795418,19.844146882130907,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1016,cell-mean,simple,run_headline,True,C1_LOCT,0.6250491999089718,0.6250491999089718,19.785450580938633,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1016,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.0378071692539379,-0.0378071692539379,26.128709589078667,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1016,donor-shift,simple,run_headline,True,C1_LOCT,0.6286021880805492,0.6286021880805492,19.735171224642897,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1016,linear-PCA,simple,run_headline,True,C1_LOCT,0.628358282148838,0.628358282148838,19.735168805072608,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1016,scGen,latent,run_headline,True,C1_LOCT,0.623886164277792,0.623886164277792,19.570084189464517,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1039,CPA,latent,run_headline,True,C1_LOCT,0.6131768152117729,0.6131768152117729,21.328857023956083,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1039,cell-mean,simple,run_headline,True,C1_LOCT,0.6485127992928028,0.6485127992928028,20.677611374054166,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1039,ctrl-pred,simple,run_headline,True,C1_LOCT,0.004367632907815278,0.004367632907815278,28.523373729550592,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1039,donor-shift,simple,run_headline,True,C1_LOCT,0.623202919960022,0.623202919960022,21.046062712435585,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1039,linear-PCA,simple,run_headline,True,C1_LOCT,0.6231609284877777,0.6231609284877777,21.046063052096216,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1039,scGen,latent,run_headline,True,C1_LOCT,0.6313196606934071,0.6313196606934071,20.946368996238995,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_107,CPA,latent,run_headline,True,C1_LOCT,0.6105209179222584,0.6105209179222584,21.628604397454282,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_107,cell-mean,simple,run_headline,True,C1_LOCT,0.6332962960004807,0.6332962960004807,21.22487845363404,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_107,ctrl-pred,simple,run_headline,True,C1_LOCT,0.004224001080729067,0.004224001080729067,29.331120517073145,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_107,donor-shift,simple,run_headline,True,C1_LOCT,0.6180873177945614,0.6180873177945614,21.471959583614908,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_107,linear-PCA,simple,run_headline,True,C1_LOCT,0.6180177330970764,0.6180177330970764,21.47195924686782,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_107,scGen,latent,run_headline,True,C1_LOCT,0.6183772012591362,0.6183772012591362,21.632812644666863,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1244,CPA,latent,run_headline,True,C1_LOCT,0.6409059204161167,0.6409059204161167,21.474261979783442,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1244,cell-mean,simple,run_headline,True,C1_LOCT,0.6583342663943768,0.6583342663943768,21.178799804265296,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1244,ctrl-pred,simple,run_headline,True,C1_LOCT,0.014184749335981905,0.014184749335981905,29.279655271092995,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1244,donor-shift,simple,run_headline,True,C1_LOCT,0.6599810048937798,0.6599810048937798,21.030288246900092,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1244,linear-PCA,simple,run_headline,True,C1_LOCT,0.6599909514188766,0.6599909514188766,21.03028789857425,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1244,scGen,latent,run_headline,True,C1_LOCT,0.6513919904828072,0.6513919904828072,21.429199849626535,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1256,CPA,latent,run_headline,True,C1_LOCT,0.6449492871761322,0.6449492871761322,19.98908384156236,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1256,cell-mean,simple,run_headline,True,C1_LOCT,0.6491790525615215,0.6491790525615215,20.101951013491536,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1256,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.029022505274042487,-0.029022505274042487,27.427310158709094,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1256,donor-shift,simple,run_headline,True,C1_LOCT,0.6523088067770004,0.6523088067770004,20.02058642265557,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1256,linear-PCA,simple,run_headline,True,C1_LOCT,0.6523660011589527,0.6523660011589527,20.02058598518502,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1256,scGen,latent,run_headline,True,C1_LOCT,0.6509907692670822,0.6509907692670822,19.899314211166114,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1488,CPA,latent,run_headline,True,C1_LOCT,0.6560374014079571,0.6560374014079571,20.59747397452406,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1488,cell-mean,simple,run_headline,True,C1_LOCT,0.6827076300978661,0.6827076300978661,20.207639982832895,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1488,ctrl-pred,simple,run_headline,True,C1_LOCT,0.04281143838306889,0.04281143838306889,28.50809242323139,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1488,donor-shift,simple,run_headline,True,C1_LOCT,0.6794200241565704,0.6794200241565704,20.174163772506326,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1488,linear-PCA,simple,run_headline,True,C1_LOCT,0.6791699752211571,0.6791699752211571,20.174163978501376,0.0,0.0,True
C1,kang_GSE96583,,C1_lodo_1488,scGen,latent,run_headline,True,C1_LOCT,0.6762623116374016,0.6762623116374016,20.227016240754,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f101,CPA,latent,run_headline,True,C1_LOCT,0.6595079600811005,0.6595079600811005,20.263212873180983,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f101,cell-mean,simple,run_headline,True,C1_LOCT,0.673910990357399,0.673910990357399,19.987122534870853,0.0,0.0,True
