baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::type_i_ifn,cluster,dataset,modality
ctrl-pred,simple,C1_loct_B,C1_LOCT,run_headline,True,0,True,True,6191,573,8,-0.0230008895159699,-0.0350478699663653,-0.0107284255180275,-0.0230008895159699,18.456674351499696,17.94558306600894,19.01071280019656,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_loct_B,C1_LOCT,run_headline,True,0,True,True,6191,573,8,0.665027529001236,0.6474159445613623,0.6810749568045139,0.665027529001236,19.40373053738321,18.989226864640504,19.848035871964584,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_loct_B,C1_LOCT,run_headline,True,0,True,True,6191,573,8,0.8287310004234314,0.8156589835882186,0.8409109160304069,0.8287310004234314,8.074922939906596,7.861186655567297,8.26576848225942,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_loct_B,C1_LOCT,run_headline,True,0,True,True,6191,573,8,0.8291792422533035,0.8162444930523635,0.8413440391421318,0.8291792422533035,8.074921651857387,7.86118544679731,8.265766693968443,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_loct_CD4T,C1_LOCT,run_headline,True,0,True,True,6040,638,8,-0.0036910806084051,-0.016178839051281,0.0088550478016258,-0.0036910806084051,14.398840259885358,13.85283927809153,14.933998085244216,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_loct_CD4T,C1_LOCT,run_headline,True,0,True,True,6040,638,8,0.6202834099531174,0.576731532253325,0.6635783914476633,0.6202834099531174,23.06118069399911,21.86758662066464,24.17401920271546,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_loct_CD4T,C1_LOCT,run_headline,True,0,True,True,6040,638,8,0.7853800654411316,0.7695075124502182,0.799826729670167,0.7853800654411316,10.887107370868122,10.541673397306624,11.211028337846534,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_loct_CD4T,C1_LOCT,run_headline,True,0,True,True,6040,638,8,0.7845205888152122,0.7686713125556708,0.7990030096843839,0.7845205888152122,10.887104855826824,10.54167126491823,11.211024226919834,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_loct_CD8T,C1_LOCT,run_headline,True,0,True,True,6399,439,8,0.0194379523745737,0.0090142618282698,0.0299933016227441,0.0194379523745737,14.759000179376518,13.990801880764115,15.466054807981209,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_loct_CD8T,C1_LOCT,run_headline,True,0,True,True,6399,439,8,0.6186532527208328,0.5803249469026923,0.64982920140028,0.6186532527208328,18.448633083102045,17.911124981689852,19.004050504925967,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_loct_CD8T,C1_LOCT,run_headline,True,0,True,True,6399,439,8,0.7220446318387985,0.658444207534194,0.771838067471981,0.7220446318387985,11.102067197864624,10.506357320456631,11.833672451957122,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_loct_CD8T,C1_LOCT,run_headline,True,0,True,True,6399,439,8,0.7210860922932625,0.657283621095121,0.7710776457563042,0.7210860922932625,11.1020658973748,10.506355631721146,11.833671436548816,0.0,0.0,C1,kang_GSE96583,
