axis,dataset,timepoint,split,donor,model,family,pearson_delta,e_distance,aucell::T_cell_activation_n_genes,aucell::T_cell_activation_mae,aucell::IL2_STAT5_n_genes,aucell::IL2_STAT5_mae,aucell::type_I_IFN_n_genes,aucell::type_I_IFN_mae,aucell::type_II_IFN_n_genes,aucell::type_II_IFN_mae,aucell_delta_mae,aucell_delta_score,n_test,n_strata,n_response_genes,leak_free,source_file
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D348,D348,cell-mean,simple,0.2442,5.7799,4,0.0125,3,0.026,3,0.2187,5,0.0242,0.0703,-0.0703,600,2,83,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D348,D348,ctrl-pred,simple,-0.0193,5.7836,4,0.0125,3,0.026,3,0.0444,5,0.0242,0.0268,-0.0268,600,2,83,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D348,D348,donor-shift,simple,-0.0193,5.8084,4,0.0125,3,0.026,3,0.0444,5,0.0242,0.0268,-0.0268,600,2,83,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D348,D348,linear-PCA,simple,-0.0351,5.8057,4,0.0125,3,0.026,3,0.0444,5,0.0242,0.0268,-0.0268,600,2,83,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D348,D348,scGen,latent,0.1288322114353992,5.8834,4,0.0125,3,0.2196,3,0.0444,5,0.0242,0.0752,-0.0752,600,2,83,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D349,D349,cell-mean,simple,0.2732,5.9293,4,0.0167,3,0.0215,3,0.1895,5,0.0214,0.0623,-0.0623,600,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D349,D349,ctrl-pred,simple,-0.0343,5.9149,4,0.0167,3,0.1714,3,0.0843,5,0.0214,0.0735,-0.0735,600,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D349,D349,donor-shift,simple,0.0576,5.9307,4,0.0167,3,0.1188,3,0.2071,5,0.0214,0.091,-0.091,600,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D349,D349,linear-PCA,simple,-0.0008,5.929,4,0.0167,3,0.1539,3,0.2071,5,0.0214,0.0998,-0.0998,600,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D349,D349,scGen,latent,0.1145555249638391,6.0244,4,0.0227,3,0.0215,3,0.2773,5,0.0523,0.0935,-0.0935,600,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D350,D350,cell-mean,simple,0.1751,6.7677,4,0.0124,3,0.0186,3,0.2545,5,0.0248,0.0776,-0.0776,555,2,83,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D350,D350,ctrl-pred,simple,-0.0711,6.8253,4,0.0124,3,0.0186,3,0.0262,5,0.0068,0.016,-0.016,555,2,83,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D350,D350,donor-shift,simple,0.0003,6.818,4,0.0124,3,0.0186,3,0.0111,5,0.0248,0.0167,-0.0167,555,2,83,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D350,D350,linear-PCA,simple,0.0279,6.8179,4,0.0124,3,0.0186,3,0.044,5,0.0248,0.025,-0.025,555,2,83,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D350,D350,scGen,latent,0.1696182566938239,6.8283,4,0.0124,3,0.0186,3,0.0262,5,0.0248,0.0205,-0.0205,555,2,83,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D351,D351,cell-mean,simple,0.234,6.0428,4,0.0124,3,0.0215,3,0.2537,5,0.0181,0.0764,-0.0764,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
