baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,cluster,dataset,modality,n_fallback,n_held,anchor_cellmean_pd
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,23496,1598,2,0.20950395613908768,0.1900830864906311,0.22892482578754425,,C3,shifrut,KO,0,2,0.44821561872959137
nearest-gene-go,simple-repr,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,23496,1598,2,0.26101283729076385,0.1991613507270813,0.3228643238544464,,C3,shifrut,KO,0,2,0.44821561872959137
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,19586,5508,5,-0.10875425785779953,-0.41693269163370134,0.19942417591810227,,C3,shifrut,KO,0,5,0.45106051564216615
nearest-gene-go,simple-repr,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,19586,5508,5,0.2526903375983238,0.15197624117136002,0.3526682198047638,,C3,shifrut,KO,0,5,0.45106051564216615
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,13547,11547,10,0.24286261722445487,0.1749387846700847,0.33120219931006434,,C3,shifrut,KO,0,10,0.38815538585186005
nearest-gene-go,simple-repr,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,13547,11547,10,0.1642387293279171,-0.030419153291731955,0.3010240907222031,,C3,shifrut,KO,0,10,0.38815538585186005
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,19418,1851,7,0.2771648658173425,0.08271744698286057,0.436317619894232,,C3,schmidt,CRISPRa,1,7,0.4557917852486883
nearest-gene-go,simple-repr,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,19418,1851,7,0.28930043429136276,0.058712009872709005,0.5045742524255596,,C3,schmidt,CRISPRa,0,7,0.4557917852486883
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,16153,5116,18,0.23648133842895427,0.1000520969896267,0.362059154964259,,C3,schmidt,CRISPRa,2,18,0.4852153876175483
nearest-gene-go,simple-repr,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,16153,5116,18,0.3013781963640617,0.1902123432373628,0.419699660450634,,C3,schmidt,CRISPRa,0,18,0.4852153876175483
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,10469,10800,36,0.27156557598047787,0.2115248173164825,0.3294384555477235,,C3,schmidt,CRISPRa,3,36,0.5486551825888455
nearest-gene-go,simple-repr,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,10469,10800,36,0.3424392754418982,0.26884620166901085,0.41417167562887897,,C3,schmidt,CRISPRa,0,36,0.5486551825888455
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,18320,1778,2,0.3297305852174759,0.29859834909439087,0.3608628213405609,,C3,mccutcheon_CRISPRi,CRISPRi,0,2,0.45682117342948914
nearest-gene-go,simple-repr,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,18320,1778,2,0.3410979211330414,0.2687144875526428,0.41348135471343994,,C3,mccutcheon_CRISPRi,CRISPRi,0,2,0.45682117342948914
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,15532,4566,6,0.15353304085632166,-0.061146448676784836,0.34290768827001256,,C3,mccutcheon_CRISPRi,CRISPRi,0,6,0.296772542099158
nearest-gene-go,simple-repr,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,15532,4566,6,0.23014945723116398,0.11301817437633878,0.3433634539445241,,C3,mccutcheon_CRISPRi,CRISPRi,0,6,0.296772542099158
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,9681,10417,12,0.19601863987433413,0.05465741922962479,0.34171837583223036,,C3,mccutcheon_CRISPRi,CRISPRi,0,12,0.39979946236902225
nearest-gene-go,simple-repr,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,9681,10417,12,0.23762650252319872,0.10010503711140094,0.38097262082349814,,C3,mccutcheon_CRISPRi,CRISPRi,0,12,0.39979946236902225
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,15908,1781,2,0.2711717486381531,0.1603187918663025,0.38202470541000366,,C3,mccutcheon_CRISPRa,CRISPRa,0,2,0.5917022824287415
nearest-gene-go,simple-repr,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,15908,1781,2,0.4094300717115402,0.3558909595012665,0.46296918392181396,,C3,mccutcheon_CRISPRa,CRISPRa,0,2,0.5917022824287415
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,14278,3411,6,0.21600990742444992,0.05253315946708131,0.35658901184797287,,C3,mccutcheon_CRISPRa,CRISPRa,0,6,0.40206955031802255
nearest-gene-go,simple-repr,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,14278,3411,6,0.23915850992004076,0.044621829843769625,0.42052367826302844,,C3,mccutcheon_CRISPRa,CRISPRa,0,6,0.40206955031802255
nearest-gene-coexpr,simple-repr,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,8790,8899,12,0.27626811775068444,0.1598913089527438,0.3874905345961451,,C3,mccutcheon_CRISPRa,CRISPRa,0,12,0.49395914499958354
nearest-gene-go,simple-repr,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,8790,8899,12,0.17060249958497783,0.041075112274847975,0.3040323263267054,,C3,mccutcheon_CRISPRa,CRISPRa,0,12,0.49395914499958354
