dataset,hold,held_gene,predictability,pd_cell_mean,pd_donor_shift,pd_linear_pca,pd_ctrl,n_test_cells,effect_l2,within_pert_sd,snr,snr_raw,go_jaccard_nn,go_jaccard_k5,coexpr_nn,resp_overlap,n_train_genes
shifrut,10,MEF2D,0.47078660130500793,0.47078660130500793,0.47078660130500793,0.2874092757701874,-0.0053290571086108685,1026,1.067124605178833,0.6302849,0.037867953074106855,1.6930829286575317,0.8888888888888888,0.9323122352389231,0.9417218565940857,0.08695652173913043,18
shifrut,10,STAT6,0.42568591237068176,0.42568591237068176,0.42568591237068176,0.2832189202308655,0.01599428802728653,572,1.2602730989456177,0.6317507,0.04461825028587582,1.9948898553848267,0.9107142857142857,0.9272705384503137,0.9402287602424622,0.08695652173913043,18
shifrut,25,CD5,0.6520848870277405,0.5377721190452576,0.5377721190452576,0.6520848870277405,-0.014235096983611584,1080,1.7759414911270142,0.6282763,0.0632224886533484,2.826688766479492,0.6428571428571428,0.8016354016354017,0.9631707072257996,0.3333333333333333,15
shifrut,25,CDKN1B,0.45041701197624207,0.45041701197624207,0.45041701197624207,0.40399450063705444,-0.030711330473423004,749,1.6182057857513428,0.6266752,0.05775437018418076,2.5822081565856934,0.9310344827586207,0.9437944709073091,0.9273452758789062,0.2345679012345679,15
shifrut,25,HAVCR2,0.39946824312210083,0.39946824312210083,0.39946824312210083,0.07389500737190247,-0.04723922535777092,1355,0.9374886155128479,0.636349,0.03295066806617876,1.473230242729187,0.935483870967742,0.9546911541741738,0.9324595928192139,0.08695652173913043,15
shifrut,25,LAG3,0.3648837208747864,0.3648837208747864,0.3648837208747864,0.102999746799469,0.0010696888202801347,840,1.1914230585098267,0.638935,0.041706419296608135,1.8647013902664185,0.6956521739130435,0.8238923395445135,0.8994343280792236,0.05263157894736842,15
shifrut,25,PDCD1,0.5033426284790039,0.5033426284790039,0.5033426284790039,0.29256975650787354,-0.014080573804676533,1484,0.9365148544311523,0.63574994,0.03294746065421793,1.4730868339538574,0.7777777777777778,0.815236635345331,0.9558413028717041,0.08695652173913043,15
shifrut,50,ARID1A,0.3261357247829437,0.3261357247829437,0.3261357247829437,0.2348925620317459,-0.010358802042901516,625,1.6263126134872437,0.63367224,0.05740278363506172,2.566488742828369,0.8888888888888888,0.9533998879080846,0.9778117537498474,0.1111111111111111,10
shifrut,50,BTLA,0.44127127528190613,0.44127127528190613,0.44127127528190613,0.20994892716407776,0.008282418362796307,1412,0.9474866986274719,0.62835276,0.03372587273272384,1.507889747619629,0.6363636363636364,0.7723814229249012,0.948599636554718,0.13636363636363635,10
shifrut,50,CBLB,0.675463855266571,0.5943929553031921,0.5943929553031921,0.675463855266571,0.032077763229608536,1327,1.6561692953109741,0.6275558,0.0590263586773294,2.6390790939331055,0.8529411764705882,0.8949962910065212,0.9452771544456482,0.26582278481012656,10
shifrut,50,CD3D,-0.2397482693195343,-0.2397482693195343,-0.2397482693195343,-0.6637279987335205,0.010825722478330135,856,2.2558677196502686,0.63935566,0.07891593725690658,3.5283455848693848,0.6956521739130435,0.813141351402221,0.8994343280792236,0.4084507042253521,10
shifrut,50,CDKN1B,0.48270919919013977,0.48270919919013977,0.48270919919013977,0.46913471817970276,-0.030711330473423004,749,1.6182057857513428,0.6266752,0.05775437018418076,2.5822081565856934,0.9310344827586207,0.952845552013909,0.9273452758789062,0.2345679012345679,10
shifrut,50,DGKA,0.6786783933639526,0.6786783933639526,0.6786783933639526,0.5183712840080261,0.014742153696715832,2296,0.8727996349334717,0.6310746,0.030933385443089295,1.3830372095108032,0.5185185185185186,0.8457214934994768,0.9172221422195435,0.13636363636363635,10
shifrut,50,HAVCR2,0.32981035113334656,0.32981035113334656,0.32981035113334656,0.012883124873042107,-0.04723922535777092,1355,0.9374886155128479,0.636349,0.03295066806617876,1.473230242729187,0.9310344827586207,0.9532586383782587,0.9098010659217834,0.08695652173913043,10
shifrut,50,STAT6,0.416949063539505,0.416949063539505,0.416949063539505,0.2995684742927551,0.01599428802728653,572,1.2602730989456177,0.6317507,0.04461825028587582,1.9948898553848267,0.8076923076923077,0.9153479853479853,0.9402287602424622,0.06382978723404255,10
shifrut,50,TCEB2,0.493595153093338,0.4505237340927124,0.4505237340927124,0.493595153093338,-0.012851306237280369,929,1.88148832321167,0.6268401,0.06713335458489456,3.001544237136841,0.9047619047619048,0.9332854985240987,0.8994833827018738,0.12359550561797752,10
shifrut,50,TMEM222,0.41569167375564575,0.41569167375564575,0.41569167375564575,0.12945617735385895,-0.014349772594869137,1426,0.9308118224143982,0.63913083,0.0325735975140476,1.4563713073730469,0.8461538461538461,0.883329652803337,0.9515720009803772,0.05263157894736842,10
schmidt,10,ALX4,0.4428744316101074,0.4428744316101074,0.4428744316101074,0.3490799367427826,0.017634285613894463,300,5.434828281402588,0.6725531,0.18073940014544446,8.080890655517578,0.7333333333333334,0.7749637641172792,1.0,0.21951219512195122,66
schmidt,10,APOL2,0.588873028755188,0.588873028755188,0.588873028755188,0.29740360379219055,0.0017834228929132223,300,2.761035203933716,0.68278754,0.09044404165375514,4.043769359588623,0.8181818181818181,0.8839366732338869,0.8499557971954346,0.16279069767441862,66
schmidt,10,EMP3,0.7308810949325562,0.7308810949325562,0.7308810949325562,0.5733398199081421,0.014749294146895409,300,3.712405204772949,0.65725124,0.12633321907353173,5.648380756378174,0.16666666666666663,0.6680555555555555,0.794326663017273,0.26582278481012656,66
schmidt,10,FOSL1,0.474098801612854,0.474098801612854,0.474098801612854,0.33803847432136536,-0.0034094620496034622,300,4.574927806854248,0.66757876,0.15327641698827088,6.853015899658203,0.6666666666666667,0.7909798975167521,0.7634800672531128,0.35135135135135137,66
schmidt,10,INPPL1,0.061457559466362,0.061457559466362,0.061457559466362,-0.25390326976776123,-0.008938586339354515,300,3.9091320037841797,0.7123231,0.12274304492434035,5.487863540649414,0.8604651162790697,0.8976520475648383,0.8312550187110901,0.3157894736842105,66
schmidt,10,LHX6,0.6470624804496765,0.6470624804496765,0.6470624804496765,0.4815533459186554,0.02193685993552208,300,3.637037992477417,0.67319536,0.12083710873264376,5.402648448944092,0.625,0.7133572567783094,0.8915095329284668,0.35135135135135137,66
schmidt,10,PRDM1,0.2415763884782791,0.2415763884782791,0.2415763884782791,0.10869795829057693,-0.028538623824715614,51,8.762580871582031,0.739578,0.2649974245749257,11.848081588745117,0.8076923076923077,0.8603805830309068,0.8035461902618408,0.19047619047619047,66
schmidt,25,AKAP12,0.7340832948684692,0.7340832948684692,0.7340832948684692,0.5401947498321533,0.014333686791360378,300,3.1406431198120117,0.6833533,0.102793793349755,4.59592866897583,0.8805970149253731,0.9036684524011317,0.8191289901733398,0.21951219512195122,55
