cluster,dataset,modality,split,baseline,family,action,headline_eligible,registry_task,pearson_delta,pearson_delta_ontarget,e_distance,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,ran
C3,chen,KO,C3_true_lo_gene_10,AttentionPert,graph,run_headline,True,C3_LO_gene,0.1980707067996263,0.1970937119796872,7.596284716561238,-0.0219582928887353,0.0041600174492197,-0.0566951452193446,0.0,0.0,-0.0572563366735518,True
C3,chen,KO,C3_true_lo_gene_10,CINEMA-OT,ot,run_floor,False,C3_LO_gene,0.4625964432954788,0.4618203714489937,7.520678275210942,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,chen,KO,C3_true_lo_gene_10,CPA,latent,run_adapted,False,C3_LO_gene,0.157911405339837,0.1577132362561921,7.704553368120357,-0.0028353174030732,0.0008189296800291,-0.008174218188499,0.0,0.0,-0.0068212985068965,True
C3,chen,KO,C3_true_lo_gene_10,GEARS,graph,run_headline,True,C3_LO_gene,0.2252963377783695,0.2246386071046193,7.671047988594366,0.0685012892500169,0.1966120704070417,0.0213115003779511,0.0,0.1050066150566761,0.0195762604084157,True
C3,chen,KO,C3_true_lo_gene_10,PertAdapt,hybrid,run_headline,True,C3_LO_gene,-0.0053910068663147,-0.0046821708170076,7.45422350824946,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,chen,KO,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,-0.0620390329466317,-0.0621102822925119,7.5053342314298845,0.0823602970681946,0.2629926060211148,0.1563357006692529,0.0,0.0,-0.0075268213493946,True
C3,chen,KO,C3_true_lo_gene_10,cell-mean,simple,run_headline,True,C3_LO_gene,0.5161272868514061,0.5157459129889806,7.511988168804875,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,chen,KO,C3_true_lo_gene_10,ctrl-pred,simple,run_headline,True,C3_LO_gene,-0.0067895019135903,-0.0060337353478341,7.454223719690165,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,chen,KO,C3_true_lo_gene_10,donor-shift,simple,run_headline,True,C3_LO_gene,0.5161272868514061,0.5157459129889806,7.511988168804875,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,chen,KO,C3_true_lo_gene_10,linear-PCA,simple,run_headline,True,C3_LO_gene,0.3918871557960907,0.3917387962341309,7.511987225841781,0.0,0.0,0.0,0.0,0.0,0.0,True
