baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,cluster,dataset,modality
ctrl-pred,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.0053055908065289,-0.0053600636310875,0.0159712452441453,0.0053477678447961,7.424132896060591,7.383048950957768,7.465216841163414,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
cell-mean,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.4482156187295913,0.425661027431488,0.4707702100276947,0.4482465237379074,7.455128421418298,7.410052004351844,7.500204838484752,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
donor-shift,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.4482156187295913,0.425661027431488,0.4707702100276947,0.4482465237379074,7.455128421418298,7.410052004351844,7.500204838484752,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
linear-PCA,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.2853447496891022,0.2833065092563629,0.2873829901218414,0.2853256613016128,7.455127829838187,7.410051630523913,7.50020402915246,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
ctrl-pred,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,-0.0211530052823945,-0.0343292520148679,-0.0082432131748646,-0.0208141894545406,7.441332863985115,7.33322009129773,7.550493884547604,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
cell-mean,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.4510605156421661,0.3956446647644043,0.506476366519928,0.4514849305152893,7.455592874686812,7.35069515982519,7.571519488559067,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
donor-shift,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.4510605156421661,0.3956446647644043,0.506476366519928,0.4514849305152893,7.455592874686812,7.35069515982519,7.571519488559067,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
linear-PCA,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.3048060849308968,0.1287130743265152,0.5032537102699279,0.305175256729126,7.455592447112099,7.350694684463848,7.571518777555568,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
ctrl-pred,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,-0.0026612319052219,-0.0174224149761721,0.010906170012895,-0.0028258308768272,7.425928902189517,7.367796460574839,7.493245711056266,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
cell-mean,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,0.38815538585186,0.2250240709632636,0.5085046727210282,0.3888227194547653,7.461623249464708,7.39454165004727,7.534264679005541,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
donor-shift,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,0.38815538585186,0.2250240709632636,0.5085046727210282,0.3888227194547653,7.461623249464708,7.39454165004727,7.534264679005541,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
linear-PCA,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,0.2367766298353672,0.0007946661300957,0.4320526570081711,0.2375177236273885,7.461622830349363,7.39454141955008,7.5342641156886305,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
GEARS,graph,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.1749153584241867,0.174443706870079,0.1753870099782943,0.1748015135526657,7.577314100661001,7.4687162292359055,7.685911972086096,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
AttentionPert,graph,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.1443864293396473,0.1154512986540794,0.1733215600252151,0.1442588865756988,7.496829410330058,7.453890213396033,7.539768607264083,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
scGPT,foundation,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,-0.1742522120475769,-0.211233302950859,-0.1372711211442947,-0.1741692423820495,7.675663993252748,7.53095843312428,7.820369553381216,0.1999999999999999,0.0,0.0,0.0,0.9999999999999998,0.0,C3,shifrut,KO
scFoundation,foundation,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,-0.0040379571728408,-0.021878320723772,0.0138024063780903,-0.0040298267267644,7.429732564383061,7.394235781614743,7.465229347151379,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
scGen,latent,C3_true_lo_gene_10,C3_LO_gene,run_adapted,False,0,True,True,23496,1598,2,-0.2077581211924553,-0.2375294119119644,-0.1779868304729461,-0.2077677473425865,10.747055448857283,10.63624642846148,10.85786446925309,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
CPA,latent,C3_true_lo_gene_10,C3_LO_gene,run_adapted,False,0,True,True,23496,1598,2,-0.2119397148489952,-0.2336815446615219,-0.1901978850364685,-0.211912028491497,10.59868569462503,10.524410587036716,10.672960802213344,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.0686448961496353,0.0683966949582099,0.0688930973410606,0.0686899125576019,7.531049241938659,7.4334710282717715,7.62862745560555,0.1999999999999999,0.0,0.0,0.0,0.9999999999999998,0.0,C3,shifrut,KO
PertAdapt,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.0042165662162005,-0.0061150602996349,0.0145481927320361,0.0042588976211845,7.424133168983294,7.3830491687345265,7.465217169232062,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
CINEMA-OT,ot,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,23496,1598,2,0.3873877972364425,0.3724836111068725,0.4022919833660126,0.3874195218086242,7.465370444856484,7.418892205112549,7.5118486846004195,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
GEARS,graph,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.1305865449830889,0.0317645827308297,0.2574676051735878,0.1307146338745951,7.441843992179306,7.289564426601119,7.605879531976585,0.1507707684101756,0.0,0.0,0.0,0.7538538420508779,0.0,C3,shifrut,KO
AttentionPert,graph,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.0551902828738093,0.0193237278610467,0.0912586282938718,0.0554873622022569,7.43209313632961,7.328914316996973,7.531554780155633,0.1377183133718707,0.0,0.0,0.0,0.6885915668593539,0.0,C3,shifrut,KO
scGPT,foundation,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,-0.1268111012876033,-0.408024973813444,0.1542191185057163,-0.1257590245455503,7.5354125295022785,7.310997237912559,7.761690248088087,-0.0701004662331995,0.0,0.0,0.0,-0.3505023311659976,0.0,C3,shifrut,KO
scFoundation,foundation,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,-0.0507994730025529,-0.16950329169631,0.067904345691204,-0.0508261676877737,7.45452398653812,7.335592714571306,7.581194936923074,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
scGen,latent,C3_true_lo_gene_25,C3_LO_gene,run_adapted,False,0,True,True,19586,5508,5,-0.3066629648208618,-0.5799749016761779,-0.0333510279655456,-0.3068818800151348,11.665485531902377,11.0401490687133,12.290996333620392,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
CPA,latent,C3_true_lo_gene_25,C3_LO_gene,run_adapted,False,0,True,True,19586,5508,5,-0.299885955452919,-0.5709885239601136,-0.0287833869457244,-0.3000617355108261,11.34478827774983,10.75958271384817,11.93041309096217,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.0757436574436724,0.0196066188625991,0.1710434660315513,0.0765055872499942,7.559881181680706,7.469011137636426,7.650751225724986,0.0721235623190636,0.0,0.0,0.0,0.3606178115953182,0.0,C3,shifrut,KO
PertAdapt,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,-0.0202672640123637,-0.0365452716127038,-0.0068637515272712,-0.0199344751075841,7.441333069224333,7.333220304983213,7.550494098566548,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
CINEMA-OT,ot,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,19586,5508,5,0.3939568817615509,0.3359675884246826,0.4521196484565735,0.3944653272628784,7.455917505128068,7.350420909566807,7.574465189211861,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
GEARS,graph,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,0.0350791953504085,-0.0693470824137329,0.1297724130935966,0.0362742122262716,7.439141136460527,7.362255084609245,7.5333609436862226,0.0194229547684129,0.0,0.0,0.0,0.0971147738420646,0.0,C3,shifrut,KO
AttentionPert,graph,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,0.0371949579566717,-0.0157189224287867,0.088233171342872,0.0372755467891693,7.422063989286505,7.366245316462699,7.493164960196291,0.014483972390352,0.0,0.0,0.0,0.0724198619517604,0.0,C3,shifrut,KO
scGPT,foundation,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,0.167951531521976,0.0926195277972147,0.2413256901176645,0.1677645554766059,7.439405982564016,7.383729486608182,7.50375643251753,0.1348476489980679,0.0,0.0,0.0,0.6742382449903397,0.0,C3,shifrut,KO
scFoundation,foundation,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,-0.0082412533462047,-0.138289385177195,0.1230755485966801,-0.0077598676085472,7.38125079419382,7.31827043413096,7.454903562003076,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
scGen,latent,C3_true_lo_gene_50,C3_LO_gene,run_adapted,False,0,True,True,13547,11547,10,-0.2201021865010261,-0.4384275789558887,0.0498863875865934,-0.2208157204091549,10.849570210401442,10.294297632369336,11.321288009737795,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
