marker,alias,held_frac_pct,n_held_KO,predDelta,obsDelta_mean,obsDelta_sd,abs_err,sign_match_frac
CD117,CD117,25,62,-0.28627920150756836,-0.33279457688331604,0.22626256942749023,0.04651537537574768,0.9354838709677419
CD119,IFNGR1 (CD119),25,62,-0.09181928634643555,-0.07603268325328827,0.14718252420425415,0.015786603093147278,0.7258064516129032
CD140a,CD140a,25,62,-0.07299911975860596,-0.028665952384471893,0.27696630358695984,0.044333167374134064,0.5161290322580645
CD140b,CD140b,25,62,-0.2478998899459839,-0.25957241654396057,0.17754311859607697,0.011672526597976685,0.967741935483871
CD172a,CD172a,25,62,-0.27737951278686523,-0.301535964012146,0.18753421306610107,0.02415645122528076,0.9193548387096774
CD184,CD184,25,62,-0.2685372829437256,-0.2526475787162781,0.18611305952072144,0.01588970422744751,0.9193548387096774
CD202b,CD202b,25,62,-0.2368994951248169,-0.23511098325252533,0.21250063180923462,0.001788511872291565,0.8870967741935484
CD274,PD-L1 (CD274),25,62,-0.042934417724609375,0.0420544296503067,0.14951550960540771,0.08498884737491608,0.3548387096774194
CD29,CD29 (ITGB1),25,62,-0.013540267944335938,-0.00420698057860136,0.06493295729160309,0.009333287365734577,0.532258064516129
CD309,CD309,25,62,0.17126286029815674,0.15246450901031494,0.2505366802215576,0.018798351287841797,0.7903225806451613
CD44,CD44,25,62,0.03248882293701172,0.018391378223896027,0.05520331859588623,0.014097444713115692,0.8064516129032258
CD47,CD47,25,62,-0.011974334716796875,0.004658591467887163,0.08500225841999054,0.01663292571902275,0.5161290322580645
CD49f,CD49f,25,62,-0.002357006072998047,0.04581374675035477,0.17748792469501495,0.048170752823352814,0.3387096774193548
CD58,CD58 (LFA-3),25,62,-0.1341567039489746,-0.14712099730968475,0.12629713118076324,0.012964293360710144,0.9032258064516129
CD59,CD59,25,62,-0.017042160034179688,-0.01074001844972372,0.11150121688842773,0.006302141584455967,0.4838709677419355
CD61,CD61,25,62,-0.19728994369506836,-0.2511150538921356,0.23135702311992645,0.05382511019706726,0.8387096774193549
HLA_A,HLA-A (class I),25,62,-0.04784440994262695,-0.05415645241737366,0.23929427564144135,0.006312042474746704,0.6451612903225806
HLA_E,HLA-E (class I),25,62,0.20679104328155518,0.15165817737579346,0.2244158834218979,0.05513286590576172,0.7419354838709677
CD9,CD9,25,62,-0.09185457229614258,-0.09870695322751999,0.09674946963787079,0.006852380931377411,0.8709677419354839
CD279,PD-1 (CD279),25,62,-0.4300311803817749,-0.393881618976593,0.2201419174671173,0.036149561405181885,0.9838709677419355
CD117,CD117,50,124,-0.28052544593811035,-0.3014231324195862,0.2357938587665558,0.02089768648147583,0.9032258064516129
CD119,IFNGR1 (CD119),50,124,-0.09293937683105469,-0.0786328837275505,0.14952236413955688,0.014306493103504181,0.7016129032258065
CD140a,CD140a,50,124,-0.06999361515045166,-0.06541819870471954,0.20263200998306274,0.004575416445732117,0.6290322580645161
CD140b,CD140b,50,124,-0.26251137256622314,-0.22352738678455353,0.2172742486000061,0.03898398578166962,0.8870967741935484
CD172a,CD172a,50,124,-0.28078460693359375,-0.28701382875442505,0.19100192189216614,0.006229221820831299,0.9354838709677419
CD184,CD184,50,124,-0.26277804374694824,-0.26543912291526794,0.19460321962833405,0.002661079168319702,0.8870967741935484
CD202b,CD202b,50,124,-0.2292400598526001,-0.23549751937389374,0.21730022132396698,0.00625745952129364,0.8870967741935484
CD274,PD-L1 (CD274),50,124,-0.017830371856689453,-0.022641906514763832,0.2587077021598816,0.004811534658074379,0.4596774193548387
CD29,CD29 (ITGB1),50,124,-0.011137962341308594,-0.00900382362306118,0.06342093646526337,0.0021341387182474136,0.5967741935483871
CD309,CD309,50,124,0.16681206226348877,0.1639915406703949,0.24632561206817627,0.002820521593093872,0.782258064516129
CD44,CD44,50,124,0.02933979034423828,0.027738047763705254,0.03156585991382599,0.0016017425805330276,0.8548387096774194
CD47,CD47,50,124,-0.016459941864013672,0.00016929641424212605,0.06853528320789337,0.016629237681627274,0.5483870967741935
CD49f,CD49f,50,124,0.01940631866455078,0.00018749313312582672,0.17771556973457336,0.019218824803829193,0.5241935483870968
CD58,CD58 (LFA-3),50,124,-0.14733362197875977,-0.12765318155288696,0.13792634010314941,0.019680440425872803,0.8145161290322581
CD59,CD59,50,124,-0.016074657440185547,-0.014242883771657944,0.10681286454200745,0.0018317736685276031,0.5241935483870968
CD61,CD61,50,124,-0.2103670835494995,-0.20664513111114502,0.2826291024684906,0.003721952438354492,0.8225806451612904
HLA_A,HLA-A (class I),50,124,-0.05240297317504883,-0.04198170453310013,0.18737205862998962,0.0104212686419487,0.6532258064516129
HLA_E,HLA-E (class I),50,124,0.18768131732940674,0.19262655079364777,0.21453581750392914,0.004945233464241028,0.8225806451612904
CD9,CD9,50,124,-0.09299612045288086,-0.09609006345272064,0.11510002613067627,0.0030939429998397827,0.8548387096774194
CD279,PD-1 (CD279),50,124,-0.4365401268005371,-0.4112377464771271,0.21656592190265656,0.025302380323410034,0.9919354838709677
