modality,frac,seed,model,family,pearson_delta_ds,leak_free
RNA,25,0,ctrl-pred,simple,0.0259,True
RNA,25,0,cell-mean,simple,0.672,True
RNA,25,0,donor-shift,simple,0.672,True
RNA,25,0,linear-PCA,simple,0.2915,True
RNA,25,0,linear-shift-KOemb,latent,0.6173,True
RNA,25,1,ctrl-pred,simple,0.0266,True
RNA,25,1,cell-mean,simple,0.6513,True
RNA,25,1,donor-shift,simple,0.6513,True
RNA,25,1,linear-PCA,simple,0.2725,True
RNA,25,1,linear-shift-KOemb,latent,0.6194,True
RNA,25,2,ctrl-pred,simple,0.0227,True
RNA,25,2,cell-mean,simple,0.6425,True
RNA,25,2,donor-shift,simple,0.6425,True
RNA,25,2,linear-PCA,simple,0.2691,True
RNA,25,2,linear-shift-KOemb,latent,0.6,True
RNA,25,3,ctrl-pred,simple,0.0309,True
RNA,25,3,cell-mean,simple,0.6707,True
RNA,25,3,donor-shift,simple,0.6707,True
RNA,25,3,linear-PCA,simple,0.2823,True
RNA,25,3,linear-shift-KOemb,latent,0.6176,True
RNA,25,4,ctrl-pred,simple,0.0244,True
RNA,25,4,cell-mean,simple,0.6517,True
RNA,25,4,donor-shift,simple,0.6517,True
RNA,25,4,linear-PCA,simple,0.2803,True
RNA,25,4,linear-shift-KOemb,latent,0.6295,True
RNA,50,0,ctrl-pred,simple,0.0158,True
RNA,50,0,cell-mean,simple,0.6505,True
RNA,50,0,donor-shift,simple,0.6505,True
RNA,50,0,linear-PCA,simple,0.2752,True
RNA,50,0,linear-shift-KOemb,latent,0.6181,True
RNA,50,1,ctrl-pred,simple,0.0194,True
RNA,50,1,cell-mean,simple,0.6603,True
RNA,50,1,donor-shift,simple,0.6603,True
RNA,50,1,linear-PCA,simple,0.285,True
RNA,50,1,linear-shift-KOemb,latent,0.6273,True
RNA,50,2,ctrl-pred,simple,0.019,True
RNA,50,2,cell-mean,simple,0.662,True
RNA,50,2,donor-shift,simple,0.662,True
RNA,50,2,linear-PCA,simple,0.2799,True
RNA,50,2,linear-shift-KOemb,latent,0.6284,True
RNA,50,3,ctrl-pred,simple,0.0198,True
RNA,50,3,cell-mean,simple,0.6603,True
RNA,50,3,donor-shift,simple,0.6603,True
RNA,50,3,linear-PCA,simple,0.2785,True
RNA,50,3,linear-shift-KOemb,latent,0.6117,True
RNA,50,4,ctrl-pred,simple,0.0256,True
RNA,50,4,cell-mean,simple,0.6601,True
RNA,50,4,donor-shift,simple,0.6601,True
RNA,50,4,linear-PCA,simple,0.2968,True
RNA,50,4,linear-shift-KOemb,latent,0.6162,True
protein,25,0,ctrl-pred,simple,0.0773,True
protein,25,0,cell-mean,simple,0.6829,True
protein,25,0,donor-shift,simple,0.6829,True
protein,25,0,linear-PCA,simple,0.6829,True
protein,25,0,linear-shift-KOemb,latent,0.0798,True
protein,25,1,ctrl-pred,simple,0.1151,True
protein,25,1,cell-mean,simple,0.647,True
protein,25,1,donor-shift,simple,0.647,True
protein,25,1,linear-PCA,simple,0.647,True
protein,25,1,linear-shift-KOemb,latent,0.1357,True
protein,25,2,ctrl-pred,simple,0.0671,True
protein,25,2,cell-mean,simple,0.6491,True
protein,25,2,donor-shift,simple,0.6491,True
protein,25,2,linear-PCA,simple,0.6491,True
protein,25,2,linear-shift-KOemb,latent,0.0728,True
protein,25,3,ctrl-pred,simple,0.0995,True
protein,25,3,cell-mean,simple,0.7013,True
protein,25,3,donor-shift,simple,0.7013,True
protein,25,3,linear-PCA,simple,0.7013,True
protein,25,3,linear-shift-KOemb,latent,0.0995,True
protein,25,4,ctrl-pred,simple,0.0488,True
protein,25,4,cell-mean,simple,0.6851,True
protein,25,4,donor-shift,simple,0.6851,True
protein,25,4,linear-PCA,simple,0.6851,True
protein,25,4,linear-shift-KOemb,latent,0.0631,True
protein,50,0,ctrl-pred,simple,0.1612,True
protein,50,0,cell-mean,simple,0.6961,True
protein,50,0,donor-shift,simple,0.6961,True
protein,50,0,linear-PCA,simple,0.6961,True
protein,50,0,linear-shift-KOemb,latent,0.167,True
protein,50,1,ctrl-pred,simple,0.0771,True
protein,50,1,cell-mean,simple,0.6895,True
protein,50,1,donor-shift,simple,0.6895,True
protein,50,1,linear-PCA,simple,0.6895,True
protein,50,1,linear-shift-KOemb,latent,0.083,True
protein,50,2,ctrl-pred,simple,0.0794,True
protein,50,2,cell-mean,simple,0.7004,True
protein,50,2,donor-shift,simple,0.7004,True
protein,50,2,linear-PCA,simple,0.7004,True
protein,50,2,linear-shift-KOemb,latent,0.082,True
protein,50,3,ctrl-pred,simple,0.0895,True
protein,50,3,cell-mean,simple,0.7044,True
protein,50,3,donor-shift,simple,0.7044,True
protein,50,3,linear-PCA,simple,0.7044,True
protein,50,3,linear-shift-KOemb,latent,0.0972,True
protein,50,4,ctrl-pred,simple,0.0679,True
protein,50,4,cell-mean,simple,0.6947,True
protein,50,4,donor-shift,simple,0.6947,True
protein,50,4,linear-PCA,simple,0.6947,True
protein,50,4,linear-shift-KOemb,latent,0.0723,True
