baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,cluster,dataset,modality
ctrl-pred,simple,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.025947235081525,0.0215483265791854,0.0302533616486471,0.0290822039748872,6.553042387098088,6.442731864830928,6.6856628474644335,,C4,frangieh_RNA,RNA
cell-mean,simple,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.6719524004767018,0.6522288031155064,0.689010769224936,0.6711039418174375,6.356180212831153,6.251688045870174,6.481091051567288,,C4,frangieh_RNA,RNA
donor-shift,simple,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.6719524004767018,0.6522288031155064,0.689010769224936,0.6711039418174375,6.356180212831153,6.251688045870174,6.481091051567288,,C4,frangieh_RNA,RNA
linear-PCA,simple,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.2914931868172942,0.2697672883499293,0.3136698485690078,0.2926753010420549,6.356179964874236,6.2516877270153,6.481090801128561,,C4,frangieh_RNA,RNA
ctrl-pred,simple,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.0158170331206131,0.0122796508507763,0.0195669320964014,0.0252961399171674,6.5857406168775565,6.501851718000398,6.677776719473306,,C4,frangieh_RNA,RNA
cell-mean,simple,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.6505082167925373,0.6356509598332547,0.6648267740684171,0.6516362712267907,6.394088871544574,6.309181154814124,6.489507776256774,,C4,frangieh_RNA,RNA
donor-shift,simple,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.6505082167925373,0.6356509598332547,0.6648267740684171,0.6516362712267907,6.394088871544574,6.309181154814124,6.489507776256774,,C4,frangieh_RNA,RNA
linear-PCA,simple,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.2751580268978291,0.2597127284319515,0.290389833156763,0.2785468775208198,6.394089046704889,6.309181325722914,6.489507901365623,,C4,frangieh_RNA,RNA
ctrl-pred,simple,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.077279484665562,0.0446026490406028,0.109390166607843,0.0880443543954301,3.3377904295711014,3.288234632789677,3.398259462061797,,C4,frangieh_protein,protein-CITE
cell-mean,simple,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.6829374634450481,0.6384841697470796,0.7241187062595159,0.6862581742386664,3.2054813093288894,3.15568586148587,3.267059405982049,,C4,frangieh_protein,protein-CITE
donor-shift,simple,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.6829374634450481,0.6384841697470796,0.7241187062595159,0.6862581742386664,3.2054813093288894,3.15568586148587,3.267059405982049,,C4,frangieh_protein,protein-CITE
linear-PCA,simple,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.6829374634450481,0.6384841697470796,0.7241187062595159,0.6862581742386664,3.2054813093288894,3.15568586148587,3.267059405982049,,C4,frangieh_protein,protein-CITE
ctrl-pred,simple,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.161208268059718,0.1369545317875529,0.1856010505081822,0.099442798054717,3.329116375311693,3.2948993348330595,3.371996097482324,,C4,frangieh_protein,protein-CITE
cell-mean,simple,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.6961475467429526,0.6649494823338764,0.7258432286228204,0.6831323718051275,3.200282281855894,3.1645907668524806,3.244135257206532,,C4,frangieh_protein,protein-CITE
donor-shift,simple,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.6961475467429526,0.6649494823338764,0.7258432286228204,0.6831323718051275,3.200282281855894,3.1645907668524806,3.244135257206532,,C4,frangieh_protein,protein-CITE
linear-PCA,simple,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.6961475467429526,0.6649494823338764,0.7258432286228204,0.6831323718051275,3.200282281855894,3.1645907668524806,3.244135257206532,,C4,frangieh_protein,protein-CITE
scGen,latent,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.5575242774899671,0.4961182205667419,0.5740179334222639,0.5363652567349134,6.782157791334915,6.701535509766893,6.8785775814348495,,C4,frangieh_rna,RNA
scGen,latent,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.5552419751185804,0.5285378274502187,0.5755359566672856,0.5543046465534116,6.755286325691647,6.680920303815777,6.836031380064163,,C4,frangieh_rna,RNA
scGen,latent,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.0754253755383674,0.0422817424362179,0.107977163612527,0.0872284897655669,3.349371756065819,3.297403480814727,3.413809794839928,,C4,frangieh_protein,protein-CITE
scGen,latent,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.1650351965537054,0.1411869809745938,0.1901245938138022,0.0971300885674633,3.330161941572151,3.295087538824612,3.3736228655477,,C4,frangieh_protein,protein-CITE
linear-shift-KOemb,latent,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.6172898153534099,0.5686549154215402,0.6611697351804093,0.6165572059370817,6.382834455063385,6.27557937104196,6.507684051270049,,C4,frangieh_rna,RNA
linear-shift-KOemb,latent,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.6180576444828823,0.5894596820449336,0.6432895914627044,0.6195573117433777,6.407189593454077,6.323331691951854,6.50254561770206,,C4,frangieh_rna,RNA
linear-shift-KOemb,latent,C4_modality_lo_ko_25,C4_Axis2,run_headline,True,0,True,True,10700,3576,62,0.0797504863641675,0.0465503242294935,0.1119661637463591,0.0897170676842271,3.340550318989417,3.290834971968932,3.4010184126918266,,C4,frangieh_protein,protein-CITE
linear-shift-KOemb,latent,C4_modality_lo_ko_50,C4_Axis2,run_headline,True,0,True,True,7232,7044,124,0.166962873254482,0.1426212399403729,0.1932648445273967,0.0959285994683722,3.3295606045238486,3.295066901224391,3.372882353718992,,C4,frangieh_protein,protein-CITE
