baseline,family,split,action,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,e_distance
ctrl-pred,simple,C5_loct_B,run_headline,True,True,65140,16008,141,-0.014325849207428595,-0.018450311455047518,-0.01037335678958169,7.63629655637406
cell-mean,simple,C5_loct_B,run_headline,True,True,65140,16008,141,0.07612259799460722,0.0644007124835043,0.08911183150807771,12.554847263400767
donor-shift,simple,C5_loct_B,run_headline,True,True,65140,16008,141,0.29150592369285033,0.2614422641308146,0.3178895535578304,7.175907146371349
linear-PCA,simple,C5_loct_B,run_headline,True,True,65140,16008,141,0.29660807239677733,0.2636347104583913,0.3256744011262339,7.175906599116187
FP-ridge,chemistry,C5_loct_B,run_headline,True,True,65140,16008,141,0.43810229897680725,0.4159029921371876,0.46107629663343974,6.701052151931864
ctrl-pred,simple,C5_loct_CD4T,run_headline,True,True,64673,16475,141,-0.008953144461155336,-0.012430398705955087,-0.005561684379407529,7.123953362602984
cell-mean,simple,C5_loct_CD4T,run_headline,True,True,64673,16475,141,0.06789086877193148,0.05703477895808743,0.07874247021216638,14.961071186002597
donor-shift,simple,C5_loct_CD4T,run_headline,True,True,64673,16475,141,0.3037804079040594,0.28205975705306935,0.3241336263839654,6.7399758068960045
linear-PCA,simple,C5_loct_CD4T,run_headline,True,True,64673,16475,141,0.3030276204540282,0.2799051140776236,0.3248127419141564,6.739975484967133
FP-ridge,chemistry,C5_loct_CD4T,run_headline,True,True,64673,16475,141,0.4486709345422738,0.4264324424273156,0.4705507381931476,6.37076456370921
ctrl-pred,simple,C5_loct_CD8T,run_headline,True,True,71716,9507,138,0.006089912681921344,0.0025781457160137244,0.00958532873061114,7.122538570837893
cell-mean,simple,C5_loct_CD8T,run_headline,True,True,71716,9507,138,0.04097978853826425,0.02792808932684146,0.053593814645052806,13.534321803567886
donor-shift,simple,C5_loct_CD8T,run_headline,True,True,71716,9507,138,0.2216872979576389,0.20054057772217346,0.24081764323400684,6.958118920193815
linear-PCA,simple,C5_loct_CD8T,run_headline,True,True,71716,9507,138,0.22684587488976726,0.20474614111328687,0.24738706758573134,6.958118726921277
FP-ridge,chemistry,C5_loct_CD8T,run_headline,True,True,71716,9507,138,0.31438105025639135,0.29781807406123834,0.3314543624361302,6.857009021773063
ctrl-pred,simple,C5_loct_Mono,run_headline,True,True,66010,15138,139,0.01200468729033634,0.008892750694168243,0.014931388472819012,5.538729602577043
cell-mean,simple,C5_loct_Mono,run_headline,True,True,66010,15138,139,0.02648275049249206,0.005716624471280244,0.04687727202821301,27.543469884880427
donor-shift,simple,C5_loct_Mono,run_headline,True,True,66010,15138,139,0.22405300539978545,0.20449892497996688,0.2421576727954704,5.634515654116633
linear-PCA,simple,C5_loct_Mono,run_headline,True,True,66010,15138,139,0.2102911617345572,0.18930097556050712,0.22973297142411964,5.6345169721236665
FP-ridge,chemistry,C5_loct_Mono,run_headline,True,True,66010,15138,139,0.33623382971092736,0.31615747694971325,0.3552929656186456,5.177086681665547
ctrl-pred,simple,C5_loct_NK,run_headline,True,True,64750,16398,141,0.003164659404880714,9.013430742744762e-05,0.00617854126087213,7.148438472800711
cell-mean,simple,C5_loct_NK,run_headline,True,True,64750,16398,141,0.0404898516544192,0.026755538492652317,0.05524621082951872,15.721093866620306
donor-shift,simple,C5_loct_NK,run_headline,True,True,64750,16398,141,0.2725940291515505,0.24833137499901684,0.2942888501277342,6.820729055217097
linear-PCA,simple,C5_loct_NK,run_headline,True,True,64750,16398,141,0.2693533093903002,0.24363680689257955,0.2929821705848973,6.820729369770846
FP-ridge,chemistry,C5_loct_NK,run_headline,True,True,64750,16398,141,0.41389487667920744,0.392940268339259,0.43546609019873833,6.6982410345684835
ctrl-pred,simple,C5_loct_Treg,run_headline,True,True,75251,5966,141,-0.003543706166294588,-0.006943386219641488,1.1728452859672322e-05,8.709073071548355
cell-mean,simple,C5_loct_Treg,run_headline,True,True,75251,5966,141,0.17723745492977216,0.1591107526243993,0.1981987337005929,12.347143951654594
donor-shift,simple,C5_loct_Treg,run_headline,True,True,75251,5966,141,0.2044113466238722,0.1886655133257204,0.22062533287040834,8.304532094880843
linear-PCA,simple,C5_loct_Treg,run_headline,True,True,75251,5966,141,0.2174631219410093,0.199134167725326,0.2369024318203673,8.30453245662272
FP-ridge,chemistry,C5_loct_Treg,run_headline,True,True,75251,5966,141,0.30521955457350886,0.28264376184612455,0.3282207603764502,7.6379294121229835
