baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::type_I_IFN,aucell::inflammatory_NFkB,aucell::effector_lymphocyte,cluster,dataset,modality
ctrl-pred,simple,C5_global_compound_holdout,C5_unseen_cpd,run_floor,False,0,True,True,51181,12333,112,0.002707070748816217,-0.000318966270846691,0.005638275443822392,0.002707070748816217,19.88870628426027,19.00826830583083,20.788430974740116,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
cell-mean,simple,C5_global_compound_holdout,C5_unseen_cpd,run_floor,False,0,True,True,51181,12333,112,0.17217957843448467,0.14080641222390114,0.20489540909173748,0.17217957843448467,19.613603500067313,18.629736265050738,20.676961966318014,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
donor-shift,simple,C5_global_compound_holdout,C5_unseen_cpd,run_floor,False,0,True,True,51181,12333,112,0.17217957843448467,0.14080641222390114,0.20489540909173748,0.17217957843448467,19.613603500067313,18.629736265050738,20.676961966318014,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
linear-PCA,simple,C5_global_compound_holdout,C5_unseen_cpd,run_floor,False,0,True,True,51181,12333,112,0.14980776662040235,0.11421180833609208,0.1863868794657589,0.14980776662040235,19.61360358985462,18.629736604166858,20.676961802262035,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
FP-ridge,chemistry,C5_global_compound_holdout,C5_unseen_cpd,run_headline,True,0,True,True,51181,12333,112,0.16420038796786685,0.12926074302631607,0.1988059017094201,0.16420038796786685,19.64137258995358,18.622311880863883,20.70070858997358,0.05202694399441374,0.15608083198324121,0.0,0.0,C5,op3_GSE279945,
ctrl-pred,simple,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,-0.02603748004107632,-0.029861585225811955,-0.022113280033201257,-0.02603748004107632,7.501896591423852,7.159339964746112,7.894728753598984,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
cell-mean,simple,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,0.07413363786486922,0.06385874633573274,0.08523580716325939,0.07413363786486922,13.843982053890638,13.561778376120941,14.181713824673329,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
donor-shift,simple,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,0.2783795539950225,0.25254838995582674,0.3021720875814187,0.2783795539950225,7.085674888690674,6.7409093564094045,7.4989433690441345,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
linear-PCA,simple,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,0.2997303043578005,0.2701981343999373,0.32676779599695177,0.2997303043578005,7.08567463441411,6.740909008012827,7.498943127147754,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
FP-ridge,chemistry,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,0.41557679544632314,0.393190570110257,0.43724511464040544,0.41557679544632314,6.636237268277247,6.160809331146151,7.3104984067509395,0.2755865038384356,0.8473849100668489,-0.020625398551542076,0.0,C5,op3_GSE279945,
ctrl-pred,simple,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.005479160490046655,0.0016826850121599729,0.009217386891271282,0.005479160490046655,5.5795355116950285,5.191328759938283,6.005688842751667,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
cell-mean,simple,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.018724631171478125,-0.00250819662885468,0.04110953922270968,0.018724631171478125,33.201184132916154,32.889950601696356,33.495408285983956,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
donor-shift,simple,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.19015795008745046,0.17299428149068263,0.2051647342232588,0.19015795008745046,5.64843757167431,5.302374525244823,6.033860291642253,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
linear-PCA,simple,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.18464484695744302,0.16590828666280558,0.20119841030516128,0.18464484695744302,5.648439253184412,5.30237672172785,6.033861706719057,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
FP-ridge,chemistry,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.30570868627899994,0.287368163713254,0.32596545700075297,0.30570868627899994,5.244524763450605,5.024621454455359,5.514116099154237,0.39288940009033824,0.6952756806928054,0.48339251957820933,0.0,C5,op3_GSE279945,
ctrl-pred,simple,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,-0.011047900158578384,-0.014569540376216007,-0.007489400444226589,-0.011047900158578384,7.146360317712343,6.87814348753499,7.450357247677636,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
cell-mean,simple,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,-0.004159007956280459,-0.017787862277766426,0.010144720031076493,-0.004159007956280459,21.50729710994211,21.336303262852727,21.68556732083865,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
donor-shift,simple,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,0.25602460060110116,0.23355792453859317,0.2771781383585912,0.25602460060110116,6.7651150177925725,6.472332777087896,7.114353019766584,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
linear-PCA,simple,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,0.25937692236637444,0.23395484938469538,0.28341404877500675,0.25937692236637444,6.765115331822278,6.472333012943551,7.114353168144188,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
FP-ridge,chemistry,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,0.38980764192892303,0.37041335509667267,0.4095984314139008,0.38980764192892303,6.662965875802017,6.187932337365269,7.282967249414973,0.3568880427609204,0.809816486927803,0.0,0.2608476413549581,C5,op3_GSE279945,
ctrl-pred,simple,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,-0.009041472017997876,-0.012895325037506483,-0.005176710464992869,-0.009041472017997876,7.174565527114572,6.761203770522117,7.661031250834924,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
cell-mean,simple,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,0.01121601339013494,-0.0014031010899727414,0.024307873824252976,0.01121601339013494,15.793814571295993,15.436284511525782,16.21421424063585,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
donor-shift,simple,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,0.3193161063398241,0.2978294459964208,0.33769609233602244,0.3193161063398241,6.7493203939164275,6.3539003877417235,7.237824826446979,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
linear-PCA,simple,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,0.3339668906273994,0.30938331713563105,0.35562958068392697,0.3339668906273994,6.749321024936103,6.353900995562402,7.237825468900585,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
FP-ridge,chemistry,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,0.4387038899915861,0.41742324087412114,0.4608643735184314,0.4387038899915861,6.400173869857182,6.009188101890716,6.9022645289881055,0.19981122780632424,0.7289337595145164,0.0,-0.12950007609554373,C5,op3_GSE279945,
CPA,latent,C5_global_compound_holdout,C5_unseen_cpd,run_headline,True,0,True,True,51181,12333,112,0.15869120594912342,0.10357290322094091,0.2126126595781118,0.15869120594912342,19.76996977665768,18.53255210754236,21.085533124604662,0.04677395096367116,0.14032185289101348,0.0,0.0,C5,op3_GSE279945,
scGen,latent,C5_global_compound_holdout,C5_unseen_cpd,run_adapted,False,0,True,True,51181,12333,112,0.08617144662275678,0.06262065906238214,0.11079741493602861,0.08617144662275678,19.92635716892916,19.016107251007096,20.892953141178776,-0.010998284656282017,-0.03299485396884605,0.0,0.0,C5,op3_GSE279945,
