baseline,compound,pearson_delta,tanimoto_dist,action,headline_eligible
ctrl-pred,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.015724840632174164,0.7532467532467533,run_floor,False
ctrl-pred,ABT-199 (GDC-0199),0.013184093171730638,0.6258992805755396,run_floor,False
ctrl-pred,AT 7867,0.007210241150460206,0.7833333333333333,run_floor,False
ctrl-pred,AZD3514,-0.0043405928008724,0.7473684210526316,run_floor,False
ctrl-pred,BMS-536924,0.016156201134435833,0.7422680412371134,run_floor,False
ctrl-pred,Cabozantinib,-0.0022187428548932076,0.381578947368421,run_floor,False
ctrl-pred,Clomipramine,-0.0006082766922190785,0.7192982456140351,run_floor,False
ctrl-pred,Clotrimazole,-0.00025035158614628017,0.8032786885245902,run_floor,False
ctrl-pred,GSK-1070916,0.002297588041983545,0.7281553398058253,run_floor,False
ctrl-pred,HYDROXYUREA,0.0017514406354166567,0.875,run_floor,False
ctrl-pred,IN1451,0.0022084993543103337,0.5471698113207547,run_floor,False
ctrl-pred,LY2090314,-0.004581531859003007,0.7582417582417582,run_floor,False
ctrl-pred,Lapatinib,-0.0043766884482465684,0.6972477064220184,run_floor,False
ctrl-pred,Masitinib,0.002736857975833118,0.2533333333333333,run_floor,False
ctrl-pred,Mometasone Furoate,0.005106493190396577,0.7,run_floor,False
ctrl-pred,Navitoclax,0.005517812329344451,0.475,run_floor,False
ctrl-pred,PRT-062607,0.01404087757691741,0.7204301075268817,run_floor,False
ctrl-pred,Perhexiline,0.005778686609119177,0.8253968253968254,run_floor,False
ctrl-pred,Pitavastatin Calcium,-0.0059828037628903985,0.6329113924050633,run_floor,False
ctrl-pred,Proscillaridin A;Proscillaridin-A,0.014169842703267932,0.7849462365591398,run_floor,False
ctrl-pred,Ricolinostat,-0.002935723285190761,0.736842105263158,run_floor,False
ctrl-pred,SCH-58261,-0.0015682440134696662,0.8045977011494253,run_floor,False
ctrl-pred,Selumetinib,-0.0025367208290845156,0.6296296296296297,run_floor,False
ctrl-pred,TL_HRAS26,-0.0019053155556321144,0.8,run_floor,False
ctrl-pred,Tivozanib,0.0014181892911437899,0.6595744680851063,run_floor,False
ctrl-pred,Topotecan,-0.007304725440917537,0.8072289156626506,run_floor,False
