baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,cluster,dataset,modality
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.06864489614963531,0.06839669495820999,0.06889309734106064,0.06868991255760193,7.5310492419386605,7.4334710282717715,7.62862745560555,0.19999999999999996,0.0,0.0,0.0,0.9999999999999998,0.0,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.07574365744367242,0.019606618862599134,0.17104346603155135,0.07650558724999428,7.559881181680706,7.469011137636426,7.650751225724986,0.07212356231906365,0.0,0.0,0.0,0.36061781159531825,0.0,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,-0.030848921462893485,-0.1638818297628313,0.06321811497211455,-0.031202920246869326,7.570905076495249,7.420633058340265,7.799966961825786,0.06872761823632767,0.0,0.0,0.0,0.34363809118163835,0.0,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.014134275194789683,-0.046265122081552236,0.07350099874394277,0.008071508391627244,10.087434513449681,9.557539249510405,10.858850565992377,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,-0.013449621723136969,-0.07422131970977512,0.043172095433369015,-0.013281479581362672,10.223258243366011,9.784064802669025,10.80002112812133,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,-0.0017225496574408477,-0.049160967536994976,0.0462617954562625,-0.0022802481479528877,9.94480229058987,9.69742822329215,10.205515213183192,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,18320,1778,2,-0.08041373826563358,-0.15361294150352478,-0.007214535027742386,-0.0811314838938415,7.696512881949536,7.647489252535809,7.745536511363262,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,15532,4566,6,-0.05020018853247166,-0.10450627530614535,-0.00867588767626639,-0.05053953609118859,8.176164605697226,7.59272378077668,9.111167735567653,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,9681,10417,12,0.012265056371688843,-0.0472812826745212,0.06609327720943833,0.012883730232715607,7.890983246026562,7.611034604056083,8.318975757885177,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,15908,1781,2,-0.04320741258561611,-0.045330874621868134,-0.04108395054936409,-0.04352843575179577,7.586734218535415,7.462692191339588,7.7107762457312425,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRa,CRISPRa
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,14278,3411,6,0.016170775673041742,-0.03191541600972414,0.05890074015284578,0.015256293738881746,7.605900137322888,7.48423791424343,7.759425264280213,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRa,CRISPRa
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,8790,8899,12,0.01958797328794996,-0.0253360843945605,0.06731299877865236,0.017967837552229565,7.7230831101696245,7.5743727771983975,7.915310856674246,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRa,CRISPRa
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,301574,34240,30,-0.06203903294663178,-0.08741186400631704,-0.037634656119941344,-0.062110282292511934,7.5053342314298845,7.421593036594801,7.606962284288415,0.08236029706819462,0.26299260602111485,0.15633570066925298,0.0,0.0,-0.007526821349394684,C3,chen,KO
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,256042,79772,74,-0.010549790984982424,-0.0316845867869946,0.012692180153995598,-0.009673646278364735,7.593427590021379,7.53151145094674,7.6569459283341,-0.04690079873631523,-0.0615692913023735,-0.07186195616125869,0.0,0.0,-0.10107274621794396,C3,chen,KO
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,172024,163790,148,-0.0020410643593169043,-0.017413233225768734,0.014795462009862748,-0.0024826716592518073,7.570682579904698,7.5201556357677894,7.624484546428576,-0.06384778595808414,-0.10983299248783691,-0.12838936087372688,0.0,-0.01735156436063879,-0.06366501206821817,C3,chen,KO
