contrast,task_key,model,n_units,binding_floor,mean_gap,units_positive,raw_p,family,inference,BH_p,Holm_p,survives_FDR05,positive_supported,source
T1_Biolord_vs_floor,T1,Biolord,8,linear-PCA,-0.1922034330464471,0,0.0078125,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.01171875,0.09375,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T1_CellFlow_vs_floor,T1,CellFlow,8,linear-PCA,0.01813987926576567,4,0.546875,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.5706521739130435,1.0,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T1_CellOT_vs_floor,T1,CellOT,8,linear-PCA,0.006169276839990218,4,1.0,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,1.0,1.0,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T1_STATE_vs_floor,T1,STATE,8,linear-PCA,-0.07221286999311588,0,0.0078125,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.01171875,0.09375,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T1_scFoundation_vs_floor,T1,scFoundation,8,linear-PCA,-0.10299917934784573,0,0.0078125,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.01171875,0.09375,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T1_scGPT_vs_floor,T1,scGPT,8,linear-PCA,-0.19485733728103105,0,0.0078125,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.01171875,0.09375,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T1_scGen_vs_floor,T1,scGen,8,linear-PCA,-0.03066847460812694,2,0.109375,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.14396564662456512,0.765625,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T1_scPRAM_vs_floor,T1,scPRAM,8,linear-PCA,-0.029617462772354275,1,0.1484375,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.16193181818181818,0.765625,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T2_Biolord_vs_floor,T2,Biolord,106,cell-mean,-0.17765193762481613,3,4.736215848964634e-19,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,5.683459018757561e-18,1.0893296452618658e-17,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T2_CellFlow_vs_floor,T2,CellFlow,106,cell-mean,-0.022470853880831927,33,3.472952330871645e-05,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,9.26120621565772e-05,0.0005556723729394632,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
C2_donor_CellOT_vs_floor,T2,CellOT,106,cell-mean,0.1068102534678117,93,1.5811188271484114e-13,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,5.42097883593741e-13,2.8460138888671407e-12,True,True,results/_paper/census_unit_scores.csv; exact current model/floor units
T2_PertAdapt_vs_floor,T2,PertAdapt,106,cell-mean,-0.04018356810105015,23,1.3128900792217065e-09,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,3.93867023766512e-09,2.231913134676901e-08,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T2_STATE_vs_floor,T2,STATE,106,cell-mean,-0.07677605485149123,9,2.6453199067931884e-17,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,1.587191944075913e-16,5.5551718042656955e-16,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T2_scFoundation_vs_floor,T2,scFoundation,106,cell-mean,-0.14013162343406318,2,4.348499899879881e-19,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,5.683459018757561e-18,1.0436399759711715e-17,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T2_scGPT_vs_floor,T2,scGPT,106,cell-mean,-0.009725638667949097,13,7.189249510358945e-16,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,3.450839764972294e-15,1.4378499020717892e-14,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T2_scGen_vs_floor,T2,scGen,106,cell-mean,-0.11276543253640733,5,1.3481702523951298e-18,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,1.078536201916104e-17,2.9659745552692856e-17,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T2_scPRAM_vs_floor,T2,scPRAM,106,cell-mean,-0.10064469358147245,12,1.0575971931473755e-15,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,4.230388772589502e-15,2.0094346669800135e-14,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T3_AttentionPert_vs_floor,T3,AttentionPert,5,cell-mean,-0.2668274819635872,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T3_Biolord_vs_floor,T3,Biolord,5,cell-mean,-0.09961799312821565,1,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T3_CINEMA-OT_vs_floor,T3,CINEMA-OT,5,cell-mean,-0.03586688799355272,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T3_CellFlow_vs_floor,T3,CellFlow,5,cell-mean,-0.17274213329987748,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T3_GEARS_vs_floor,T3,GEARS,5,cell-mean,-0.2867369549298905,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T3_PerturbNet_vs_floor,T3,PerturbNet,5,cell-mean,-0.13203856371160175,1,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T3_scGPT_vs_floor,T3,scGPT,5,cell-mean,-0.32837904870438955,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T4_AttentionPert_vs_floor,T4,AttentionPert,2,cell-mean,-0.15329798262366617,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T4_Biolord_vs_floor,T4,Biolord,2,cell-mean,-0.048457679305003554,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T4_CellFlow_vs_floor,T4,CellFlow,2,cell-mean,-0.16886949713192503,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T4_GEARS_vs_floor,T4,GEARS,2,cell-mean,-0.21953393512104283,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T4_PerturbNet_vs_floor,T4,PerturbNet,2,cell-mean,-0.06310453584108033,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T4_linear-shift-KOemb_vs_floor,T4,linear-shift-KOemb,2,cell-mean,-0.04355655772189443,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T4_scGPT_vs_floor,T4,scGPT,2,cell-mean,-0.10441945140284314,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5c_Biolord_vs_floor,T5c,Biolord,4,linear-PCA,-0.19072472936058274,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5c_CINEMA-OT_vs_floor,T5c,CINEMA-OT,4,linear-PCA,-0.016113946885232988,1,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5c_CellFlow_vs_floor,T5c,CellFlow,4,linear-PCA,-0.1656092925393536,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5c_CellOT_vs_floor,T5c,CellOT,4,linear-PCA,-0.1679415638288866,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
