task_key,unit,model,execution_status,program,n_strata,n_measured,measured_genes,program_corr,correlation_status,pearson_delta,obs_program_sd,pred_program_sd,observed_zero_fraction,bundle_path,observation_cache
T3,chen,AttentionPert,native,TCR_activation,30,9,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.0751851903945601,estimable (descriptive),0.2083953072218969,0.0033683030265187,0.0028556972631409,0.2209696261682243,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,AttentionPert,native,IL2_STAT5,30,9,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,0.0106101599314464,estimable (descriptive),0.2083953072218969,0.0024491038522968,0.0024298102913861,0.3100759345794392,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,AttentionPert,native,proliferation,30,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.2083953072218969,0.0009388949836619,0.0,0.8527745327102804,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,AttentionPert,native,effector_cytokine,30,4,CCL5;GZMB;NKG7;TNF,,constant predicted rank-program score,0.2083953072218969,0.0045118245638738,0.0,0.6102219626168224,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,AttentionPert,native,Treg_exhaustion,30,6,CTLA4;FOXP3;IL2RA;LAG3;PDCD1;TNFRSF18,-0.1745434720850978,estimable (descriptive),0.2083953072218969,0.0046219963146586,0.0111466099590972,0.1733352803738317,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant predicted rank-program score,0.3213628227840932,0.0004052205077504,0.0,0.99606962380685,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,IL2_STAT5,2,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant predicted rank-program score,0.3213628227840932,0.0001058013067873,0.0,0.9696799550814148,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.3213628227840932,0.0002577592599131,0.0,0.5727119595732735,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,effector_cytokine,2,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant predicted rank-program score,0.3213628227840932,0.0020941594744603,0.0,0.6193149915777653,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,Treg_exhaustion,2,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,,constant predicted rank-program score,0.3213628227840932,4.33877940145374e-05,0.0,0.9938236945536216,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
