cluster,task_name,task_split,family,metric,floor,best_model_gap,ci_low,ci_high,boot_pos_frac,works,recommendation,apriori_expect_beats_floor,observed_beats_floor,confrontation,ci_source,family_baselines
C1,cytokine/Kang,cell-context (LOCT),latent,pearson_delta,0.7803,-0.023837065121206855,-0.04823823814558973,0.00355045692209216,0.0422,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],CPA;scGen
C2,donor/Soskic,donor (LODO),hybrid,pearson_delta,0.2717,-0.039623923467664066,-0.05114503122461649,-0.02862078849956186,0.0,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],PertAdapt;STATE
C2,donor/Soskic,donor (LODO),latent,pearson_delta,0.2717,-0.06795755709354052,-0.07788208741366394,-0.05775412412055159,0.0,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],CPA;scGen
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),foundation,pearson_delta,0.4937,-0.2838156635451585,-0.39351881325194504,-0.17411251383837203,0.0,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",cluster_bootstrap[unit],scFoundation;scGPT
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),graph,pearson_delta,0.4937,-0.2582049363706874,-0.30922229670512247,-0.18831484782780258,0.0,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",cluster_bootstrap[unit],AttentionPert;GEARS
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),hybrid,pearson_delta,0.4937,-0.4793534381438123,-0.5380927905264343,-0.4203775837126158,0.0,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",cluster_bootstrap[unit],PertAdapt;STATE
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),latent,pearson_delta,0.4937,-0.37157611494134307,-0.5188817001200542,-0.23136334688699636,0.0,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",cluster_bootstrap[unit],CPA;scGen
C4,complex/Frangieh,"unseen-KO (modality, RNA)",graph,pearson_delta,0.6612,-0.15329798262366617,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win","Descriptive only: 2 modality folds (n<3 biological-unit replicates), no cluster bootstrap by design; scGen and the conditioned models sit below the floor on both holdouts",AttentionPert;GEARS
C4,complex/Frangieh,"unseen-KO (modality, RNA)",hybrid,pearson_delta,0.6612,-0.6358260554631552,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win","Descriptive only: 2 modality folds (n<3 biological-unit replicates), no cluster bootstrap by design; scGen and the conditioned models sit below the floor on both holdouts",STATE
C4,complex/Frangieh,"unseen-KO (modality, RNA)",latent,pearson_delta,0.6612,-0.10232472225548417,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win","Descriptive only: 2 modality folds (n<3 biological-unit replicates), no cluster bootstrap by design; scGen and the conditioned models sit below the floor on both holdouts",CPA;scGen
C4,complex/Frangieh,"unseen-KO (modality, RNA)",shift,pearson_delta,0.6612,-0.04355655772189443,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win","Descriptive only: 2 modality folds (n<3 biological-unit replicates), no cluster bootstrap by design; scGen and the conditioned models sit below the floor on both holdouts",linear-shift-KOemb
C5,small-mol/OP3,cell-context (LOCT),chemistry,pearson_delta,0.2539,0.1222,0.103,0.1413,1.0,True,chemistry,yes (context-transfer),yes (CI_low>0),"expected WIN, observed WIN","DEPOSITED defensive_stats.json[C5_cellcontext, FP-ridge, n=6 fine lineages]",FP-ridge
C5,small-mol/OP3,cell-context (LOCT),hybrid,pearson_delta,0.2694,-0.20937111521877733,-0.255670104560784,-0.16462602516481017,0.0,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],STATE
C5,small-mol/OP3,cell-context (LOCT),latent,pearson_delta,0.2694,-0.08975660948934379,-0.15963717867479343,-0.01987604030389413,0.0041,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],CPA;scGen
C5,small-mol/OP3,unseen-compound,chemistry,pearson_delta,0.1722,-0.008,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",DEPOSITED-summary[compound n=28]: FP-ridge gap below floor; chemCPA per-compound CI deposited (chemcpa summary) but member is below floor too,FP-ridge;chemCPA
