model,program,n_estimable_lineages,n_lineages,program_corr,pearson_delta
Biolord,effector_lymphocyte,4,4,-0.123122367687561,0.0787050244158383
Biolord,inflammatory_NFkB,3,4,,0.0787050244158383
Biolord,type_I_IFN,4,4,0.5282755778216098,0.0787050244158383
CellFlow,effector_lymphocyte,2,4,,0.1038204612370674
CellFlow,inflammatory_NFkB,0,4,,0.1038204612370674
CellFlow,type_I_IFN,4,4,0.7475720466014838,0.1038204612370674
CellOT,effector_lymphocyte,0,4,,0.1014881899475345
CellOT,inflammatory_NFkB,0,4,,0.1014881899475345
CellOT,type_I_IFN,0,4,,0.1014881899475345
FP-ridge,effector_lymphocyte,2,4,,0.3874492574119234
FP-ridge,inflammatory_NFkB,2,4,,0.3874492574119234
FP-ridge,type_I_IFN,4,4,0.7703527093004934,0.3874492574119234
PRnet,effector_lymphocyte,2,4,,0.0944309181022113
PRnet,inflammatory_NFkB,0,4,,0.0944309181022113
PRnet,type_I_IFN,4,4,0.6134711766700058,0.0944309181022113
STATE,effector_lymphocyte,2,4,,0.0600586385576437
STATE,inflammatory_NFkB,0,4,,0.0600586385576437
STATE,type_I_IFN,4,4,0.751632106874072,0.0600586385576437
scFoundation,effector_lymphocyte,0,4,,0.055151361950675
scFoundation,inflammatory_NFkB,0,4,,0.055151361950675
scFoundation,type_I_IFN,0,4,,0.055151361950675
scGPT,effector_lymphocyte,0,4,,0.0247077677437753
scGPT,inflammatory_NFkB,0,4,,0.0247077677437753
scGPT,type_I_IFN,0,4,,0.0247077677437753
scPRAM,effector_lymphocyte,2,4,,-0.0086954467150843
scPRAM,inflammatory_NFkB,0,4,,-0.0086954467150843
scPRAM,type_I_IFN,3,4,,-0.0086954467150843
