cluster,dataset,modality,split,model,family,response_direction_pearson_delta,distributional_energy_distance
C1,kang_GSE96583,RNA,C1_loct_B,CPA,latent,0.7911520675,11.36305251
C1,kang_GSE96583,RNA,C1_loct_B,scGen,latent,0.7673727669,8.705651561
C1,kang_GSE96583,RNA,C1_loct_B,cell-mean,simple,0.665027529,19.40373054
C1,kang_GSE96583,RNA,C1_loct_B,ctrl-pred,simple,-0.02300088952,18.45667435
C1,kang_GSE96583,RNA,C1_loct_B,donor-shift,simple,0.8287310004,8.07492294
C1,kang_GSE96583,RNA,C1_loct_B,linear-PCA,simple,0.8291792423,8.074921652
C1,kang_GSE96583,RNA,C1_loct_CD4T,CPA,latent,0.7559939772,13.19843866
C1,kang_GSE96583,RNA,C1_loct_CD4T,scGen,latent,0.7768391811,8.629567958
C1,kang_GSE96583,RNA,C1_loct_CD4T,cell-mean,simple,0.62028341,23.06118069
C1,kang_GSE96583,RNA,C1_loct_CD4T,ctrl-pred,simple,-0.003691080608,14.39884026
C1,kang_GSE96583,RNA,C1_loct_CD4T,donor-shift,simple,0.7853800654,10.88710737
C1,kang_GSE96583,RNA,C1_loct_CD4T,linear-PCA,simple,0.7845205888,10.88710486
C1,kang_GSE96583,RNA,C1_loct_CD8T,CPA,latent,0.7455816865,12.0723099
C1,kang_GSE96583,RNA,C1_loct_CD8T,scGen,latent,0.7718121457,8.684874971
C1,kang_GSE96583,RNA,C1_loct_CD8T,cell-mean,simple,0.6186532527,18.44863308
C1,kang_GSE96583,RNA,C1_loct_CD8T,ctrl-pred,simple,0.01943795237,14.75900018
C1,kang_GSE96583,RNA,C1_loct_CD8T,donor-shift,simple,0.7220446318,11.1020672
C1,kang_GSE96583,RNA,C1_loct_CD8T,linear-PCA,simple,0.7210860923,11.1020659
C1,kang_GSE96583,RNA,C1_loct_DC,CPA,latent,0.7527188063,14.57040956
C1,kang_GSE96583,RNA,C1_loct_DC,scGen,latent,0.7315439159,14.72991324
C1,kang_GSE96583,RNA,C1_loct_DC,cell-mean,simple,0.7118549123,19.82279061
C1,kang_GSE96583,RNA,C1_loct_DC,ctrl-pred,simple,0.004033549281,26.09258149
C1,kang_GSE96583,RNA,C1_loct_DC,donor-shift,simple,0.8214832991,12.01596604
C1,kang_GSE96583,RNA,C1_loct_DC,linear-PCA,simple,0.8222806081,12.015969
C1,kang_GSE96583,RNA,C1_loct_Mk,CPA,latent,0.5538482256,13.78181557
C1,kang_GSE96583,RNA,C1_loct_Mk,scGen,latent,0.5441511096,12.54528781
C1,kang_GSE96583,RNA,C1_loct_Mk,cell-mean,simple,0.5344624296,15.29761925
C1,kang_GSE96583,RNA,C1_loct_Mk,ctrl-pred,simple,0.01331779244,17.56830592
C1,kang_GSE96583,RNA,C1_loct_Mk,donor-shift,simple,0.6030845456,14.03302824
C1,kang_GSE96583,RNA,C1_loct_Mk,linear-PCA,simple,0.6024060249,14.03302585
C1,kang_GSE96583,RNA,C1_loct_Mono_CD14,CPA,latent,0.6324812099,25.16021708
C1,kang_GSE96583,RNA,C1_loct_Mono_CD14,scGen,latent,0.8352235909,12.00200503
C1,kang_GSE96583,RNA,C1_loct_Mono_CD14,cell-mean,simple,0.4558531009,35.98181017
C1,kang_GSE96583,RNA,C1_loct_Mono_CD14,ctrl-pred,simple,-0.01932232804,34.48253266
C1,kang_GSE96583,RNA,C1_loct_Mono_CD14,donor-shift,simple,0.8190202117,18.79042699
C1,kang_GSE96583,RNA,C1_loct_Mono_CD14,linear-PCA,simple,0.8190374076,18.79042816
C1,kang_GSE96583,RNA,C1_loct_Mono_FCGR3A,CPA,latent,0.7571093962,13.12814833
C1,kang_GSE96583,RNA,C1_loct_Mono_FCGR3A,scGen,latent,0.8242887523,11.16710658
C1,kang_GSE96583,RNA,C1_loct_Mono_FCGR3A,cell-mean,simple,0.5287328288,24.80548864
C1,kang_GSE96583,RNA,C1_loct_Mono_FCGR3A,ctrl-pred,simple,0.005414994434,27.79312848
C1,kang_GSE96583,RNA,C1_loct_Mono_FCGR3A,donor-shift,simple,0.880711101,11.60744325
C1,kang_GSE96583,RNA,C1_loct_Mono_FCGR3A,linear-PCA,simple,0.8812669292,11.60744532
C1,kang_GSE96583,RNA,C1_loct_NK,CPA,latent,0.6999005601,11.12680533
C1,kang_GSE96583,RNA,C1_loct_NK,scGen,latent,0.7460928879,8.41936756
C1,kang_GSE96583,RNA,C1_loct_NK,cell-mean,simple,0.581576705,19.14201708
C1,kang_GSE96583,RNA,C1_loct_NK,ctrl-pred,simple,-0.0004017789906,16.95790291
C1,kang_GSE96583,RNA,C1_loct_NK,donor-shift,simple,0.7831702009,9.742431092
C1,kang_GSE96583,RNA,C1_loct_NK,linear-PCA,simple,0.7828952372,9.742431063
C3,chen,KO,C3_true_lo_gene_10,scFoundation,foundation,-0.0382747472,7.522899131
C3,chen,KO,C3_true_lo_gene_10,scGPT,foundation,0.3859064769,7.55747107
C3,chen,KO,C3_true_lo_gene_10,AttentionPert,graph,0.2083953048,7.572781298
C3,chen,KO,C3_true_lo_gene_10,GEARS,graph,0.1976696368,7.527767908
C3,chen,KO,C3_true_lo_gene_10,PertAdapt,hybrid,-0.005391006866,7.454223508
C3,chen,KO,C3_true_lo_gene_10,STATE,hybrid,-0.06203903295,7.505334231
C3,chen,KO,C3_true_lo_gene_10,CPA,latent,0.2346215925,7.608258254
C3,chen,KO,C3_true_lo_gene_10,scGen,latent,0.3379277668,7.618161638
C3,chen,KO,C3_true_lo_gene_10,CINEMA-OT,ot,0.4625964433,7.520678275
C3,chen,KO,C3_true_lo_gene_10,cell-mean,simple,0.5161272869,7.511988169
C3,chen,KO,C3_true_lo_gene_10,ctrl-pred,simple,-0.006789501914,7.45422372
C3,chen,KO,C3_true_lo_gene_10,donor-shift,simple,0.5161272869,7.511988169
C3,chen,KO,C3_true_lo_gene_10,linear-PCA,simple,0.3918871558,7.511987226
C3,chen,KO,C3_true_lo_gene_25,scFoundation,foundation,-0.05744087941,7.598089922
C3,chen,KO,C3_true_lo_gene_25,scGPT,foundation,0.3419588708,7.557418244
C3,chen,KO,C3_true_lo_gene_25,AttentionPert,graph,0.191968517,7.752392296
C3,chen,KO,C3_true_lo_gene_25,GEARS,graph,0.2268808459,7.677476712
C3,chen,KO,C3_true_lo_gene_25,PertAdapt,hybrid,0.002916215921,7.509608448
C3,chen,KO,C3_true_lo_gene_25,STATE,hybrid,-0.01054979098,7.59342759
C3,chen,KO,C3_true_lo_gene_25,CPA,latent,0.3021879942,7.741842653
C3,chen,KO,C3_true_lo_gene_25,scGen,latent,0.3288289904,7.718963031
C3,chen,KO,C3_true_lo_gene_25,CINEMA-OT,ot,0.4629964703,7.549352391
C3,chen,KO,C3_true_lo_gene_25,cell-mean,simple,0.518532104,7.550054067
C3,chen,KO,C3_true_lo_gene_25,ctrl-pred,simple,0.001907121915,7.509608558
C3,chen,KO,C3_true_lo_gene_25,donor-shift,simple,0.518532104,7.550054067
