marker,alias,held_frac_pct,n_held_KO,predDelta,obsDelta_mean,obsDelta_sd,abs_err,sign_match_frac,sem,ci_lo,ci_hi,straddles_zero,effect_sd_units,z_vs_zero
CD117,CD117,25,62,-0.2862792015075683,-0.332794576883316,0.2262625694274902,0.0465153753757476,0.935483870967742,0.028735375052680676,-0.38911487706882086,-0.2764742766978111,False,1.4708335440783802,-11.581354907433864
CD119,IFNGR1 (CD119),25,62,-0.0918192863464355,-0.0760326832532882,0.1471825242042541,0.0157866030931472,0.7258064516129032,0.01869219926614888,-0.11266872060678604,-0.03939664589979037,False,0.5165877108329318,-4.067615702716242
CD140a,CD140a,25,62,-0.0729991197586059,-0.0286659523844718,0.2769663035869598,0.044333167374134,0.5161290322580645,0.03517475573031721,-0.09760720678088741,0.04027530201194382,True,0.10349978323435825,-0.8149581081458526
CD140b,CD140b,25,62,-0.2478998899459839,-0.2595724165439605,0.1775431185960769,0.0116725265979766,0.967741935483871,0.022547998609711652,-0.30376568174245455,-0.21537915134546648,False,1.4620246540475952,-11.511993637970159
CD172a,CD172a,25,62,-0.2773795127868652,-0.301535964012146,0.187534213066101,0.0241564512252807,0.9193548387096774,0.02381686887627561,-0.34821616923415916,-0.25485575879013284,False,1.6078984153460165,-12.660604783045647
CD184,CD184,25,62,-0.2685372829437256,-0.2526475787162781,0.1861130595207214,0.0158897042274475,0.9193548387096774,0.02363638219552563,-0.2989740365443321,-0.20632112088822407,False,1.35749516646976,-10.688927629715865
CD202b,CD202b,25,62,-0.2368994951248169,-0.2351109832525253,0.2125006318092346,0.0017885118722915,0.8870967741935484,0.026987607227393514,-0.28800572144712944,-0.18221624505792117,False,1.106401337496203,-8.711812843262301
CD274,PD-L1 (CD274),25,62,-0.0429344177246093,0.0420544296503067,0.1495155096054077,0.084988847374916,0.3548387096774194,0.018988488708384977,0.004837675661026657,0.07927118363958674,False,0.28127135279339394,2.214732846629138
CD29,CD29 (ITGB1),25,62,-0.0135402679443359,-0.0042069805786013,0.064932957291603,0.0093332873657345,0.532258064516129,0.008246493822531528,-0.020369811469495132,0.011955850312292534,True,0.06478960383258776,-0.5101538507319018
CD309,CD309,25,62,0.1712628602981567,0.1524645090103149,0.2505366802215576,0.0187983512878417,0.7903225806451613,0.03181819020634393,0.09010200215263574,0.21482701586799408,False,0.608551645513486,4.791740448516033
CD44,CD44,25,62,0.0324888229370117,0.018391378223896,0.0552033185958862,0.0140974447131156,0.8064516129032258,0.007010828472509526,0.004650406915989369,0.03213234953180263,False,0.33315711250132235,2.6232817271184508
CD47,CD47,25,62,-0.0119743347167968,0.0046585914678871,0.0850022584199905,0.0166329257190227,0.5161290322580645,0.010795297614641805,-0.01649980305920199,0.025816985994976192,True,0.05480550228288417,0.4315389565146023
CD49f,CD49f,25,62,-0.002357006072998,0.0458137467503547,0.1774879246950149,0.0481707528233528,0.3387096774193548,0.02254098897726714,0.0016342201789967536,0.08999327332171264,False,0.25812317558548514,2.0324639170250434
CD58,CD58 (LFA-3),25,62,-0.1341567039489746,-0.1471209973096847,0.1262971311807632,0.0129642933607101,0.9032258064516128,0.016039751699716644,-0.17855833296209445,-0.11568366165727496,False,1.1648799615180274,-9.172273989271524
CD59,CD59,25,62,-0.0170421600341796,-0.0107400184497237,0.1115012168884277,0.0063021415844559,0.4838709677419355,0.014160668705506104,-0.03849441910951909,0.017014382210071694,True,0.09632198418489517,-0.7584400619123057
CD61,CD61,25,62,-0.1972899436950683,-0.2511150538921356,0.2313570231199264,0.0538251101970672,0.8387096774193549,0.02938237131861666,-0.30870344345700695,-0.19352666432726431,False,1.0854006094380262,-8.546452945172236
HLA_A,HLA-A (class I),25,62,-0.0478444099426269,-0.0541564524173736,0.2392942756414413,0.0063120424747467,0.6451612903225806,0.030390403396881635,-0.11372054855090533,0.0054076437161581226,True,0.22631737542490013,-1.7820247961213507
HLA_E,HLA-E (class I),25,62,0.2067910432815551,0.1516581773757934,0.2244158834218979,0.0551328659057617,0.7419354838709677,0.028500845695440976,0.09579754628379566,0.20751880846779114,False,0.6757907464628015,5.321181658832418
CD9,CD9,25,62,-0.0918545722961425,-0.0987069532275199,0.0967494696378707,0.0068523809313774,0.8709677419354839,0.012287194931210655,-0.1227894127637159,-0.07462449369132391,False,1.0202324994335987,-8.033318733862906
CD279,PD-1 (CD279),25,62,-0.4300311803817749,-0.393881618976593,0.2201419174671173,0.0361495614051818,0.9838709677419356,0.027958051476389353,-0.44867839294823303,-0.339084845004953,False,1.789216808450064,-14.088307238050087
CD117,CD117,50,124,-0.2805254459381103,-0.3014231324195862,0.2357938587665558,0.0208976864814758,0.9032258064516128,0.02117491360991298,-0.34292520047076264,-0.2599210643684097,False,1.2783332610795672,-14.2349167497182
CD119,IFNGR1 (CD119),50,124,-0.0929393768310546,-0.0786328837275505,0.1495223641395568,0.0143064931035041,0.7016129032258065,0.01342750468552126,-0.10495030931341501,-0.05231545814168601,False,0.5258937964233795,-5.856105476718957
CD140a,CD140a,50,124,-0.0699936151504516,-0.0654181987047195,0.2026320099830627,0.0045754164457321,0.6290322580645161,0.01819689167665022,-0.10108345102153062,-0.02975294638790839,False,0.3228423717959842,-3.5950205049944017
CD140b,CD140b,50,124,-0.2625113725662231,-0.2235273867845535,0.2172742486000061,0.0389839857816696,0.8870967741935484,0.019511803521222337,-0.2617698189595711,-0.18528495460953592,False,1.0287799323888547,-11.45600848949869
CD172a,CD172a,50,124,-0.2807846069335937,-0.287013828754425,0.1910019218921661,0.0062292218208312,0.935483870967742,0.017152478934568484,-0.32063206971176117,-0.2533955877970888,False,1.5026750825913904,-16.733081547530002
CD184,CD184,50,124,-0.2627780437469482,-0.2654391229152679,0.194603219628334,0.0026610791683197,0.8870967741935484,0.01747588501836487,-0.2996912281492261,-0.23118701768130964,False,1.3640017026553874,-15.188880141768276
