cluster,model,readout,held_units,predicted,substituted,outside_panel,in_panel_not_predicted,other_declined
C1_LOCT,Biolord,None,16,16,0,,,
C1_LOCT,CINEMA-OT,(default),141,141,0,,,
C1_LOCT,CPA,(default),8,8,0,,,
C1_LOCT,CPA,None,8,8,0,,,
C1_LOCT,CellFlow,None,8,8,0,,,
C1_LOCT,CellOT,(default),8,8,0,,,
C1_LOCT,FP-ridge,(default),141,141,0,,,
C1_LOCT,PerturbNet,None,8,8,0,,,
C1_LOCT,STATE,None,8,8,0,,,
C1_LOCT,cell-mean,(default),157,157,0,,,
C1_LOCT,ctrl-pred,(default),157,157,0,,,
C1_LOCT,donor-shift,(default),157,157,0,,,
C1_LOCT,linear-PCA,(default),157,157,0,,,
C1_LOCT,scFoundation,None,16,16,0,,,
C1_LOCT,scGPT,None,16,16,0,,,
C1_LOCT,scGen,(default),16,16,0,,,
C1_LOCT,scPRAM,None,8,8,0,,,
C2,CellOT,(default),2,2,0,,,
C2,STATE,(default),2,2,0,,,
C2,scFoundation,(default),2,2,0,,,
C2,scGPT,(default),2,2,0,,,
C2,scPRAM,(default),2,2,0,,,
C2_LODO,Biolord,None,2,2,0,,,
C2_LODO,CPA,None,2,2,0,,,
C2_LODO,CellFlow,None,2,2,0,,,
C2_LODO,PertAdapt,(default),2,2,0,,,
C2_LODO,PerturbNet,None,2,2,0,,,
C2_LODO,cell-mean,(default),2,2,0,,,
C2_LODO,ctrl-pred,(default),2,2,0,,,
C2_LODO,donor-shift,(default),2,2,0,,,
C2_LODO,linear-PCA,(default),2,2,0,,,
C2_LODO,scGen,(default),2,2,0,,,
C3_LO_gene,AttentionPert,chen,187,187,0,,,
C3_LO_gene,AttentionPert,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,AttentionPert,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,AttentionPert,schmidt,50,50,0,,,
C3_LO_gene,AttentionPert,shifrut,14,14,0,,,
C3_LO_gene,Biolord,chen,30,30,0,,,
C3_LO_gene,Biolord,mccutcheon_CRISPRa,2,2,0,,,
C3_LO_gene,Biolord,mccutcheon_CRISPRi,2,2,0,,,
