donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,seed_scores,seeds,n_test,n_ctrl,n_strata,n_response_genes,best_mmd,leak_free
D348,pearson_delta,0.309,cell-mean,0.2442,0.0648,[0.309],0,600,600,2,83,0.03044,True
D354,pearson_delta,0.3196,cell-mean,0.2695,0.0501,[0.3196],0,600,600,2,79,0.0307,True
D363,pearson_delta,0.3475,cell-mean,0.2361,0.1114,[0.3475],0,572,600,2,81,0.03072,True
D369,pearson_delta,0.3095,cell-mean,0.2662,0.0433,[0.3095],0,533,600,2,75,0.03084,True
D378,pearson_delta,0.3003,cell-mean,0.2886,0.0117,[0.3003],0,371,600,2,76,0.03072,True
D387,pearson_delta,0.3886,cell-mean,0.3917,-0.0031,[0.3886],0,472,600,2,72,0.03059,True
D393,pearson_delta,0.4382,cell-mean,0.2641,0.1741,[0.4382],0,600,600,2,76,0.03016,True
D405,pearson_delta,0.4411,cell-mean,0.2527,0.1884,[0.4411],0,600,600,2,71,0.03072,True
D411,pearson_delta,0.2917,cell-mean,0.1781,0.1136,[0.2917],0,600,600,2,70,0.03053,True
D417,pearson_delta,0.1374,cell-mean,0.3019,-0.1645,[0.1374],0,370,600,2,76,0.03083,True
D423,pearson_delta,0.0342,cell-mean,0.1453,-0.1111,[0.0342],0,300,600,1,73,0.03052,True
D429,pearson_delta,0.3505,cell-mean,0.1476,0.2029,[0.3505],0,600,600,2,81,0.03058,True
D435,pearson_delta,0.4177,cell-mean,0.2896,0.1281,[0.4177],0,600,600,2,76,0.03055,True
D443,pearson_delta,0.3724,cell-mean,0.2,0.1724,[0.3724],0,600,600,2,73,0.03066,True
D450,pearson_delta,0.3721,cell-mean,0.3181,0.054,[0.3721],0,600,600,2,77,0.03045,True
D456,pearson_delta,0.4561,cell-mean,0.3228,0.1333,[0.4561],0,600,600,2,80,0.03085,True
D462,pearson_delta,0.3008,cell-mean,0.2765,0.0243,[0.3008],0,600,600,2,76,0.03077,True
D482,pearson_delta,0.3575,cell-mean,0.3165,0.041,[0.3575],0,600,600,2,75,0.03048,True
D349,pearson_delta,0.3124,cell-mean,0.2732,0.0392,[0.3124],0,600,600,2,76,0.03072,True
D355,pearson_delta,0.2184,cell-mean,0.491,-0.2726,[0.2184],0,600,600,2,74,0.03077,True
D364,pearson_delta,0.2969,cell-mean,0.2336,0.0633,[0.2969],0,484,600,2,71,0.03088,True
D370,pearson_delta,0.3809,cell-mean,0.2213,0.1596,[0.3809],0,600,600,2,77,0.03057,True
D379,pearson_delta,0.19,cell-mean,0.0987,0.0913,[0.19],0,434,600,2,72,0.03044,True
D388,pearson_delta,0.3941,cell-mean,0.3449,0.0492,[0.3941],0,600,600,2,74,0.03092,True
D394,pearson_delta,0.3181,cell-mean,0.3271,-0.009,[0.3181],0,600,600,2,79,0.03098,True
D406,pearson_delta,0.371,cell-mean,0.3131,0.0579,[0.371],0,600,600,2,75,0.03074,True
D412,pearson_delta,0.2841,cell-mean,0.313,-0.0289,[0.2841],0,600,600,2,74,0.03089,True
D418,pearson_delta,0.3759,cell-mean,0.2687,0.1072,[0.3759],0,518,600,2,68,0.03083,True
D424,pearson_delta,0.2614,cell-mean,0.0016,0.2598,[0.2614],0,300,600,1,71,0.03039,True
D430,pearson_delta,0.5588,cell-mean,0.3687,0.1901,[0.5588],0,600,600,2,74,0.03065,True
D436,pearson_delta,0.3858,cell-mean,0.26,0.1258,[0.3858],0,600,600,2,78,0.03072,True
D445,pearson_delta,0.4613,cell-mean,0.2353,0.226,[0.4613],0,600,600,2,78,0.03033,True
D451,pearson_delta,0.3194,cell-mean,0.5194,-0.2,[0.3194],0,600,600,2,70,0.03067,True
D457,pearson_delta,0.5304,cell-mean,0.2666,0.2638,[0.5304],0,600,600,2,78,0.03075,True
D463,pearson_delta,0.497,cell-mean,0.4593,0.0377,[0.497],0,600,600,2,80,0.0306,True
D483,pearson_delta,0.3821,cell-mean,0.2959,0.0862,[0.3821],0,600,600,2,76,0.03074,True
D350,pearson_delta,0.3759,cell-mean,0.1751,0.2008,[0.3759],0,555,578,2,83,0.03024,True
D356,pearson_delta,0.3196,cell-mean,0.2225,0.0971,[0.3196],0,541,600,2,73,0.03065,True
D365,pearson_delta,0.3962,cell-mean,0.2975,0.0987,[0.3962],0,549,600,2,75,0.03084,True
D371,pearson_delta,0.1992,cell-mean,0.1672,0.032,[0.1992],0,419,600,2,75,0.03089,True
D380,pearson_delta,0.3771,cell-mean,0.1055,0.2716,[0.3771],0,341,600,2,73,0.03066,True
D389,pearson_delta,0.4407,cell-mean,0.2057,0.235,[0.4407],0,552,600,2,70,0.03084,True
D395,pearson_delta,0.3703,cell-mean,0.3016,0.0687,[0.3703],0,600,600,2,77,0.03083,True
D407,pearson_delta,0.4406,cell-mean,0.2502,0.1904,[0.4406],0,600,600,2,77,0.03109,True
D413,pearson_delta,0.3697,cell-mean,0.1742,0.1955,[0.3697],0,600,600,2,70,0.03058,True
D419,pearson_delta,0.279,cell-mean,0.1633,0.1157,[0.279],0,466,600,2,73,0.03078,True
D425,pearson_delta,0.2975,cell-mean,0.0322,0.2653,[0.2975],0,300,600,1,74,0.03039,True
D431,pearson_delta,0.3334,cell-mean,0.2533,0.0801,[0.3334],0,600,600,2,91,0.0306,True
D439,pearson_delta,0.4443,cell-mean,0.2346,0.2097,[0.4443],0,600,600,2,78,0.03034,True
D446,pearson_delta,0.4215,cell-mean,0.1898,0.2317,[0.4215],0,600,600,2,78,0.03012,True
D452,pearson_delta,0.3932,cell-mean,0.2823,0.1109,[0.3932],0,600,600,2,77,0.02989,True
D458,pearson_delta,0.4406,cell-mean,0.3076,0.133,[0.4406],0,600,600,2,81,0.03048,True
D464,pearson_delta,0.4327,cell-mean,0.4693,-0.0366,[0.4327],0,600,600,2,72,0.031,True
D484,pearson_delta,0.4262,cell-mean,0.2285,0.1977,[0.4262],0,600,600,2,73,0.03087,True
D351,pearson_delta,0.3744,cell-mean,0.234,0.1404,[0.3744],0,600,600,2,81,0.03052,True
D357,pearson_delta,0.3616,cell-mean,0.2985,0.0631,[0.3616],0,460,600,2,76,0.03032,True
D366,pearson_delta,0.4332,cell-mean,0.1424,0.2908,[0.4332],0,534,600,2,72,0.03035,True
D372,pearson_delta,0.3029,cell-mean,0.1752,0.1277,[0.3029],0,496,600,2,77,0.03089,True
D381,pearson_delta,0.2405,cell-mean,0.2179,0.0226,[0.2405],0,342,600,2,75,0.03065,True
D390,pearson_delta,0.4438,cell-mean,0.2316,0.2122,[0.4438],0,553,600,2,74,0.03078,True
D396,pearson_delta,0.4005,cell-mean,0.2728,0.1277,[0.4005],0,600,600,2,75,0.03111,True
D408,pearson_delta,0.3514,cell-mean,0.1297,0.2217,[0.3514],0,600,600,2,72,0.03108,True
D414,pearson_delta,0.4462,cell-mean,0.1917,0.2545,[0.4462],0,600,600,2,75,0.03074,True
D420,pearson_delta,0.3662,cell-mean,0.2925,0.0737,[0.3662],0,386,600,2,75,0.03032,True
D426,pearson_delta,0.3385,cell-mean,0.2359,0.1026,[0.3385],0,600,600,2,84,0.03055,True
D432,pearson_delta,0.314,cell-mean,0.2601,0.0539,[0.314],0,600,600,2,72,0.03056,True
D440,pearson_delta,0.3482,cell-mean,0.2264,0.1218,[0.3482],0,600,600,2,75,0.03001,True
D447,pearson_delta,0.7126,cell-mean,0.2391,0.4735,[0.7126],0,600,600,2,73,0.03038,True
D453,pearson_delta,0.4406,cell-mean,0.3893,0.0513,[0.4406],0,600,600,2,79,0.03071,True
D459,pearson_delta,0.6239,cell-mean,0.3851,0.2388,[0.6239],0,600,600,2,76,0.03069,True
D465,pearson_delta,0.3859,cell-mean,0.3868,-0.0009,[0.3859],0,600,600,2,76,0.0307,True
D485,pearson_delta,0.5234,cell-mean,0.2246,0.2988,[0.5234],0,600,600,2,74,0.03059,True
D352,pearson_delta,0.3605,cell-mean,0.2925,0.068,[0.3605],0,600,600,2,77,0.03076,True
D358,pearson_delta,0.4699,cell-mean,0.3657,0.1042,[0.4699],0,538,600,2,74,0.03022,True
D367,pearson_delta,0.3226,cell-mean,0.3213,0.0013,[0.3226],0,508,600,2,79,0.03072,True
D373,pearson_delta,0.1612,cell-mean,0.1802,-0.019,[0.1612],0,576,600,2,76,0.03039,True
D382,pearson_delta,0.2779,cell-mean,0.2127,0.0652,[0.2779],0,600,600,2,78,0.03048,True
D391,pearson_delta,0.3756,cell-mean,0.3279,0.0477,[0.3756],0,596,600,2,75,0.03056,True
D397,pearson_delta,0.3594,cell-mean,0.3153,0.0441,[0.3594],0,600,600,2,77,0.03081,True
D409,pearson_delta,0.4066,cell-mean,0.2315,0.1751,[0.4066],0,567,600,2,78,0.03048,True
D415,pearson_delta,0.3764,cell-mean,0.2996,0.0768,[0.3764],0,600,600,2,71,0.03091,True
D421,pearson_delta,0.2459,cell-mean,0.1142,0.1317,[0.2459],0,300,600,1,66,0.03039,True
D427,pearson_delta,0.4281,cell-mean,0.1482,0.2799,[0.4281],0,600,600,2,83,0.03055,True
D433,pearson_delta,0.3986,cell-mean,0.2424,0.1562,[0.3986],0,600,600,2,76,0.03045,True
D441,pearson_delta,0.3704,cell-mean,0.2576,0.1128,[0.3704],0,600,600,2,74,0.03038,True
D448,pearson_delta,0.4798,cell-mean,0.3312,0.1486,[0.4798],0,600,600,2,75,0.0303,True
D454,pearson_delta,0.3549,cell-mean,0.5603,-0.2054,[0.3549],0,300,300,1,80,0.03037,True
D460,pearson_delta,0.4181,cell-mean,0.3374,0.0807,[0.4181],0,600,600,2,79,0.03043,True
D466,pearson_delta,0.3458,cell-mean,0.3144,0.0314,[0.3458],0,600,600,2,77,0.03066,True
D353,pearson_delta,0.4686,cell-mean,0.2891,0.1795,[0.4686],0,583,600,2,84,0.03069,True
D359,pearson_delta,0.3831,cell-mean,0.3758,0.0073,[0.3831],0,600,600,2,81,0.0307,True
D368,pearson_delta,0.3028,cell-mean,0.2184,0.0844,[0.3028],0,534,600,2,75,0.03063,True
D374,pearson_delta,0.3027,cell-mean,0.1489,0.1538,[0.3027],0,579,600,2,76,0.03059,True
D383,pearson_delta,0.2855,cell-mean,0.286,-0.0005,[0.2855],0,273,600,2,75,0.03093,True
D392,pearson_delta,0.3383,cell-mean,0.223,0.1153,[0.3383],0,600,600,2,74,0.03061,True
D398,pearson_delta,0.4837,cell-mean,0.2945,0.1892,[0.4837],0,600,600,2,74,0.03072,True
D410,pearson_delta,0.3795,cell-mean,0.3206,0.0589,[0.3795],0,600,600,2,74,0.03083,True
D416,pearson_delta,0.1683,cell-mean,0.287,-0.1187,[0.1683],0,353,600,2,78,0.03091,True
D422,pearson_delta,0.2606,cell-mean,-0.0524,0.313,[0.2606],0,300,600,1,74,0.0304,True
D428,pearson_delta,0.4087,cell-mean,0.1926,0.2161,[0.4087],0,515,600,2,87,0.03074,True
D434,pearson_delta,0.41,cell-mean,0.1196,0.2904,[0.41],0,482,600,2,73,0.03076,True
D442,pearson_delta,0.403,cell-mean,0.2715,0.1315,[0.403],0,600,600,2,76,0.03043,True
D449,pearson_delta,0.3385,cell-mean,0.308,0.0305,[0.3385],0,600,600,2,79,0.03045,True
D455,pearson_delta,0.4076,cell-mean,0.1853,0.2223,[0.4076],0,466,518,2,74,0.03045,True
D461,pearson_delta,0.3403,cell-mean,0.3296,0.0107,[0.3403],0,600,600,2,80,0.03061,True
D481,pearson_delta,0.3816,cell-mean,0.2954,0.0862,[0.3816],0,600,600,2,69,0.03061,True
D348,e_distance,0.6281,cell-mean,5.7575,5.1294,"[0.5705, 0.7656, 0.5482]","0,1,2",600,600,2,83,0.03044,True
D348,aucell_delta_score,-0.0118,donor-shift,-0.0268,0.015,"[-0.0143, -0.0115, -0.0097]","0,1,2",600,600,2,83,0.03044,True
D349,e_distance,0.5613,cell-mean,5.9013,5.34,"[0.5831, 0.5319, 0.5688]","0,1,2",600,600,2,76,0.0307,True
D349,aucell_delta_score,-0.0163,cell-mean,-0.0623,0.046,"[-0.0146, -0.0179, -0.0163]","0,1,2",600,600,2,76,0.0307,True
D350,e_distance,0.6929,cell-mean,6.7132,6.0203,"[0.6971, 0.7412, 0.6403]","0,1,2",555,578,2,83,0.03029,True
D350,aucell_delta_score,-0.0149,donor-shift,-0.0167,0.0018,"[-0.0193, -0.0129, -0.0126]","0,1,2",555,578,2,83,0.03029,True
D351,e_distance,0.5219,donor-shift,6.0052,5.4833,"[0.5078, 0.5952, 0.4626]","0,1,2",600,600,2,81,0.03053,True
D351,aucell_delta_score,-0.0154,donor-shift,-0.0198,0.0044,"[-0.0147, -0.018, -0.0136]","0,1,2",600,600,2,81,0.03053,True
D352,e_distance,0.6839,cell-mean,6.2537,5.5698,"[0.6491, 0.7444, 0.6581]","0,1,2",600,600,2,77,0.03075,True
D352,aucell_delta_score,-0.0259,cell-mean,-0.0395,0.0136,"[-0.0249, -0.0292, -0.0236]","0,1,2",600,600,2,77,0.03075,True
D353,e_distance,0.576,donor-shift,6.4607,5.8847,"[0.5452, 0.5585, 0.6242]","0,1,2",583,600,2,84,0.03093,True
D353,aucell_delta_score,-0.0139,donor-shift,-0.0359,0.022,"[-0.0096, -0.0191, -0.0131]","0,1,2",583,600,2,84,0.03093,True
D354,e_distance,0.6144,cell-mean,5.6505,5.0361,"[0.5771, 0.6533, 0.6128]","0,1,2",600,600,2,79,0.03066,True
D354,aucell_delta_score,-0.0187,donor-shift,-0.0188,0.0001,"[-0.0216, -0.0197, -0.0149]","0,1,2",600,600,2,79,0.03066,True
D355,e_distance,0.603,cell-mean,5.9941,5.3911,"[0.642, 0.5333, 0.6337]","0,1,2",600,600,2,74,0.03078,True
D355,aucell_delta_score,-0.0144,donor-shift,-0.0205,0.0061,"[-0.0097, -0.0144, -0.0192]","0,1,2",600,600,2,74,0.03078,True
D356,e_distance,0.5473,donor-shift,5.4193,4.872,"[0.5227, 0.5989, 0.5202]","0,1,2",541,600,2,73,0.03062,True
D356,aucell_delta_score,-0.014,donor-shift,-0.02,0.006,"[-0.0131, -0.0144, -0.0146]","0,1,2",541,600,2,73,0.03062,True
D357,e_distance,0.4195,donor-shift,5.3469,4.9274,"[0.4203, 0.407, 0.4312]","0,1,2",460,600,2,76,0.03053,True
D357,aucell_delta_score,-0.0156,donor-shift,-0.0194,0.0038,"[-0.0123, -0.0144, -0.02]","0,1,2",460,600,2,76,0.03053,True
D358,e_distance,0.4267,donor-shift,5.3502,4.9235,"[0.4267, 0.4771, 0.3764]","0,1,2",538,600,2,74,0.03053,True
D358,aucell_delta_score,-0.0138,donor-shift,-0.0222,0.0084,"[-0.0143, -0.0138, -0.0133]","0,1,2",538,600,2,74,0.03053,True
D359,e_distance,0.5116,donor-shift,6.1085,5.5969,"[0.4937, 0.5187, 0.5224]","0,1,2",600,600,2,81,0.03069,True
D359,aucell_delta_score,-0.0133,donor-shift,-0.0202,0.0069,"[-0.0133, -0.0129, -0.0138]","0,1,2",600,600,2,81,0.03069,True
D363,e_distance,0.3788,donor-shift,4.9872,4.6084,"[0.3567, 0.3943, 0.3855]","0,1,2",572,600,2,81,0.03076,True
D363,aucell_delta_score,-0.0147,donor-shift,-0.0192,0.0045,"[-0.0135, -0.0134, -0.0172]","0,1,2",572,600,2,81,0.03076,True
D364,e_distance,0.5688,donor-shift,5.2368,4.668,"[0.5652, 0.6051, 0.5361]","0,1,2",484,600,2,71,0.03078,True
D364,aucell_delta_score,-0.0203,donor-shift,-0.0157,-0.0046,"[-0.0166, -0.0242, -0.02]","0,1,2",484,600,2,71,0.03078,True
D365,e_distance,0.5576,cell-mean,5.5152,4.9576,"[0.5948, 0.5722, 0.5059]","0,1,2",549,600,2,75,0.03071,True
D365,aucell_delta_score,-0.0206,donor-shift,-0.0291,0.0085,"[-0.02, -0.0195, -0.0224]","0,1,2",549,600,2,75,0.03071,True
D366,e_distance,0.6061,donor-shift,5.9953,5.3892,"[0.5445, 0.7534, 0.5204]","0,1,2",534,600,2,72,0.03068,True
D366,aucell_delta_score,-0.0146,donor-shift,-0.0175,0.0029,"[-0.013, -0.0147, -0.0162]","0,1,2",534,600,2,72,0.03068,True
D367,e_distance,0.5286,donor-shift,5.0636,4.535,"[0.5253, 0.4835, 0.577]","0,1,2",508,600,2,79,0.03058,True
D367,aucell_delta_score,-0.0174,donor-shift,-0.0184,0.001,"[-0.0143, -0.0187, -0.0191]","0,1,2",508,600,2,79,0.03058,True
D368,e_distance,0.4927,donor-shift,5.4474,4.9547,"[0.4727, 0.5817, 0.4237]","0,1,2",534,600,2,75,0.03089,True
D368,aucell_delta_score,-0.028,cell-mean,-0.0376,0.0096,"[-0.0303, -0.0248, -0.0288]","0,1,2",534,600,2,75,0.03089,True
D369,e_distance,0.8544,donor-shift,6.3558,5.5014,"[0.9763, 0.6988, 0.8882]","0,1,2",533,600,2,75,0.03085,True
D369,aucell_delta_score,-0.0165,cell-mean,-0.0462,0.0297,"[-0.0144, -0.0131, -0.0219]","0,1,2",533,600,2,75,0.03085,True
D370,e_distance,0.7169,donor-shift,5.5581,4.8412,"[0.7709, 0.6843, 0.6956]","0,1,2",600,600,2,77,0.03071,True
D370,aucell_delta_score,-0.0149,donor-shift,-0.0399,0.025,"[-0.0173, -0.0135, -0.014]","0,1,2",600,600,2,77,0.03071,True
D371,e_distance,1.4423,donor-shift,6.5617,5.1194,"[1.4625, 1.4429, 1.4214]","0,1,2",419,600,2,75,0.03087,True
D371,aucell_delta_score,-0.0151,donor-shift,-0.0549,0.0398,"[-0.0129, -0.0158, -0.0165]","0,1,2",419,600,2,75,0.03087,True
D372,e_distance,0.9506,cell-mean,5.7547,4.8041,"[0.8727, 0.9894, 0.9896]","0,1,2",496,600,2,77,0.03078,True
D372,aucell_delta_score,-0.0145,donor-shift,-0.0178,0.0033,"[-0.016, -0.0146, -0.0128]","0,1,2",496,600,2,77,0.03078,True
D373,e_distance,0.8966,donor-shift,5.797,4.9004,"[0.9607, 0.9184, 0.8107]","0,1,2",576,600,2,76,0.03048,True
D373,aucell_delta_score,-0.0182,donor-shift,-0.0222,0.004,"[-0.0192, -0.0181, -0.0172]","0,1,2",576,600,2,76,0.03048,True
D374,e_distance,1.1149,donor-shift,5.9545,4.8396,"[1.1269, 1.043, 1.1747]","0,1,2",579,600,2,76,0.0307,True
D374,aucell_delta_score,-0.0177,donor-shift,-0.021,0.0033,"[-0.0146, -0.0187, -0.0199]","0,1,2",579,600,2,76,0.0307,True
D378,e_distance,0.5739,cell-mean,6.1325,5.5586,"[0.5304, 0.6232, 0.568]","0,1,2",371,600,2,76,0.03057,True
D378,aucell_delta_score,-0.0103,donor-shift,-0.0205,0.0102,"[-0.0098, -0.012, -0.009]","0,1,2",371,600,2,76,0.03057,True
D379,e_distance,0.5337,donor-shift,5.7598,5.2261,"[0.5156, 0.6013, 0.4841]","0,1,2",434,600,2,72,0.03051,True
D379,aucell_delta_score,-0.0136,donor-shift,-0.0231,0.0095,"[-0.0129, -0.0161, -0.0117]","0,1,2",434,600,2,72,0.03051,True
D380,e_distance,0.7145,cell-mean,6.1822,5.4677,"[0.6748, 0.7108, 0.758]","0,1,2",341,600,2,73,0.03053,True
D380,aucell_delta_score,-0.0254,cell-mean,-0.0386,0.0132,"[-0.0259, -0.0252, -0.0251]","0,1,2",341,600,2,73,0.03053,True
D381,e_distance,0.5626,donor-shift,5.6077,5.0451,"[0.5846, 0.548, 0.5552]","0,1,2",342,600,2,75,0.03067,True
D381,aucell_delta_score,-0.0175,donor-shift,-0.0395,0.022,"[-0.0181, -0.0175, -0.0169]","0,1,2",342,600,2,75,0.03067,True
D382,e_distance,0.5518,donor-shift,5.687,5.1352,"[0.5371, 0.5844, 0.5339]","0,1,2",600,600,2,78,0.03059,True
D382,aucell_delta_score,-0.0177,donor-shift,-0.0242,0.0065,"[-0.0224, -0.0152, -0.0156]","0,1,2",600,600,2,78,0.03059,True
D383,e_distance,0.4557,donor-shift,5.4582,5.0025,"[0.436, 0.4612, 0.4699]","0,1,2",273,600,2,75,0.03081,True
D383,aucell_delta_score,-0.0237,cell-mean,-0.0324,0.0087,"[-0.0252, -0.0222, -0.0238]","0,1,2",273,600,2,75,0.03081,True
D387,e_distance,0.3907,cell-mean,5.2851,4.8944,"[0.3592, 0.4285, 0.3843]","0,1,2",472,600,2,72,0.03059,True
D387,aucell_delta_score,-0.0158,donor-shift,-0.0275,0.0117,"[-0.0219, -0.0103, -0.0153]","0,1,2",472,600,2,72,0.03059,True
