task_key,task_id,task,cluster,split,unit,model,status,binding_floor,n_units,model_score,binding_floor_score,margin,margin_min,margin_max,units_below_floor,units_above_floor,inference,ci_lo,ci_hi,mde_80,verdict
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,Biolord,native,linear-PCA,8,0.5881305853521962,0.7803340183986434,-0.1922034330464471,-0.38395511112776215,-0.056743292756890495,8/8,0/8,bootstrap 95% CI,-0.27117914758939865,-0.12046036328367304,0.10771920339698685,negative margin CI (unadjusted)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,CellFlow,native,linear-PCA,8,0.798473897664409,0.7803340183986434,0.01813987926576567,-0.045993833964486974,0.10615542864672589,4/8,4/8,bootstrap 95% CI,-0.011111182524546,0.05080124781388423,0.04424901452826934,inconclusive (interval spans zero)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,CellOT,native,linear-PCA,8,0.7865032952386336,0.7803340183986434,0.006169276839990218,-0.04624361503930419,0.09397650160421556,4/8,4/8,bootstrap 95% CI,-0.023757387774505135,0.038222939572145204,0.044297540739996685,inconclusive (interval spans zero)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,STATE,native,linear-PCA,8,0.7081211484055274,0.7803340183986434,-0.07221286999311588,-0.1500914717052767,-0.006558647739942081,8/8,0/8,bootstrap 95% CI,-0.10213279401086531,-0.0444941308198786,0.04119453930311758,negative margin CI (unadjusted)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scFoundation,adapted,linear-PCA,8,0.6773348390507976,0.7803340183986434,-0.10299917934784573,-0.18741475848350764,-0.038783191915013004,8/8,0/8,bootstrap 95% CI,-0.13437673468909433,-0.07349494654464284,0.04351241121346609,negative margin CI (unadjusted)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scGPT,adapted,linear-PCA,8,0.5854766811176123,0.7803340183986434,-0.19485733728103105,-0.4204145213702708,-0.06535889436946718,8/8,0/8,bootstrap 95% CI,-0.276621477891656,-0.1219285201479607,0.11055955802744345,negative margin CI (unadjusted)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scGen,native,linear-PCA,8,0.7496655437905164,0.7803340183986434,-0.03066847460812694,-0.09073671696518237,0.0507260366150839,6/8,2/8,bootstrap 95% CI,-0.06001912245235788,0.0004035620952833052,0.04318428838555911,inconclusive (interval spans zero)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scPRAM,native,linear-PCA,8,0.7507165556262891,0.7803340183986434,-0.029617462772354275,-0.10241234224239082,0.08319081552848129,7/8,1/8,bootstrap 95% CI,-0.06020212373797179,0.006508537568624337,0.04767832574509255,inconclusive (interval spans zero)
T2,T2,donor/Soskic,C2,donor (LODO),donor,Biolord,native,cell-mean,106,0.08216310128224015,0.25981503890705626,-0.17765193762481613,-0.31270721426574316,0.03496650350397945,103/106,3/106,bootstrap 95% CI,-0.19153611874601412,-0.1639783965664256,0.019695593315026374,negative margin CI (unadjusted)
T2,T2,donor/Soskic,C2,donor (LODO),donor,CellFlow,native,cell-mean,106,0.23734418502622434,0.25981503890705626,-0.022470853880831927,-0.16039636062176,0.12922228763219387,73/106,33/106,bootstrap 95% CI,-0.03322172992719194,-0.01137749754547592,0.015612143647629759,negative margin CI (unadjusted)
