task_key,task_id,cluster,task,split,unit_kind,unit,model,execution_model,status,pearson_delta,bundle_path
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,CPA,CPA,native,0.362148553716997,predictions/v2_native/C1_LOCT__CPA__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,CPA,CPA,native,0.3410425938980195,predictions/v2_native/C1_LOCT__CPA__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,CPA,CPA,native,0.5348744614000643,predictions/v2_native/C1_LOCT__CPA__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,CPA,CPA,native,0.5043522727715918,predictions/v2_native/C1_LOCT__CPA__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,CPA,CPA,native,0.2718319477246286,predictions/v2_native/C1_LOCT__CPA__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,CPA,CPA,native,0.4088526910027206,predictions/v2_native/C1_LOCT__CPA__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,CPA,CPA,native,0.2599228698339759,predictions/v2_native/C1_LOCT__CPA__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,CPA,CPA,native,0.40826855934734224,predictions/v2_native/C1_LOCT__CPA__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,CellFlow,CellFlow,native,0.8261516048789135,predictions/C1_LOCT__CellFlow__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,CellFlow,CellFlow,native,0.8164834431195068,predictions/C1_LOCT__CellFlow__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,CellFlow,CellFlow,native,0.7922935305430429,predictions/C1_LOCT__CellFlow__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,CellFlow,CellFlow,native,0.8268722137294132,predictions/C1_LOCT__CellFlow__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,CellFlow,CellFlow,native,0.5564121775083384,predictions/C1_LOCT__CellFlow__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,CellFlow,CellFlow,native,0.9251928453110407,predictions/C1_LOCT__CellFlow__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,CellFlow,CellFlow,native,0.8780820817883865,predictions/C1_LOCT__CellFlow__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,CellFlow,CellFlow,native,0.7663032844366302,predictions/C1_LOCT__CellFlow__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,CellOT,CellOT,native,0.8124228150370959,predictions/C1/C1_LOCT__CellOT__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,CellOT,CellOT,native,0.8184384967692631,predictions/C1/C1_LOCT__CellOT__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,CellOT,CellOT,native,0.7636043237442822,predictions/C1/C1_LOCT__CellOT__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,CellOT,CellOT,native,0.7952035301282412,predictions/C1/C1_LOCT__CellOT__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,CellOT,CellOT,native,0.5561623964335212,predictions/C1/C1_LOCT__CellOT__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,CellOT,CellOT,native,0.9130139182685304,predictions/C1/C1_LOCT__CellOT__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,CellOT,CellOT,native,0.8960799485187844,predictions/C1/C1_LOCT__CellOT__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,CellOT,CellOT,native,0.7371009330093503,predictions/C1/C1_LOCT__CellOT__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,PerturbNet,PerturbNet,native,0.7891262844852266,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_B.npz
