compound,seed,chemCPA_pearson_delta,chemCPA_e_distance,baseline_pearson_delta,FP_ridge_pearson_delta,CPA_existing_pearson_delta
5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0,0.126052,21.162835,0.313721,0.332773,0.226585
ABT-199 (GDC-0199),0,0.139915,19.72438,0.11862,0.073865,-0.010562
AT 7867,0,0.117556,19.719749,0.241185,0.199983,0.120842
AZD3514,0,0.131189,18.80311,0.185799,0.161072,0.14633
BMS-536924,0,0.109458,21.33331,0.271561,0.161696,0.106768
Cabozantinib,0,0.154659,18.511779,0.142421,0.118919,0.084935
Clomipramine,0,0.119955,19.786192,0.212301,0.127734,0.092113
Clotrimazole,0,0.126308,19.81742,0.176221,0.153448,0.102316
GSK-1070916,0,0.123454,19.739203,0.18526,0.165947,0.112688
HYDROXYUREA,0,0.131465,19.801456,0.183797,0.142352,0.115169
IN1451,0,0.040726,20.249233,0.176061,0.121249,0.130584
LY2090314,0,0.15035,18.578771,0.103726,0.030901,-0.016869
Lapatinib,0,0.145272,19.145952,0.144715,0.124719,0.055394
Masitinib,0,0.119429,19.906522,0.211679,0.173777,0.104134
Mometasone Furoate,0,0.107321,20.159579,0.303899,0.358519,0.264921
Navitoclax,0,0.14255,19.635097,0.110307,0.118447,0.08491
PRT-062607,0,0.109383,20.645279,0.280136,0.318423,0.259469
Perhexiline,0,0.107975,21.122712,0.267271,0.233128,0.155532
Pitavastatin Calcium,0,0.167131,19.981601,0.038365,0.179231,0.185221
Proscillaridin A;Proscillaridin-A,0,0.140545,20.3552,0.107864,0.064875,0.082365
Ricolinostat,0,0.065725,19.208316,0.107612,0.096144,0.039533
SCH-58261,0,0.136871,19.07975,0.152661,0.132343,0.10292
Selumetinib,0,0.128318,20.090033,0.236229,0.221449,0.185372
TL_HRAS26,0,0.135486,19.234313,0.185488,0.149891,0.09973
Tivozanib,0,0.138581,19.772672,0.189419,0.176147,0.117099
Topotecan,0,0.159245,18.536671,0.164839,0.142418,0.099424
Vorinostat,0,-0.1891,19.686213,-0.135182,0.115004,-0.04773
YK 4-279,0,0.16354,18.982178,0.145052,0.203159,0.153476
5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,1,0.066379,21.643652,0.313721,0.332773,0.226585
ABT-199 (GDC-0199),1,0.081918,19.730686,0.11862,0.073865,-0.010562
AT 7867,1,0.085337,19.975337,0.241185,0.199983,0.120842
AZD3514,1,0.068025,19.089913,0.185799,0.161072,0.14633
BMS-536924,1,0.073005,21.723519,0.271561,0.161696,0.106768
Cabozantinib,1,0.059805,18.812293,0.142421,0.118919,0.084935
Clomipramine,1,0.074836,20.04879,0.212301,0.127734,0.092113
Clotrimazole,1,0.071808,20.142062,0.176221,0.153448,0.102316
GSK-1070916,1,0.070187,20.063052,0.18526,0.165947,0.112688
HYDROXYUREA,1,0.069507,20.173718,0.183797,0.142352,0.115169
IN1451,1,0.086011,20.653169,0.176061,0.121249,0.130584
LY2090314,1,0.134953,18.675578,0.103726,0.030901,-0.016869
Lapatinib,1,0.073998,19.402159,0.144715,0.124719,0.055394
Masitinib,1,0.069295,20.21496,0.211679,0.173777,0.104134
Mometasone Furoate,1,0.059276,20.760967,0.303899,0.358519,0.264921
Navitoclax,1,0.089079,19.628651,0.110307,0.118447,0.08491
PRT-062607,1,0.0596,21.09946,0.280136,0.318423,0.259469
Perhexiline,1,0.064305,21.56595,0.267271,0.233128,0.155532
Pitavastatin Calcium,1,0.057745,20.314016,0.038365,0.179231,0.185221
Proscillaridin A;Proscillaridin-A,1,0.080415,20.302837,0.107864,0.064875,0.082365
Ricolinostat,1,0.026674,19.452894,0.107612,0.096144,0.039533
SCH-58261,1,0.068122,19.31175,0.152661,0.132343,0.10292
Selumetinib,1,0.065389,20.567716,0.236229,0.221449,0.185372
TL_HRAS26,1,0.080356,19.479356,0.185488,0.149891,0.09973
Tivozanib,1,0.059927,20.172746,0.189419,0.176147,0.117099
Topotecan,1,0.102497,18.899019,0.164839,0.142418,0.099424
Vorinostat,1,-0.145748,19.624859,-0.135182,0.115004,-0.04773
