donor,seed,sec,best_mmd,n_train,n_test,n_ctrl,source,source_row
D371,0,760.2,0.03089,120095,419,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,0
D378,0,751.9,0.03072,120143,371,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,1
D382,0,754.9,0.03048,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,2
D389,0,750.7,0.03084,119962,552,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,3
D393,0,750.7,0.03016,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,4
D397,0,756.9,0.03081,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,5
D407,0,750.1,0.03109,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,6
D411,0,753.4,0.03053,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,7
D415,0,750.4,0.03091,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,8
D419,0,750.8,0.03078,120048,466,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,9
D423,0,750.5,0.03052,120214,300,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,10
D427,0,749.2,0.03055,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,11
D431,0,749.3,0.0306,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,12
D435,0,751.2,0.03055,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,13
D441,0,750.4,0.03038,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,14
D446,0,750.0,0.03012,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,15
D450,0,754.3,0.03045,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,16
D454,0,750.1,0.03037,120514,300,300,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,17
D458,0,748.5,0.03048,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,18
D462,0,752.1,0.03077,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,19
D466,0,754.2,0.03066,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,20
D484,0,758.0,0.03087,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard0_timing.json,21
D372,0,754.9,0.03089,120018,496,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,0
D379,0,744.8,0.03044,120080,434,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,1
D383,0,747.3,0.03093,120241,273,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,2
D390,0,741.6,0.03078,119961,553,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,3
D394,0,744.4,0.03098,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,4
D398,0,739.2,0.03072,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,5
D408,0,739.0,0.03108,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,6
D412,0,742.3,0.03089,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,7
D416,0,741.9,0.03091,120161,353,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,8
D420,0,741.1,0.03032,120128,386,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,9
D424,0,744.1,0.03039,120214,300,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,10
D428,0,742.0,0.03074,119999,515,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,11
D432,0,740.3,0.03056,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,12
D436,0,740.9,0.03072,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,13
D442,0,739.9,0.03043,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,14
D447,0,743.9,0.03038,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,15
D451,0,742.6,0.03067,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,16
D455,0,743.3,0.03045,120130,466,518,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,17
D459,0,738.4,0.03069,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,18
D463,0,742.2,0.0306,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,19
D481,0,742.1,0.03061,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,20
D485,0,741.8,0.03059,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard1_timing.json,21
D373,0,828.4,0.03039,119938,576,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,0
D380,0,792.1,0.03066,120173,341,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,1
D387,0,789.4,0.03059,120042,472,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,2
D391,0,790.0,0.03056,119918,596,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,3
D395,0,786.1,0.03083,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,4
D405,0,786.5,0.03072,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,5
D409,0,784.0,0.03048,119947,567,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,6
D413,0,788.5,0.03058,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,7
D417,0,784.0,0.03083,120144,370,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,8
D421,0,788.5,0.03039,120214,300,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,9
D425,0,784.7,0.03039,120214,300,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,10
D429,0,784.7,0.03058,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,11
D433,0,786.8,0.03045,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,12
D439,0,786.4,0.03034,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,13
D443,0,785.7,0.03066,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,14
D448,0,785.6,0.0303,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,15
D452,0,787.2,0.02989,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,16
D456,0,784.8,0.03085,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,17
D460,0,785.9,0.03043,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,18
D464,0,786.2,0.031,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,19
D482,0,794.9,0.03048,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard2_timing.json,20
D374,0,830.5,0.03059,119935,579,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,0
D381,0,792.8,0.03065,120172,342,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,1
D388,0,760.1,0.03092,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,2
D392,0,751.2,0.03061,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,3
D396,0,751.9,0.03111,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,4
D406,0,752.8,0.03074,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,5
D410,0,754.2,0.03083,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,6
D414,0,755.3,0.03074,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,7
D418,0,751.9,0.03083,119996,518,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,8
D422,0,755.9,0.0304,120214,300,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,9
D426,0,754.3,0.03055,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,10
D430,0,755.4,0.03065,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,11
D434,0,754.2,0.03076,120032,482,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,12
D440,0,754.2,0.03001,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,13
D445,0,754.6,0.03033,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,14
D449,0,752.9,0.03045,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,15
D453,0,756.7,0.03071,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,16
D457,0,751.1,0.03075,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,17
D461,0,753.3,0.03061,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,18
D465,0,756.5,0.0307,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,19
D483,0,756.3,0.03074,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_shard3_timing.json,20
D348,0,671.5,0.03044,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,0
D349,0,677.3,0.03072,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,1
D350,0,715.7,0.03024,119981,555,578,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,2
D351,0,745.5,0.03052,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,3
D352,0,742.0,0.03076,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,4
D353,0,743.6,0.03069,119931,583,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,5
D354,0,742.8,0.0307,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,6
D355,0,744.0,0.03077,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,7
D356,0,741.0,0.03065,119973,541,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,8
D357,0,745.2,0.03032,120054,460,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,9
D358,0,742.3,0.03022,119976,538,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,10
D359,0,742.8,0.0307,119914,600,600,ivcbench/results/provenance_inputs/compute/cellot_soskic_timing.json,11
