cluster,task,split,unit,n_unit,family,model,pearson_delta,floor_cell_mean,floor_linear_PCA,binding_floor,floor_score,margin,floor_mean,delta_vs_floor_mean,delta_vs_cell_mean,delta_vs_linear_PCA,beats_both_floor_members,beats_floor_mean,status,execution_model
C1,cytokine/Kang,cell-context (LOCT),lineage,8,Latent,Biolord,0.5881,0.5896,0.7803,linear-PCA,0.7803,-0.1922,0.6849,-0.0968,-0.0014,-0.1922,False,False,native,Biolord
C1,cytokine/Kang,cell-context (LOCT),lineage,8,Flow,CellFlow,0.7985,0.5896,0.7803,linear-PCA,0.7803,0.0181,0.6849,0.1135,0.2089,0.0181,True,True,native,CellFlow
C1,cytokine/Kang,cell-context (LOCT),lineage,8,OT,CellOT,0.7865,0.5896,0.7803,linear-PCA,0.7803,0.0062,0.6849,0.1016,0.1969,0.0062,True,True,native,CellOT
C1,cytokine/Kang,cell-context (LOCT),lineage,8,Hybrid,STATE,0.7081,0.5896,0.7803,linear-PCA,0.7803,-0.0722,0.6849,0.0232,0.1186,-0.0722,False,True,native,STATE
C1,cytokine/Kang,cell-context (LOCT),lineage,8,Foundation,scFoundation,0.6773,0.5896,0.7803,linear-PCA,0.7803,-0.103,0.6849,-0.0076,0.0878,-0.103,False,False,adapted,scFoundation
C1,cytokine/Kang,cell-context (LOCT),lineage,8,Foundation,scGPT,0.5855,0.5896,0.7803,linear-PCA,0.7803,-0.1949,0.6849,-0.0995,-0.0041,-0.1949,False,False,adapted,scGPT
C1,cytokine/Kang,cell-context (LOCT),lineage,8,Latent,scGen,0.7497,0.5896,0.7803,linear-PCA,0.7803,-0.0307,0.6849,0.0647,0.1601,-0.0307,False,True,native,scGen
C1,cytokine/Kang,cell-context (LOCT),lineage,8,OT,scPRAM,0.7507,0.5896,0.7803,linear-PCA,0.7803,-0.0296,0.6849,0.0658,0.1612,-0.0296,False,True,native,scPRAM
C2,donor/Soskic,donor (LODO),donor,106,Latent,Biolord,0.0822,0.2598,0.0362,cell-mean,0.2598,-0.1777,0.148,-0.0659,-0.1777,0.0459,False,False,native,Biolord
C2,donor/Soskic,donor (LODO),donor,106,Flow,CellFlow,0.2373,0.2598,0.0362,cell-mean,0.2598,-0.0225,0.148,0.0893,-0.0225,0.2011,False,True,native,CellFlow
C2,donor/Soskic,donor (LODO),donor,106,OT,CellOT,0.3666,0.2598,0.0362,cell-mean,0.2598,0.1068,0.148,0.2186,0.1068,0.3304,True,True,native,CellOT
C2,donor/Soskic,donor (LODO),donor,106,Hybrid,PertAdapt,0.2196,0.2598,0.0362,cell-mean,0.2598,-0.0402,0.148,0.0716,-0.0402,0.1834,False,True,adapted,PertAdapt
C2,donor/Soskic,donor (LODO),donor,106,Hybrid,STATE,0.183,0.2598,0.0362,cell-mean,0.2598,-0.0768,0.148,0.035,-0.0768,0.1468,False,True,native,STATE
C2,donor/Soskic,donor (LODO),donor,106,Foundation,scFoundation,0.1197,0.2598,0.0362,cell-mean,0.2598,-0.1401,0.148,-0.0283,-0.1401,0.0835,False,False,adapted,scFoundation
C2,donor/Soskic,donor (LODO),donor,106,Foundation,scGPT,0.2501,0.2598,0.0362,cell-mean,0.2598,-0.0097,0.148,0.1021,-0.0097,0.2139,False,True,adapted,scGPT
C2,donor/Soskic,donor (LODO),donor,106,Latent,scGen,0.147,0.2598,0.0362,cell-mean,0.2598,-0.1128,0.148,-0.001,-0.1128,0.1108,False,False,native,scGen
C2,donor/Soskic,donor (LODO),donor,106,OT,scPRAM,0.1592,0.2598,0.0362,cell-mean,0.2598,-0.1006,0.148,0.0111,-0.1006,0.1229,False,True,native,scPRAM
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Graph,AttentionPert,0.2269,0.4937,0.2966,cell-mean,0.4937,-0.2668,0.3952,-0.1682,-0.2668,-0.0697,False,False,native,AttentionPert
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Latent,Biolord,0.3941,0.4937,0.2966,cell-mean,0.4937,-0.0996,0.3952,-0.001,-0.0996,0.0975,False,False,native,Biolord
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,OT,CINEMA-OT,0.4579,0.4937,0.2966,cell-mean,0.4937,-0.0359,0.3952,0.0627,-0.0359,0.1613,False,True,diagnostic,CINEMA-OT
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Flow,CellFlow,0.321,0.4937,0.2966,cell-mean,0.4937,-0.1727,0.3952,-0.0742,-0.1727,0.0244,False,False,native,CellFlow
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Graph,GEARS,0.207,0.4937,0.2966,cell-mean,0.4937,-0.2867,0.3952,-0.1882,-0.2867,-0.0896,False,False,native,GEARS
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Flow,PerturbNet,0.3617,0.4937,0.2966,cell-mean,0.4937,-0.132,0.3952,-0.0335,-0.132,0.0651,False,False,native,PerturbNet
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Foundation,scGPT,0.1654,0.4937,0.2966,cell-mean,0.4937,-0.3284,0.3952,-0.2298,-0.3284,-0.1312,False,False,native,scGPT
