cluster,task_name,task_split,family,metric,floor,best_model_gap,ci_low,ci_high,boot_pos_frac,works,recommendation,apriori_expect_beats_floor,observed_beats_floor,confrontation,ci_source,family_baselines
C1,cytokine/Kang,cell-context (LOCT),latent,pearson_delta,0.7803,-0.0140446568839252,-0.047539562452584505,0.024850348022300742,0.2169,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],CPA;scGen
C2,donor/Soskic,donor (LODO),hybrid,pearson_delta,0.2717,-0.08866320754716982,-0.1006060613207547,-0.07701834905660379,0.0,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],STATE
C2,donor/Soskic,donor (LODO),latent,pearson_delta,0.2717,-0.06711792452830188,-0.07675198113207547,-0.05743929245283019,0.0,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],CPA;scGen
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),foundation,pearson_delta,0.4937,-0.43599822660758425,-0.5013617444236298,-0.36181339879653285,0.0,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",cluster_bootstrap[unit],scFoundation;scGPT
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),graph,pearson_delta,0.4937,-0.2655879615242815,-0.3156665860209614,-0.19728864186931228,0.0,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",cluster_bootstrap[unit],AttentionPert;GEARS
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),hybrid,pearson_delta,0.4937,-0.4793534597148009,-0.5420887445797036,-0.4203775943022975,0.0,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",cluster_bootstrap[unit],PertAdapt;STATE
C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),latent,pearson_delta,0.4937,-0.3788135826765071,-0.5440706783284743,-0.22694130543441998,0.0,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",cluster_bootstrap[unit],CPA;scGen
C4,complex/Frangieh,"unseen-KO (modality, RNA)",graph,pearson_delta,0.6612,-0.14989478972124598,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",PENDING: 2 modality folds (n<3 units) -> no cluster bootstrap; flagged for marker-bootstrap re-run (within_family_consistency.md),AttentionPert;GEARS
C4,complex/Frangieh,"unseen-KO (modality, RNA)",hybrid,pearson_delta,0.6612,-0.635826072087272,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",PENDING: 2 modality folds (n<3 units) -> no cluster bootstrap; flagged for marker-bootstrap re-run (within_family_consistency.md),STATE
C4,complex/Frangieh,"unseen-KO (modality, RNA)",latent,pearson_delta,0.6612,-0.1122657217032787,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",PENDING: 2 modality folds (n<3 units) -> no cluster bootstrap; flagged for marker-bootstrap re-run (within_family_consistency.md),CPA;scGen
C4,complex/Frangieh,"unseen-KO (modality, RNA)",shift,pearson_delta,0.6612,-0.043556578716473504,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",PENDING: 2 modality folds (n<3 units) -> no cluster bootstrap; flagged for marker-bootstrap re-run (within_family_consistency.md),linear-shift-KOemb
C5,small-mol/OP3,cell-context (LOCT),chemistry,pearson_delta,0.2569,0.1192,0.1006,0.1377,1.0,True,chemistry,yes (context-transfer),yes (CI_low>0),"expected WIN, observed WIN","DEPOSITED defensive_stats.json[C5_cellcontext, FP-ridge, n=6 fine lineages]",FP-ridge
C5,small-mol/OP3,cell-context (LOCT),hybrid,pearson_delta,0.2694,-0.21396652553429946,-0.26056530759483054,-0.1684990953254923,0.0,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],STATE
C5,small-mol/OP3,cell-context (LOCT),latent,pearson_delta,0.2694,-0.09241629338652027,-0.15297553446457612,-0.03185705230846443,0.0,False,simple-floor,yes (context-transfer),no (below floor),"expected WIN, observed no-win",cluster_bootstrap[unit],CPA;scGen
C5,small-mol/OP3,unseen-compound,chemistry,pearson_delta,0.1722,-0.008,,,,False,simple-floor,no (unseen-perturbation: extrapolation),no (below floor),"expected no-win, observed no-win",DEPOSITED-summary[compound n=28]: FP-ridge gap below floor; chemCPA per-compound CI deposited (chemcpa summary) but member is below floor too,FP-ridge;chemCPA
