donor,cellot,cell_mean,linear_PCA,donor_shift,binding_floor,margin,beats,dep_cellot,dep_floor,fixed_floor_margin
D348,0.2809,0.2443,-0.0132,-0.0194,0.2443,0.0367,True,0.309,0.2442,0.036599999999999994
D349,0.355,0.2734,0.0192,0.0578,0.2734,0.0816,True,0.3124,0.2732,0.0816
D350,0.4068,0.1739,0.0241,0.0005,0.1739,0.2328,True,0.3759,0.1751,0.2329
D351,0.3857,0.2337,0.0023,-0.0341,0.2337,0.1521,True,0.3744,0.234,0.152
D352,0.3913,0.2928,-0.027,0.0212,0.2928,0.0985,True,0.3605,0.2925,0.09849999999999998
D353,0.4198,0.2893,0.056,0.0038,0.2893,0.1305,True,0.4686,0.2891,0.1305
D354,0.3127,0.271,-0.0366,-0.083,0.271,0.0417,True,0.3196,0.2695,0.04169999999999996
D355,0.2696,0.4946,0.0455,0.0324,0.4946,-0.2251,False,0.2184,0.491,-0.22499999999999998
D356,0.3179,0.2229,0.0495,0.0345,0.2229,0.0949,True,0.3196,0.2225,0.09500000000000003
D357,0.3602,0.2983,-0.0746,-0.0492,0.2983,0.0619,True,0.3616,0.2985,0.06190000000000001
D358,0.4213,0.366,-0.0035,0.01,0.366,0.0553,True,0.4699,0.3657,0.055300000000000016
D359,0.5005,0.3813,0.0106,0.0419,0.3813,0.1192,True,0.3831,0.3758,0.11919999999999997
D363,0.3807,0.2363,-0.0569,-0.003,0.2363,0.1444,True,0.3475,0.2361,0.14439999999999997
D364,0.3947,0.2343,0.0407,0.0741,0.2343,0.1605,True,0.2969,0.2336,0.1604
D365,0.3859,0.2972,-0.0354,-0.0539,0.2972,0.0888,True,0.3962,0.2975,0.0887
D366,0.4733,0.1417,0.1606,0.1062,0.1606,0.3127,True,0.4332,0.1424,0.3316
D367,0.3114,0.3212,-0.0968,-0.0424,0.3212,-0.0098,False,0.3226,0.3213,-0.009799999999999975
D368,0.3507,0.2179,0.0018,0.0238,0.2179,0.1328,True,0.3028,0.2184,0.1328
D369,0.3057,0.2661,-0.0208,0.0169,0.2661,0.0396,True,0.3095,0.2662,0.039600000000000024
D370,0.3175,0.2208,-0.0234,-0.0229,0.2208,0.0966,True,0.3809,0.2213,0.09670000000000001
D371,0.1998,0.1669,0.0247,0.0285,0.1669,0.0329,True,0.1992,0.1672,0.03290000000000001
D372,0.2548,0.1752,0.0109,0.0191,0.1752,0.0796,True,0.3029,0.1752,0.07960000000000003
D373,0.2311,0.1791,-0.0715,-0.0265,0.1791,0.0521,True,0.1612,0.1802,0.05199999999999999
D374,0.2436,0.1487,-0.0018,0.0129,0.1487,0.0949,True,0.3027,0.1489,0.09490000000000001
D378,0.276,0.2884,0.0489,0.0358,0.2884,-0.0125,False,0.3003,0.2886,-0.012399999999999967
D379,0.1661,0.0974,0.0572,0.0126,0.0974,0.0687,True,0.19,0.0987,0.0687
D380,0.3786,0.105,0.0546,0.0436,0.105,0.2735,True,0.3771,0.1055,0.2736
D381,0.1906,0.2182,0.0324,-0.0221,0.2182,-0.0276,False,0.2405,0.2179,-0.027600000000000013
D382,0.3554,0.2126,-0.0019,0.0159,0.2126,0.1428,True,0.2779,0.2127,0.14279999999999998
D383,0.2692,0.2856,-0.0227,-0.027,0.2856,-0.0164,False,0.2855,0.286,-0.016400000000000026
D387,0.3448,0.3916,0.2384,0.1584,0.3916,-0.0468,False,0.3886,0.3917,-0.04680000000000001
D388,0.4071,0.3447,0.085,0.0396,0.3447,0.0624,True,0.3941,0.3449,0.06240000000000001
