model,column_key,task,pearson_delta,margin_vs_binding_floor,status,source,census_cell,ringed
AttentionPert,C3·Schm,T3,0.376102,-0.114765,native,bundle,True,False
AttentionPert,C3·Shif,T3,0.146552,-0.305252,native,bundle,True,False
AttentionPert,C3·chen,T3,0.2063,-0.310241,native,bundle,True,False
AttentionPert,C3·mccA,T3,0.320176,-0.273807,native,bundle,True,False
AttentionPert,C3·mccI,T3,0.128737,-0.32812,native,bundle,True,False
AttentionPert,C4·RNA,T4,0.503207,-0.156608,native,bundle,True,False
Biolord,C3·Schm,T3,0.534605,0.043738,native,bundle,True,False
Biolord,C3·Shif,T3,0.317548,-0.134255,native,bundle,True,False
Biolord,C3·chen,T3,0.37446,-0.142082,native,bundle,True,False
Biolord,C3·mccA,T3,0.459018,-0.134966,native,bundle,True,False
Biolord,C3·mccI,T3,0.323952,-0.132905,native,bundle,True,False
Biolord,C4·RNA,T4,0.611505,-0.048311,native,bundle,True,False
Biolord,C5·cpd,T5u,0.126675,-0.045504,native,bundle,True,False
CPA,C1·B,T1,0.362149,-0.467031,native,bundle,True,False
CPA,C1·CD4T,T1,0.341043,-0.443478,native,bundle,True,False
CPA,C1·CD8T,T1,0.534874,-0.186212,native,bundle,True,False
CPA,C1·DC,T1,0.504352,-0.317928,native,bundle,True,False
CPA,C1·Mk,T1,0.271832,-0.330574,native,bundle,True,False
CPA,C1·Mono_CD14,T1,0.408853,-0.410185,native,bundle,True,False
CPA,C1·Mono_FCGR3A,T1,0.259923,-0.621344,native,bundle,True,False
CPA,C1·NK,T1,0.408269,-0.374627,native,bundle,True,False
CPA,C2·Soskic,T2,0.208169,-0.051646,native,bundle,True,False
CPA,C5·B,T5c,0.110744,-0.188987,native,bundle,True,False
CPA,C5·Mono,T5c,-0.016325,-0.20097,native,bundle,True,False
CPA,C5·NK,T5c,0.104033,-0.155344,native,bundle,True,False
CPA,C5·T_cells,T5c,0.043985,-0.289982,native,bundle,True,False
CPA,C5·cpd,T5u,0.100017,-0.072163,native,bundle,True,False
CellFlow,C1·B,T1,0.826152,-0.003028,native,bundle,True,True
CellFlow,C1·CD4T,T1,0.816483,0.031963,native,bundle,True,True
CellFlow,C1·CD8T,T1,0.792294,0.071207,native,bundle,True,True
CellFlow,C1·DC,T1,0.826872,0.004592,native,bundle,True,True
CellFlow,C1·Mk,T1,0.556412,-0.045994,native,bundle,True,True
CellFlow,C1·Mono_CD14,T1,0.925193,0.106155,native,bundle,True,True
CellFlow,C1·Mono_FCGR3A,T1,0.878082,-0.003185,native,bundle,True,True
CellFlow,C1·NK,T1,0.766303,-0.016592,native,bundle,True,True
CellFlow,C2·Soskic,T2,0.237344,-0.022471,native,bundle,True,False
CellFlow,C3·Schm,T3,0.439926,-0.050941,native,bundle,True,False
CellFlow,C3·Shif,T3,0.375953,-0.07585,native,bundle,True,False
CellFlow,C3·chen,T3,0.341021,-0.175521,native,bundle,True,False
CellFlow,C3·mccA,T3,0.174613,-0.419371,native,bundle,True,False
