task,method,gene_mask,model,program,unit,correlation,correlation_status,row,column
T3,mean_expression_delta,benchmark_mask,cell-mean,TCR_activation,chen,0.5499075954231489,estimable,0,0
T3,mean_expression_delta,benchmark_mask,cell-mean,TCR_activation,schmidt,,numerically_constant_predicted_profile,0,1
T3,mean_expression_delta,benchmark_mask,cell-mean,IL2_STAT5,chen,-0.2475128340303208,estimable,0,2
T3,mean_expression_delta,benchmark_mask,cell-mean,IL2_STAT5,schmidt,,numerically_constant_predicted_profile,0,3
T3,mean_expression_delta,benchmark_mask,cell-mean,proliferation,chen,-0.2037126480380896,estimable,0,4
T3,mean_expression_delta,benchmark_mask,cell-mean,proliferation,schmidt,,numerically_constant_predicted_profile,0,5
T3,mean_expression_delta,benchmark_mask,cell-mean,effector_cytokine,chen,0.4215481683234789,estimable,0,6
T3,mean_expression_delta,benchmark_mask,cell-mean,effector_cytokine,schmidt,,numerically_constant_predicted_profile,0,7
T3,mean_expression_delta,benchmark_mask,cell-mean,Treg_exhaustion,chen,0.1245204450222146,estimable,0,8
T3,mean_expression_delta,benchmark_mask,cell-mean,Treg_exhaustion,schmidt,,numerically_constant_predicted_profile,0,9
T3,mean_expression_delta,benchmark_mask,linear-PCA,TCR_activation,chen,0.1752597766358167,estimable,1,0
T3,mean_expression_delta,benchmark_mask,linear-PCA,TCR_activation,schmidt,,numerically_constant_predicted_profile,1,1
T3,mean_expression_delta,benchmark_mask,linear-PCA,IL2_STAT5,chen,-0.1571949219740079,estimable,1,2
T3,mean_expression_delta,benchmark_mask,linear-PCA,IL2_STAT5,schmidt,,numerically_constant_predicted_profile,1,3
T3,mean_expression_delta,benchmark_mask,linear-PCA,proliferation,chen,0.0866480081779656,estimable,1,4
T3,mean_expression_delta,benchmark_mask,linear-PCA,proliferation,schmidt,,numerically_constant_predicted_profile,1,5
T3,mean_expression_delta,benchmark_mask,linear-PCA,effector_cytokine,chen,-0.420767257883702,estimable,1,6
T3,mean_expression_delta,benchmark_mask,linear-PCA,effector_cytokine,schmidt,,numerically_constant_predicted_profile,1,7
T3,mean_expression_delta,benchmark_mask,linear-PCA,Treg_exhaustion,chen,0.212252823038821,estimable,1,8
T3,mean_expression_delta,benchmark_mask,linear-PCA,Treg_exhaustion,schmidt,,numerically_constant_predicted_profile,1,9
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,TCR_activation,chen,0.1054060288038953,estimable,2,0
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,TCR_activation,schmidt,-0.108756063661551,estimable,2,1
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,IL2_STAT5,chen,0.113271953087954,estimable,2,2
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,IL2_STAT5,schmidt,-0.1504158873852797,estimable,2,3
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,proliferation,chen,0.0653019937892125,estimable,2,4
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,proliferation,schmidt,0.3380244317922669,estimable,2,5
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,effector_cytokine,chen,0.25098437259188,estimable,2,6
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,effector_cytokine,schmidt,-0.314261556270617,estimable,2,7
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,Treg_exhaustion,chen,0.0891816214649144,estimable,2,8
T3,mean_expression_delta,benchmark_mask,linear-shift-KOemb,Treg_exhaustion,schmidt,0.2530296871993086,estimable,2,9
T3,mean_expression_delta,benchmark_mask,Biolord,TCR_activation,chen,-0.1021101322195008,estimable,3,0
T3,mean_expression_delta,benchmark_mask,Biolord,TCR_activation,schmidt,0.8443811335991817,estimable,3,1
T3,mean_expression_delta,benchmark_mask,Biolord,IL2_STAT5,chen,-0.2149721593936842,estimable,3,2
T3,mean_expression_delta,benchmark_mask,Biolord,IL2_STAT5,schmidt,-0.7615244955000166,estimable,3,3
T3,mean_expression_delta,benchmark_mask,Biolord,proliferation,chen,-0.1146285939726751,estimable,3,4
T3,mean_expression_delta,benchmark_mask,Biolord,proliferation,schmidt,0.4120717756001257,estimable,3,5
T3,mean_expression_delta,benchmark_mask,Biolord,effector_cytokine,chen,-0.0796037108300329,estimable,3,6
T3,mean_expression_delta,benchmark_mask,Biolord,effector_cytokine,schmidt,0.6263387586010652,estimable,3,7
T3,mean_expression_delta,benchmark_mask,Biolord,Treg_exhaustion,chen,-0.1065796553494977,estimable,3,8
T3,mean_expression_delta,benchmark_mask,Biolord,Treg_exhaustion,schmidt,0.6960446675001786,estimable,3,9
T3,mean_expression_delta,benchmark_mask,CellFlow,TCR_activation,chen,-0.0339597078956941,estimable,4,0
T3,mean_expression_delta,benchmark_mask,CellFlow,TCR_activation,schmidt,-0.5181834472813212,estimable,4,1
T3,mean_expression_delta,benchmark_mask,CellFlow,IL2_STAT5,chen,-0.1286995302042961,estimable,4,2
T3,mean_expression_delta,benchmark_mask,CellFlow,IL2_STAT5,schmidt,0.2499078567904733,estimable,4,3
T3,mean_expression_delta,benchmark_mask,CellFlow,proliferation,chen,-0.0417912254856157,estimable,4,4
