task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,AttentionPert,native,5,5,2,chen;schmidt,2,True,-0.2095461704893516,-0.4922677620441495,0.0731754210654462,0.0575483790794992,0.0489779432736107,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,Biolord,native,5,5,2,chen;schmidt,2,True,-0.4882483274468504,-0.7615244955000166,-0.2149721593936842,0.0379716244431633,0.0261416465238577,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,CellFlow,native,5,5,2,chen;schmidt,2,True,0.0606041632930885,-0.1286995302042961,0.2499078567904733,0.0354474015052043,0.0272315258284981,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,GEARS,native,5,5,2,chen;schmidt,2,True,0.0785184740994434,0.0571866952709137,0.099850252927973,0.0440329593850575,0.0368890827984075,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,PertAdapt,native,5,5,2,chen;schmidt,2,True,-0.0959497207452974,-0.4033665591439227,0.2114671176533277,0.2019378741838231,0.1982239724585525,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,PerturbNet,native,5,5,2,chen;schmidt,2,True,0.4496998516866248,0.4304878593092094,0.4689118440640403,0.0348477572606848,0.0298290023245987,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,STATE,native,5,5,2,chen;schmidt,2,True,-0.1342499561436668,-0.1958934259089441,-0.0726064863783894,0.0325860328381347,0.0229116742804874,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.0273697415478935,0.0189665210265405,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.0305304970623793,0.0223575462763665,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,2,True,-0.0185719671486628,-0.1504158873852797,0.113271953087954,0.0273525680488464,0.0190857705808044,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,scFoundation,native,5,5,2,chen;schmidt,2,True,0.0134014829247858,-0.0635376750226484,0.0903406408722201,0.1268997137616975,0.1229924450378467,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,scGPT,native,5,5,2,chen;schmidt,2,True,-0.0230372870171139,-0.1461123820577636,0.1000378080235356,0.0380535247200858,0.0254535585285069,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.2019426234584322,0.1256463927608614,0.278238854156003,0.0439969559826902,0.0389294056884335,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,Biolord,native,5,5,2,chen;schmidt,2,True,0.3711355006898404,-0.1021101322195008,0.8443811335991817,0.039003448827004,0.033343950228471,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,CellFlow,native,5,5,2,chen;schmidt,2,True,-0.2760715775885077,-0.5181834472813212,-0.0339597078956941,0.0712438461894375,0.0662663461402855,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,GEARS,native,5,5,2,chen;schmidt,2,True,0.3836974809759848,0.1669523701633106,0.6004425917886591,0.0450169953431645,0.0349074736640496,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,PertAdapt,native,5,5,2,chen;schmidt,2,True,0.2297055523769816,0.135781173256042,0.3236299314979212,0.2069032235024573,0.1976952226881785,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,PerturbNet,native,5,5,2,chen;schmidt,2,True,0.6406338877423232,0.5225123584324943,0.7587554170521521,0.047210447600568,0.0407563963054138,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,STATE,native,5,5,2,chen;schmidt,2,True,0.3273979610831923,-0.1344458022118241,0.7892417243782088,0.0417591623250401,0.03275231005014,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.0424329340835949,0.0362024505100903,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.0447604458484319,0.0394868874294942,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
