task,model,status,scope,response_norm_ratio,calibration_slope,macro_mean_response_norm_ratio,macro_mean_defined_calibration_slope,n_lineages,n_explicit_declined,n_norm_defined,n_slope_defined,estimator
T5c,CPA,native,full_census_source_arrays,2.3446996282306065,0.0345126099618718,2.488690870708688,0.0397193342794432,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,CellFlow,native,full_census_source_arrays,2.464337172058098,0.0349494217769684,2.2992295464654213,0.06234473565817,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,CellOT,native,full_census_source_arrays,2.018536194949761,0.081331076632949,1.9895040686608567,0.1222627381718125,4,1,563,562,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,FP-ridge,diagnostic,full_census_source_arrays,0.5958590624256892,0.668368272453741,0.6691570814261277,0.638003767289902,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,PRnet,native,full_census_source_arrays,3.013152035660116,0.0396484835539148,3.4588312262075958,0.0591813232016005,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,PerturbNet,native,full_census_source_arrays,2.07203511583124,0.0576797723977854,1.885022366026649,0.1120154449422858,4,4,563,559,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,STATE,native,full_census_source_arrays,2.6306063663218806,0.0183945102798216,3.454137449132181,0.028030516966303,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,cell-mean,floor,full_census_source_arrays,2.5919673822523936,0.0001878168785371,3.0466150267808434,0.0148952576004615,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,linear-PCA,floor,full_census_source_arrays,0.3761959693785791,0.8365706808933316,0.3819167237164972,0.7992561843669771,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,scFoundation,adapted,full_census_source_arrays,0.4585786798364033,0.7527040194564758,0.4951640089358405,0.7415955026995075,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,scGPT,adapted,full_census_source_arrays,0.7612948486178661,0.4663810780742628,0.8064563695213187,0.471439610010276,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,scGen,native,full_census_source_arrays,1.7590763475107294,0.0898480896096181,1.7132779870772663,0.1391430577683991,4,1,563,562,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,scPRAM,native,full_census_source_arrays,2.2933545597017666,0.078717804786006,2.2474967821260927,0.1069313615551802,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
