Model,Evaluation,Norm ratio: shared support,Slope: shared support,Norm ratio: full census,Slope: full census
CPA,native,2.345102542837476,0.0347301508563592,2.3446996282306065,0.0345126099618718
CellFlow,native,2.4583613835697893,0.034805236313427,2.464337172058098,0.0349494217769684
CellOT,native,2.018856688296768,0.0799580273457094,2.018536194949761,0.081331076632949
FP-ridge,diagnostic,0.5958928863503774,0.6692346062417077,0.5958590624256892,0.668368272453741
PRnet,native,3.015340533927142,0.0402630051444826,3.013152035660116,0.0396484835539148
PerturbNet,native,2.0725964848492855,0.0575648163651012,2.07203511583124,0.0576797723977854
STATE,native,2.6418500024967746,0.0186323456610118,2.6306063663218806,0.0183945102798216
cell-mean,floor,2.594708936844823,0.000841095586045,2.5919673822523936,0.0001878168785371
linear-PCA,floor,0.3765577090987185,0.8421112394727324,0.3761959693785791,0.8365706808933316
scFoundation,adapted,0.4595694169414894,0.7542483379623506,0.4585786798364033,0.7527040194564758
scGPT,adapted,0.7623465235894243,0.4654360508738494,0.7612948486178661,0.4663810780742628
scGen,native,1.7567062193332412,0.091142819187855,1.7590763475107294,0.0898480896096181
scPRAM,native,2.298766620643982,0.078348280874304,2.2933545597017666,0.078717804786006
