task,scope,model,status,n_units,pearson_delta,binding_floor,binding_floor_score,margin,n_units_positive,response_norm_ratio,macro_mean_response_norm_ratio,calibration_slope,macro_mean_calibration_slope,n_explicit_declined,full_n_strata,n_strata,aggregation
T5c,shared_supported_strata,CPA,native,4,0.0605017639914605,linear-PCA,0.2706090229254949,-0.2101072589340343,0,2.345102542837476,2.490488429161307,0.0347301508563592,0.0395224127382187,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,CellFlow,native,4,0.1036011777570898,linear-PCA,0.2706090229254949,-0.1670078451684051,0,2.4583613835697893,2.3010924296116606,0.034805236313427,0.0625197379286314,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,CellOT,native,4,0.1948841470807583,linear-PCA,0.2706090229254949,-0.0757248758447365,0,2.018856688296768,1.992611096363484,0.0799580273457094,0.1225917011320324,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,FP-ridge,diagnostic,4,0.3893736480377432,linear-PCA,0.2706090229254949,0.1187646251122482,4,0.5958928863503774,0.6677164688671671,0.6692346062417077,0.639915653792801,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,PRnet,native,4,0.0946559210965946,linear-PCA,0.2706090229254949,-0.1759531018289002,0,3.015340533927142,3.462591372683673,0.0402630051444826,0.0584534480215754,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,PerturbNet,native,4,0.1497599064752723,linear-PCA,0.2706090229254949,-0.1208491164502225,0,2.0725964848492855,1.9010050751119816,0.0575648163651012,0.1108829693411904,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,STATE,native,4,0.0419015949627255,linear-PCA,0.2706090229254949,-0.2287074279627693,0,2.6418500024967746,3.454893439348412,0.0186323456610118,0.0277963371023232,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,cell-mean,floor,4,0.0248691835148735,linear-PCA,0.2706090229254949,-0.2457398394106213,0,2.594708936844823,3.048379094752895,0.000841095586045,0.0145528098818727,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,linear-PCA,floor,4,0.2706090229254949,linear-PCA,0.2706090229254949,0.0,0,0.3765577090987185,0.3823045228318863,0.8421112394727324,0.7998986975170217,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,scFoundation,adapted,4,0.3304089915029475,linear-PCA,0.2706090229254949,0.0597999685774526,3,0.4595694169414894,0.4930723786276912,0.7542483379623506,0.7425933543808528,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,scGPT,adapted,4,0.348033208028374,linear-PCA,0.2706090229254949,0.077424185102879,4,0.7623465235894243,0.8066082969996846,0.4654360508738494,0.46801961418742,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,scGen,native,4,0.1815687216251165,linear-PCA,0.2706090229254949,-0.0890403013003783,0,1.7567062193332412,1.7167622952226194,0.091142819187855,0.1397811039459914,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T5c,shared_supported_strata,scPRAM,native,4,0.1819623153747821,linear-PCA,0.2706090229254949,-0.0886467075507127,0,2.298766620643982,2.2519885566384152,0.078348280874304,0.1073398327741222,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
