Model,Evaluation,Units,type-I IFN,inflammatory NF-κB,effector lymphocyte
cell-mean,floor,4/4,Undefined,Undefined,Undefined
linear-PCA,floor,4/4,Undefined,Undefined,Undefined
FP-ridge,diagnostic,4/4,"0.880 [0.768, 0.933]","0.532 [0.144, 0.675]","0.155 [-0.181, 0.466]"
scGen,native,4/4,"0.882 [0.765, 0.928]","0.616 [0.387, 0.774]","0.077 [-0.092, 0.360]"
CPA,native,4/4,"0.153 [0.063, 0.229]","0.052 [-0.016, 0.136]","0.065 [-0.049, 0.229]"
CellOT,native,4/4,"0.851 [0.694, 0.919]","0.517 [0.143, 0.720]","0.266 [-0.020, 0.609]"
scPRAM,native,4/4,"0.727 [0.592, 0.804]","0.344 [0.126, 0.597]","0.228 [0.016, 0.504]"
CellFlow,native,4/4,"0.784 [0.659, 0.874]","0.318 [-0.163, 0.527]","0.268 [0.079, 0.407]"
PerturbNet,native,4/4,"0.813 [0.540, 0.933]","0.335 [-0.048, 0.670]","0.171 [-0.326, 0.519]"
PRnet,native,4/4,"0.803 [0.696, 0.869]","0.413 [0.104, 0.543]","0.408 [0.234, 0.709]"
STATE,native,4/4,"0.217 [0.099, 0.374]","0.083 [-0.052, 0.356]","-0.067 [-0.310, 0.126]"
scGPT,adapted,4/4,"0.906 [0.811, 0.941]","0.551 [0.312, 0.696]","0.340 [0.009, 0.675]"
scFoundation,adapted,4/4,"0.676 [0.161, 0.925]","0.413 [-0.079, 0.620]","0.254 [-0.315, 0.737]"
