task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.0649490684346998,-0.049411686270331,0.2293619966285847,0.4856667298156293,0.4799482672142734,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2684526602809267,0.0787475742256654,0.4072820451534151,0.4767053580764931,0.4704976574653828,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,CellOT,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2663859677341942,-0.0202451381486507,0.6092939871717277,0.2711782011865173,0.2348477027026416,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.1554461090675695,-0.1813608828516802,0.4661223112896805,0.1183986386226036,0.0760752440650503,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.4082978578150109,0.2338827256670269,0.7085884256611557,0.7548099365172006,0.749922354375012,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.1713363784388349,-0.3263444767997216,0.5185771534097606,0.3451946753882436,0.3048374883151767,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,-0.0672342986438984,-0.3098934754548607,0.1262945744689346,0.790155816278985,0.7848852031990315,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.872776253283751,0.8680244477262137,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.0898317882049324,0.0656952167473571,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.2535439770169783,-0.3149705995775953,0.7373638328750171,0.0799997214656924,0.0481475208874217,"{""estimable"": 4}",common observed-defined units; identical for every candidate
