task_key,task_id,task,cluster,split,unit,model,status,binding_floor,n_units,model_score,binding_floor_score,margin,margin_min,margin_max,units_below_floor,units_above_floor,inference,ci_lo,ci_hi,mde_80,verdict
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,CPA,native,linear-PCA,8,0.3864117437119175,0.7803340183986434,-0.3939222746867258,-0.6213440029653914,-0.1862116476936876,8/8,0/8,bootstrap 95% CI,-0.4775743104280392,-0.3125168876841289,0.117967074738794,negative margin CI (unadjusted)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,CellFlow,native,linear-PCA,8,0.798473897664409,0.7803340183986434,0.0181398792657656,-0.0459938339644869,0.1061554286467258,4/8,4/8,bootstrap 95% CI,-0.011111182524546,0.0508012478138842,0.0442490145282693,inconclusive (interval spans zero)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,CellOT,native,linear-PCA,8,0.7865032952386336,0.7803340183986434,0.0061692768399902,-0.0462436150393041,0.0939765016042155,4/8,4/8,bootstrap 95% CI,-0.0237573877745051,0.0382229395721452,0.0442975407399966,inconclusive (interval spans zero)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,PerturbNet,native,linear-PCA,8,0.7868349639881553,0.7803340183986434,0.0065009455895119,-0.0494965619031444,0.1207790825301744,5/8,3/8,bootstrap 95% CI,-0.0259844615162738,0.0441223528318936,0.0501055673257455,inconclusive (interval spans zero)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,STATE,native,linear-PCA,8,0.6415654229669217,0.7803340183986434,-0.1387685954317217,-0.2400033524195778,-0.0420547800959678,8/8,0/8,bootstrap 95% CI,-0.1845516946157908,-0.0947555914442773,0.0641775658312659,negative margin CI (unadjusted)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scFoundation,adapted,linear-PCA,8,0.6773348390507976,0.7803340183986434,-0.1029991793478457,-0.1874147584835076,-0.038783191915013,8/8,0/8,bootstrap 95% CI,-0.1343767346890943,-0.0734949465446428,0.043512411213466,negative margin CI (unadjusted)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scGPT,adapted,linear-PCA,8,0.5854766811176123,0.7803340183986434,-0.194857337281031,-0.4204145213702708,-0.0653588943694671,8/8,0/8,bootstrap 95% CI,-0.276621477891656,-0.1219285201479607,0.1105595580274434,negative margin CI (unadjusted)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scGen,native,linear-PCA,8,0.7496655437905164,0.7803340183986434,-0.0306684746081269,-0.0907367169651823,0.0507260366150839,6/8,2/8,bootstrap 95% CI,-0.0600191224523578,0.0004035620952833,0.0431842883855591,inconclusive (interval spans zero)
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scPRAM,native,linear-PCA,8,0.7507165482133322,0.7803340183986434,-0.0296174701853111,-0.1024123574436051,0.0831907966266454,7/8,1/8,bootstrap 95% CI,-0.060202134987835,0.0065085270412545,0.0476783262614609,inconclusive (interval spans zero)
T2,T2,donor/Soskic,C2,donor (LODO),donor,CPA,native,cell-mean,106,0.2081687605092253,0.2598150389070562,-0.0516462783978308,-0.1513563244343809,0.1379594337239608,98/106,8/106,bootstrap 95% CI,-0.0593815278535115,-0.043490480847328,0.0113573827743854,negative margin CI (unadjusted)
