task,scope,gene_mask,method,program,model,status,correlation,correlation_unit_min,correlation_unit_max,n_conditioned_candidates,n_comparable_candidates,n_comparison_units,comparison_units,expected_task_units,selection
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,GEARS,native,0.11528892448794274,0.05718669527091378,0.17339115370497171,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,GEARS,native,0.38272546813412361,0.16500834447958815,0.60044259178865911,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,GEARS,native,0.3663609879734373,0.35158620505302596,0.38113577089384859,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,PertAdapt,native,0.49938204039788414,0.14130879177551955,0.8574552890202487,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,AttentionPert,native,0.40959871024760336,0.21549542500110164,0.60370199549410508,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,GEARS,native,0.28656798755207064,0.28656798755207064,0.28656798755207064,9,4,1,chen,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,GEARS,native,0.37358026698340813,0.37358026698340813,0.37358026698340813,9,5,1,chen,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,scGPT,native,0.39199150583186743,0.39199150583186743,0.39199150583186743,9,5,1,chen,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,,,,,,9,0,0,,5,descriptive maximum; no winner inference
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,,,,,,9,0,0,,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,GEARS,native,0.11528892448794274,0.05718669527091378,0.17339115370497171,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,mean_expression_delta,TCR_activation,GEARS,native,0.38272546813412361,0.16500834447958815,0.60044259178865911,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,GEARS,native,0.3663609879734373,0.35158620505302596,0.38113577089384859,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,mean_expression_delta,effector_cytokine,PertAdapt,native,0.49938204039788414,0.14130879177551955,0.8574552890202487,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,mean_expression_delta,proliferation,AttentionPert,native,0.40959871024760336,0.21549542500110164,0.60370199549410508,9,5,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,GEARS,native,0.28656798755207086,0.28656798755207086,0.28656798755207086,9,4,1,chen,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,TCR_activation,GEARS,native,0.36130438519856084,0.36130438519856084,0.36130438519856084,9,5,1,chen,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,Treg_exhaustion,scGPT,native,0.37790719372306841,0.37790719372306841,0.37790719372306841,9,5,1,chen,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,effector_cytokine,,,,,,9,0,0,,5,descriptive maximum; no winner inference
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,proliferation,,,,,,9,0,0,,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,PerturbNet,native,0.44969985168662485,0.43048785930920941,0.4689118440640403,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,TCR_activation,PerturbNet,native,0.64063388774232322,0.52251235843249433,0.7587554170521521,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,PerturbNet,native,0.38869067002553848,0.25637811568808672,0.52100322436299029,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,PertAdapt,native,0.47716633595263824,0.096877382885027744,0.8574552890202487,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,proliferation,AttentionPert,native,0.45462938662924013,0.30555677776437523,0.60370199549410508,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,GEARS,native,0.36819370881660851,0.36819370881660851,0.36819370881660851,9,8,1,chen,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,GEARS,native,0.31735046327620864,0.31735046327620864,0.31735046327620864,9,9,1,chen,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,scGPT,native,0.42312608896618531,0.42312608896618531,0.42312608896618531,9,9,1,chen,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,,,,,,9,0,0,,5,descriptive maximum; no winner inference
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,,,,,,9,0,0,,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,PerturbNet,native,0.44969985168662485,0.43048785930920941,0.4689118440640403,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,PerturbNet,native,0.64063388774232322,0.52251235843249433,0.7587554170521521,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,PerturbNet,native,0.38869067002553848,0.25637811568808672,0.52100322436299029,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,PertAdapt,native,0.47716633595263824,0.096877382885027744,0.8574552890202487,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,AttentionPert,native,0.45462938662924013,0.30555677776437523,0.60370199549410508,9,9,2,chen;schmidt,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,GEARS,native,0.36819370881660884,0.36819370881660884,0.36819370881660884,9,8,1,chen,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,TCR_activation,scGPT,native,0.3221061955710785,0.3221061955710785,0.3221061955710785,9,9,1,chen,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,Treg_exhaustion,scGPT,native,0.41047744177148088,0.41047744177148088,0.41047744177148088,9,9,1,chen,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,effector_cytokine,,,,,,9,0,0,,5,descriptive maximum; no winner inference
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,proliferation,,,,,,9,0,0,,5,descriptive maximum; no winner inference
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,PRnet,native,0.40252844719946551,0.23389780751332012,0.70630593451311952,10,7,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,scGPT,adapted,0.54671108043605154,0.31411511071415699,0.67674551718204479,10,7,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,scGPT,adapted,0.90424512755994402,0.81102889487618157,0.94116466019067202,10,7,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,scPRAM,native,0.23381384160364177,-0.03447466882084247,0.50210235202812603,10,1,2,Mono;NK,4,descriptive maximum; no winner inference
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,scGPT,adapted,0.23037512086375911,-0.012398255237970141,0.53160855537808727,10,2,3,B;Mono;NK,4,descriptive maximum; no winner inference
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,scGPT,adapted,0.82923111828128127,0.62525073342376847,0.93071506169999174,10,5,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,PRnet,native,0.40252844719946551,0.23389780751332012,0.70630593451311952,10,7,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,scGPT,adapted,0.54671108043605154,0.31411511071415699,0.67674551718204479,10,7,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGPT,adapted,0.90424512755994402,0.81102889487618157,0.94116466019067202,10,7,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,full_census_strata,benchmark_mask,rank_top5_mean_profile,effector_lymphocyte,scPRAM,native,0.23381384160364177,-0.03447466882084247,0.50210235202812603,10,1,2,Mono;NK,4,descriptive maximum; no winner inference
T5c,full_census_strata,benchmark_mask,rank_top5_mean_profile,inflammatory_NFkB,scGPT,adapted,0.23037512086375911,-0.012398255237970141,0.53160855537808727,10,2,3,B;Mono;NK,4,descriptive maximum; no winner inference
T5c,full_census_strata,benchmark_mask,rank_top5_mean_profile,type_I_IFN,scGPT,adapted,0.82923111828128127,0.62525073342376847,0.93071506169999174,10,5,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,PRnet,native,0.40829785781501093,0.23388272566702695,0.70858842566115576,10,10,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,scGen,native,0.61564097375252103,0.38704561016015732,0.77367526985793766,10,10,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,scGPT,adapted,0.90606817915326232,0.81088392602604209,0.94146774439743874,10,10,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,scPRAM,native,0.24184516820334739,-0.034731676321090851,0.51842201272778565,10,1,2,Mono;NK,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,scGPT,adapted,0.2301801984275943,-0.01248809260861003,0.53126380078565194,10,2,3,B;Mono;NK,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,scGPT,adapted,0.82980330509972244,0.62593230998020799,0.93167011836575653,10,8,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,PRnet,native,0.40829785781501093,0.23388272566702695,0.70858842566115576,10,10,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,scGen,native,0.61564097375252103,0.38704561016015732,0.77367526985793766,10,10,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGPT,adapted,0.90606817915326232,0.81088392602604209,0.94146774439743874,10,10,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,effector_lymphocyte,scPRAM,native,0.24184516820334739,-0.034731676321090851,0.51842201272778565,10,1,2,Mono;NK,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,inflammatory_NFkB,scGPT,adapted,0.2301801984275943,-0.01248809260861003,0.53126380078565194,10,2,3,B;Mono;NK,4,descriptive maximum; no winner inference
T5c,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,type_I_IFN,scGPT,adapted,0.82980330509972244,0.62593230998020799,0.93167011836575653,10,8,4,B;Mono;NK;T_cells,4,descriptive maximum; no winner inference
