task,program,model,status,x,y,highlighted,n_comparison_units
T3,proliferation,AttentionPert,native,0.4546293866292401,0.0,True,2
T3,proliferation,Biolord,native,0.1487215908137253,0.0,False,2
T3,proliferation,CellFlow,native,0.0392188011009417,0.0,False,2
T3,proliferation,GEARS,native,0.2414291851161934,0.0,False,2
T3,proliferation,PertAdapt,native,0.1672557194216253,0.0,False,2
T3,proliferation,PerturbNet,native,0.3988739001265745,0.0,False,2
T3,proliferation,STATE,native,-0.0467550073833001,0.0,False,2
T3,proliferation,linear-shift-KOemb,diagnostic,0.2016632127907397,0.0,False,2
T3,proliferation,scFoundation,native,0.314726059928864,0.0,False,2
T3,proliferation,scGPT,native,-0.1184083009657333,0.0,False,2
T3,Treg_exhaustion,AttentionPert,native,0.1483480240245121,1.0,False,2
T3,Treg_exhaustion,Biolord,native,0.2947325060753404,1.0,False,2
T3,Treg_exhaustion,CellFlow,native,-0.098471345657122,1.0,False,2
T3,Treg_exhaustion,GEARS,native,0.3639706800531068,1.0,False,2
T3,Treg_exhaustion,PertAdapt,native,0.1999203131371149,1.0,False,2
T3,Treg_exhaustion,PerturbNet,native,0.3886906700255384,1.0,True,2
T3,Treg_exhaustion,STATE,native,0.2790238243358433,1.0,False,2
T3,Treg_exhaustion,linear-shift-KOemb,diagnostic,0.1711056543321115,1.0,False,2
T3,Treg_exhaustion,scFoundation,native,0.1874037489557841,1.0,False,2
T3,Treg_exhaustion,scGPT,native,0.2703919847364171,1.0,False,2
T3,IL2_STAT5,AttentionPert,native,-0.2095461704893516,2.0,False,2
T3,IL2_STAT5,Biolord,native,-0.4882483274468504,2.0,False,2
T3,IL2_STAT5,CellFlow,native,0.0606041632930885,2.0,False,2
T3,IL2_STAT5,GEARS,native,0.0785184740994434,2.0,False,2
T3,IL2_STAT5,PertAdapt,native,-0.0959497207452974,2.0,False,2
T3,IL2_STAT5,PerturbNet,native,0.4496998516866248,2.0,True,2
T3,IL2_STAT5,STATE,native,-0.1342499561436668,2.0,False,2
T3,IL2_STAT5,linear-shift-KOemb,diagnostic,-0.0185719671486628,2.0,False,2
T3,IL2_STAT5,scFoundation,native,0.0134014829247858,2.0,False,2
T3,IL2_STAT5,scGPT,native,-0.0230372870171139,2.0,False,2
T3,TCR_activation,AttentionPert,native,0.2019426234584322,3.0,False,2
T3,TCR_activation,Biolord,native,0.3711355006898404,3.0,False,2
T3,TCR_activation,CellFlow,native,-0.2760715775885077,3.0,False,2
T3,TCR_activation,GEARS,native,0.3836974809759848,3.0,False,2
T3,TCR_activation,PertAdapt,native,0.2297055523769816,3.0,False,2
T3,TCR_activation,PerturbNet,native,0.6406338877423232,3.0,True,2
T3,TCR_activation,STATE,native,0.3273979610831923,3.0,False,2
T3,TCR_activation,linear-shift-KOemb,diagnostic,-0.0016750174288278,3.0,False,2
T3,TCR_activation,scFoundation,native,0.422243904913526,3.0,False,2
T3,TCR_activation,scGPT,native,-0.0449019629699661,3.0,False,2
T3,effector_cytokine,AttentionPert,native,0.2384243149664585,4.0,False,2
T3,effector_cytokine,Biolord,native,0.2733675238855161,4.0,False,2
T3,effector_cytokine,CellFlow,native,-0.0515351196554329,4.0,False,2
T3,effector_cytokine,GEARS,native,0.105695164664335,4.0,False,2
T3,effector_cytokine,PertAdapt,native,0.4771663359526382,4.0,True,2
T3,effector_cytokine,PerturbNet,native,0.3134152404962173,4.0,False,2
T3,effector_cytokine,STATE,native,-0.1999830581910252,4.0,False,2
T3,effector_cytokine,linear-shift-KOemb,diagnostic,-0.0316385918393685,4.0,False,2
T3,effector_cytokine,scFoundation,native,0.3791167602071677,4.0,False,2
T3,effector_cytokine,scGPT,native,0.255587920230623,4.0,False,2
T5c,effector_lymphocyte,CPA,native,0.0649490684346998,6.1,False,4
T5c,effector_lymphocyte,CellFlow,native,0.2684526602809267,6.1,False,4
T5c,effector_lymphocyte,CellOT,native,0.2663859677341942,6.1,False,4
T5c,effector_lymphocyte,FP-ridge,diagnostic,0.1554461090675695,6.1,False,4
T5c,effector_lymphocyte,PRnet,native,0.4082978578150109,6.1,True,4
T5c,effector_lymphocyte,PerturbNet,native,0.1713363784388349,6.1,False,4
T5c,effector_lymphocyte,STATE,native,-0.0672342986438984,6.1,False,4
