task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,ifn_correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope,n_units,pearson_delta,binding_floor,binding_floor_score,margin,n_units_positive,response_norm_ratio,macro_mean_response_norm_ratio,calibration_slope,macro_mean_calibration_slope,n_explicit_declined,full_n_strata,n_strata,aggregation,plottable
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.15296643182305,0.0627101171667267,0.2291600358482324,0.2925964487768822,0.2371386233104311,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.0605017639914605,linear-PCA,0.2706090229254949,-0.2101072589340343,0,2.345102542837476,2.490488429161307,0.0347301508563592,0.0395224127382187,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.7841594394406926,0.6591382360065406,0.8738307818003919,0.2537743009140216,0.2184220772517889,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.1036011777570898,linear-PCA,0.2706090229254949,-0.1670078451684051,0,2.4583613835697893,2.3010924296116606,0.034805236313427,0.0625197379286314,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CellOT,native,4,4,4,B;Mono;NK;T_cells,4,True,0.850597372215157,0.6940034199842632,0.9190996291362568,0.1914248010863039,0.1491571410402883,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.1948841470807583,linear-PCA,0.2706090229254949,-0.0757248758447365,0,2.018856688296768,1.992611096363484,0.0799580273457094,0.1225917011320324,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.8804541714714915,0.7680403041733426,0.9329094735448644,0.1393285775283275,0.1085663530121471,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.3893736480377432,linear-PCA,0.2706090229254949,0.1187646251122482,4,0.5958928863503774,0.6677164688671671,0.6692346062417077,0.639915653792801,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.8025546066341884,0.6961373585902915,0.8685087382073851,0.2705640480159419,0.2353674596818257,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.0946559210965946,linear-PCA,0.2706090229254949,-0.1759531018289002,0,3.015340533927142,3.462591372683673,0.0402630051444826,0.0584534480215754,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.8128202702143486,0.5399714642847206,0.9326236015361284,0.1561217349233929,0.1194270314926011,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.1497599064752723,linear-PCA,0.2706090229254949,-0.1208491164502225,0,2.0725964848492855,1.9010050751119816,0.0575648163651012,0.1108829693411904,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2166570165279853,0.0990432238822923,0.3744447986233397,0.3063483986412731,0.2499397521739508,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.0419015949627255,linear-PCA,0.2706090229254949,-0.2287074279627693,0,2.6418500024967746,3.454893439348412,0.0186323456610118,0.0277963371023232,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.6758633947845428,0.1614240301719748,0.9246715870111591,0.1860955963950921,0.1471243233904257,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.3304089915029475,linear-PCA,0.2706090229254949,0.0597999685774526,3,0.4595694169414894,0.4930723786276912,0.7542483379623506,0.7425933543808528,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.9060681791532624,0.810883926026042,0.9414677443974389,0.1356649738447032,0.1077634297209798,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.348033208028374,linear-PCA,0.2706090229254949,0.077424185102879,4,0.7623465235894243,0.8066082969996846,0.4654360508738494,0.46801961418742,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGen,native,4,4,4,B;Mono;NK;T_cells,4,True,0.881554723006942,0.7648492301704367,0.9282318290502312,0.1510595727310727,0.122702058222465,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.1815687216251165,linear-PCA,0.2706090229254949,-0.0890403013003783,0,1.7567062193332412,1.7167622952226194,0.091142819187855,0.1397811039459914,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
