task,model,unit,model_score,floor_model,floor_score,margin,n_strata,scope
T1,scGen,B,0.7673727669291084,linear-PCA,0.829179226986994,-0.06180646005788559,8,full_census_strata
T1,scGen,CD4T,0.7768391810858626,linear-PCA,0.7845206324085405,-0.007681451322677946,8,full_census_strata
T1,scGen,CD8T,0.7718121457088356,linear-PCA,0.7210861090937524,0.050726036615083236,8,full_census_strata
T1,scGen,DC,0.7315439158973904,linear-PCA,0.8222806328625727,-0.09073671696518226,8,full_census_strata
T1,scGen,Mk,0.5441511095883286,linear-PCA,0.6024060114728254,-0.05825490188449678,8,full_census_strata
T1,scGen,Mono_CD14,0.8352235909361589,linear-PCA,0.819037416664315,0.01618617427184399,8,full_census_strata
T1,scGen,Mono_FCGR3A,0.8242887523176281,linear-PCA,0.8812668727993676,-0.05697812048173945,8,full_census_strata
T1,scGen,NK,0.7460928878608168,linear-PCA,0.7828952449007794,-0.0368023570399626,8,full_census_strata
T5c,FP-ridge,B,0.415576802802324,linear-PCA,0.29973036255288676,0.11584644024943724,141,full_census_strata
T5c,FP-ridge,Mono,0.30570868567599013,linear-PCA,0.1846448545824999,0.12106383109349023,140,full_census_strata
T5c,FP-ridge,NK,0.3898076443662576,linear-PCA,0.25937691124191875,0.13043073312433884,141,full_census_strata
T5c,FP-ridge,T_cells,0.43870389680312205,linear-PCA,0.3339668867283795,0.10473701007474256,141,full_census_strata
