task,model,status,scope,response_norm_ratio,calibration_slope,macro_mean_response_norm_ratio,macro_mean_defined_calibration_slope,n_lineages,n_explicit_declined,n_norm_defined,n_slope_defined,estimator
T5c,CPA,native,full_census_source_arrays,2.3446996282306065,0.034512609961871804,2.4886908707086879,0.039719334279443227,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,CellFlow,native,full_census_source_arrays,2.464337172058098,0.034949421776968456,2.2992295464654213,0.062344735658170031,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,CellOT,native,full_census_source_arrays,2.0185361949497609,0.081331076632949043,1.9895040686608572,0.1222627381718125,4,1,563,562,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,FP-ridge,diagnostic,full_census_source_arrays,0.5958590624256892,0.66836827245374109,0.66915708142612773,0.63800376728990216,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,PRnet,native,full_census_source_arrays,3.0131520356601156,0.039648483553914871,3.4588312262075953,0.059181323201600564,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,PerturbNet,native,full_census_source_arrays,2.0720351158312398,0.057679772397785441,1.885022366026649,0.11201544494228589,4,4,563,559,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,STATE,native,full_census_source_arrays,2.6306063663218806,0.018394510279821606,3.454137449132181,0.028030516966303039,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,cell-mean,floor,full_census_source_arrays,2.5919673822523936,0.00018781687853715225,3.0466150267808434,0.014895257600461509,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,linear-PCA,floor,full_census_source_arrays,0.37619596937857913,0.83657068089333164,0.38191672371649726,0.7992561843669771,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,scFoundation,adapted,full_census_source_arrays,0.45857867983640332,0.7527040194564758,0.49516400893584056,0.74159550269950758,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,scGPT,adapted,full_census_source_arrays,0.76129484861786612,0.46638107807426288,0.80645636952131872,0.47143961001027607,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,scGen,native,full_census_source_arrays,1.7590763475107294,0.089848089609618195,1.7132779870772663,0.13914305776839916,4,1,563,562,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
T5c,scPRAM,native,full_census_source_arrays,2.2933545597017666,0.078717804786006096,2.2474967821260927,0.10693136155518028,4,0,563,563,"exact S22 reproduction: original per-bundle targets and controls; nanmedian over strata, median over lineages; declined placeholders retained"
