task,model,unit,status,response_norm_ratio,calibration_slope,mean_response_norm_ratio,mean_defined_calibration_slope,n_strata,n_norm_defined,n_slope_defined,n_explicit_declined
T5c,CPA,B,native,2.7814595668055442,0.041133065602311635,2.5777445974819795,0.055729547925168779,141,141,141,0
T5c,CPA,Mono,native,4.4947905515283839,-0.0045928558669507992,4.036578560371022,0.0059241456080471105,140,140,140,0
T5c,CPA,NK,native,1.6116287036279093,0.062113979231164823,1.5593809745032006,0.070521598589807374,141,141,141,0
T5c,CPA,T_cells,native,1.9079396896556686,0.027892154321431981,1.7810593504785508,0.026702044994749648,141,141,141,0
T5c,CellFlow,B,native,3.1072525061150635,0.033735911344234662,2.9177185073359704,0.043587734739873277,141,141,141,0
T5c,CellFlow,Mono,native,3.3870030730233851,0.02306975487656087,3.0530197479072307,0.047308202482374634,140,140,140,0
T5c,CellFlow,NK,native,1.8214218380011327,0.036162932209702257,1.7092686576288636,0.057605835801219078,141,141,141,0
T5c,CellFlow,T_cells,native,1.608233096365363,0.079731364043758704,1.5169112729896206,0.10087716960921314,141,141,141,0
T5c,CellOT,B,native,2.3255210413515139,0.050933922346701972,2.2185499630146266,0.081661448967203232,141,141,141,0
T5c,CellOT,Mono,native,2.7962947063757913,0.046786806446948083,2.5898393064093805,0.09211502760714467,140,140,140,0
T5c,CellOT,NK,native,1.5246632824730109,0.15701456839395303,1.4793575133294024,0.18422745318990394,141,141,141,0
T5c,CellOT,T_cells,native,1.7115513485480076,0.11172823091919612,1.6702694918900201,0.13104702292299814,141,141,140,1
T5c,FP-ridge,B,diagnostic,0.57590524735548942,0.68126119894180936,0.59856704713740949,0.7158612284232726,141,141,141,0
T5c,FP-ridge,Mono,diagnostic,0.81109036507709009,0.37181284626695199,0.78440035963736598,0.45411509438717573,140,140,140,0
T5c,FP-ridge,NK,diagnostic,0.57016484807703327,0.67337617134982797,0.61608285953778064,0.69459216640913124,141,141,141,0
T5c,FP-ridge,T_cells,diagnostic,0.61581287749588909,0.6633603735576542,0.67757805939195503,0.68744657994002922,141,141,141,0
T5c,PRnet,B,native,2.7207155944961245,0.043127469494548772,2.5799649905956388,0.068684567402232236,141,141,141,0
T5c,PRnet,Mono,native,6.7442850540646688,0.013133644928567362,6.0294824822445108,0.037088971047819483,140,140,140,0
T5c,PRnet,NK,native,2.2099281193459195,0.036169497613280976,2.1255213319327448,0.061247772972144461,141,141,141,0
T5c,PRnet,T_cells,native,3.3055884768241066,0.051318846129935043,3.1003561000574873,0.069703981384206068,141,141,141,0
T5c,PerturbNet,B,native,2.4635502298055969,0.040116940924473002,2.3246823113320056,0.070508649395053247,141,141,140,1
T5c,PerturbNet,Mono,native,2.1825485528092123,0.03853268073619831,1.9919454829046563,0.081687958222340026,140,140,139,1
T5c,PerturbNet,NK,native,1.402057338590766,0.16350026425699815,1.3533821091331515,0.18994978824803535,141,141,140,1
T5c,PerturbNet,T_cells,native,1.9615216788532672,0.07524260387109788,1.8700795607367828,0.10591538390371498,141,141,140,1
T5c,STATE,B,native,2.5825689498614426,0.029615516966999284,2.4331327345581877,0.047456316292003017,141,141,141,0
T5c,STATE,Mono,native,7.5429739482603928,-0.0041998701606608176,6.7314789589553286,0.0019403828149729915,140,140,140,0
T5c,STATE,NK,native,2.6786437827823182,0.011970691102675915,2.58282225437295,0.026660766427590188,141,141,141,0
T5c,STATE,T_cells,native,2.1946439926914341,0.024818329456967297,2.0691158486422587,0.03606460233064597,141,141,141,0
T5c,cell-mean,B,floor,2.6313485610171989,0.017512047662274481,2.4495262113259,0.033607668830141275,141,141,141,0
T5c,cell-mean,Mono,floor,5.5904894461552459,0.0081540376347553241,5.0200415629746802,0.035016412213164587,140,140,140,0
T5c,cell-mean,NK,floor,2.5525862034875888,-0.017790987439039434,2.4611876100495573,-0.0057353641581379677,141,141,141,0
T5c,cell-mean,T_cells,floor,2.4162537829524853,-0.0077784038776810196,2.2557047227732347,-0.003307686483321858,141,141,141,0
T5c,linear-PCA,B,floor,0.36474000877271878,0.8647435565606918,0.33953699939599458,0.86717608789301504,141,141,141,0
T5c,linear-PCA,Mono,floor,0.52826014279827738,0.40768113417299573,0.47435700827021532,0.54243298681190355,140,140,140,0
