task,model,unit,n_strata,pearson_delta,census_value,absolute_difference,snapshot_path,scope
T1,CellOT,B,8,0.8124228150370955,0.8124228150370959,4.440892098500626e-16,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_B.npz,full_census_strata
T1,CellOT,CD4T,8,0.8184384967692626,0.8184384967692631,4.440892098500626e-16,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_CD4T.npz,full_census_strata
T1,CellOT,CD8T,8,0.7636043237442818,0.7636043237442822,4.440892098500626e-16,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_CD8T.npz,full_census_strata
T1,CellOT,DC,8,0.7952035301282405,0.7952035301282412,6.661338147750939e-16,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_DC.npz,full_census_strata
T1,CellOT,Mk,8,0.556162396433521,0.5561623964335212,2.220446049250313e-16,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_Mk.npz,full_census_strata
T1,CellOT,Mono_CD14,8,0.9130139182685315,0.9130139182685304,1.1102230246251565e-15,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_Mono_CD14.npz,full_census_strata
T1,CellOT,Mono_FCGR3A,8,0.896079948518784,0.8960799485187844,3.3306690738754696e-16,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,CellOT,NK,8,0.7371009330093499,0.7371009330093503,4.440892098500626e-16,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_NK.npz,full_census_strata
T1,cell-mean,B,8,0.6650275677326013,0.6650275677326014,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,full_census_strata
T1,cell-mean,CD4T,8,0.6202834193649842,0.6202834193649843,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,full_census_strata
T1,cell-mean,CD8T,8,0.6186532631599474,0.6186532631599475,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,full_census_strata
T1,cell-mean,DC,8,0.7118548818589514,0.7118548818589516,2.220446049250313e-16,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,full_census_strata
T1,cell-mean,Mk,8,0.5344624507409671,0.5344624507409674,3.3306690738754696e-16,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,full_census_strata
T1,cell-mean,Mono_CD14,8,0.45585314047845094,0.4558531404784515,5.551115123125783e-16,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,full_census_strata
T1,cell-mean,Mono_FCGR3A,8,0.5287328292582776,0.5287328292582771,4.440892098500626e-16,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,cell-mean,NK,8,0.5815767202586145,0.5815767202586147,2.220446049250313e-16,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_NK.npz,full_census_strata
T1,linear-PCA,B,8,0.829179226986994,0.8291792269869938,2.220446049250313e-16,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_B.npz,full_census_strata
T1,linear-PCA,CD4T,8,0.7845206324085405,0.7845206324085413,7.771561172376096e-16,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_CD4T.npz,full_census_strata
T1,linear-PCA,CD8T,8,0.7210861090937524,0.7210861090937519,4.440892098500626e-16,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_CD8T.npz,full_census_strata
T1,linear-PCA,DC,8,0.8222806328625727,0.8222806328625727,0.0,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_DC.npz,full_census_strata
T1,linear-PCA,Mk,8,0.6024060114728254,0.6024060114728254,0.0,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mk.npz,full_census_strata
T1,linear-PCA,Mono_CD14,8,0.819037416664315,0.8190374166643148,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mono_CD14.npz,full_census_strata
T1,linear-PCA,Mono_FCGR3A,8,0.8812668727993676,0.8812668727993672,3.3306690738754696e-16,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,linear-PCA,NK,8,0.7828952449007794,0.7828952449007798,3.3306690738754696e-16,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_NK.npz,full_census_strata
T1,scFoundation,B,8,0.7484128542071056,0.7484128542071047,8.881784197001252e-16,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_B.npz,full_census_strata
T1,scFoundation,CD4T,8,0.7288848259591707,0.7288848259591714,6.661338147750939e-16,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_CD4T.npz,full_census_strata
T1,scFoundation,CD8T,8,0.682302917178738,0.6823029171787389,8.881784197001252e-16,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_CD8T.npz,full_census_strata
T1,scFoundation,DC,8,0.7049193215819007,0.7049193215819002,5.551115123125783e-16,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_DC.npz,full_census_strata
T1,scFoundation,Mk,8,0.5185674708480211,0.5185674708480232,2.1094237467877974e-15,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_Mk.npz,full_census_strata
T1,scFoundation,Mono_CD14,8,0.6894692848934676,0.6894692848934674,2.220446049250313e-16,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_Mono_CD14.npz,full_census_strata
T1,scFoundation,Mono_FCGR3A,8,0.6938521143158597,0.6938521143158596,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,scFoundation,NK,8,0.6522699234221154,0.6522699234221156,2.220446049250313e-16,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_NK.npz,full_census_strata
T1,scGPT,B,8,0.6684801460938261,0.6684801460938256,5.551115123125783e-16,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_B.npz,full_census_strata
T1,scGPT,CD4T,8,0.6427802326979417,0.6427802326979412,5.551115123125783e-16,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_CD4T.npz,full_census_strata
T1,scGPT,CD8T,8,0.6242031139958356,0.6242031139958357,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_CD8T.npz,full_census_strata
