task,model,unit,stratum,pearson_delta
T1,CellOT,B,donor_id=1256,0.8186857375606061
T1,CellOT,B,donor_id=1488,0.8175091166539158
T1,CellOT,B,donor_id=1015,0.8256370427058605
T1,CellOT,B,donor_id=101,0.8364663158694701
T1,CellOT,B,donor_id=1039,0.7889408476037082
T1,CellOT,B,donor_id=1244,0.7983173350494336
T1,CellOT,B,donor_id=1016,0.8090067652825026
T1,CellOT,B,donor_id=107,0.8048193595712668
T1,CellOT,CD4T,donor_id=1256,0.8119468156934518
T1,CellOT,CD4T,donor_id=101,0.7890625665697661
T1,CellOT,CD4T,donor_id=1039,0.8434726776148793
T1,CellOT,CD4T,donor_id=1016,0.8139600573418985
T1,CellOT,CD4T,donor_id=1015,0.844840007003337
T1,CellOT,CD4T,donor_id=1244,0.7913896156801157
T1,CellOT,CD4T,donor_id=107,0.8283557158828753
T1,CellOT,CD4T,donor_id=1488,0.824480518367778
T1,CellOT,CD8T,donor_id=101,0.7992433468109204
T1,CellOT,CD8T,donor_id=1015,0.8168966349267103
T1,CellOT,CD8T,donor_id=1256,0.8301193375087378
T1,CellOT,CD8T,donor_id=1244,0.7169266975479079
T1,CellOT,CD8T,donor_id=1039,0.7247876877339201
T1,CellOT,CD8T,donor_id=1016,0.813338238978871
T1,CellOT,CD8T,donor_id=1488,0.8209104806788976
T1,CellOT,CD8T,donor_id=107,0.5866121657682885
T1,CellOT,DC,donor_id=1488,0.8693889991286486
T1,CellOT,DC,donor_id=101,0.8130472686505013
T1,CellOT,DC,donor_id=1039,0.5707711693334101
T1,CellOT,DC,donor_id=1256,0.7880183797391686
T1,CellOT,DC,donor_id=107,0.8001371765274684
T1,CellOT,DC,donor_id=1015,0.8697613068052785
T1,CellOT,DC,donor_id=1244,0.8632191356400049
T1,CellOT,DC,donor_id=1016,0.7872848052014435
T1,CellOT,Mk,donor_id=1016,0.5083622888258218
T1,CellOT,Mk,donor_id=1488,0.6536781930463392
T1,CellOT,Mk,donor_id=1015,0.7448220460071612
T1,CellOT,Mk,donor_id=107,0.3435704032372987
T1,CellOT,Mk,donor_id=1039,0.46496359453519953
T1,CellOT,Mk,donor_id=1256,0.6662044157091309
T1,CellOT,Mk,donor_id=1244,0.515290512903172
T1,CellOT,Mk,donor_id=101,0.5524077172040437
T1,CellOT,Mono_CD14,donor_id=101,0.8935032888180429
T1,CellOT,Mono_CD14,donor_id=1244,0.8999682219605196
T1,CellOT,Mono_CD14,donor_id=1488,0.8986823941232025
T1,CellOT,Mono_CD14,donor_id=1015,0.9319852111302664
T1,CellOT,Mono_CD14,donor_id=1256,0.9166256920446355
T1,CellOT,Mono_CD14,donor_id=107,0.9186412283259171
T1,CellOT,Mono_CD14,donor_id=1016,0.9319553633171268
T1,CellOT,Mono_CD14,donor_id=1039,0.9127499464285409
T1,CellOT,Mono_FCGR3A,donor_id=1488,0.9016523962927245
T1,CellOT,Mono_FCGR3A,donor_id=101,0.8776561098006931
T1,CellOT,Mono_FCGR3A,donor_id=107,0.8895230864762943
T1,CellOT,Mono_FCGR3A,donor_id=1256,0.9026497868377803
T1,CellOT,Mono_FCGR3A,donor_id=1016,0.8831641338811218
T1,CellOT,Mono_FCGR3A,donor_id=1015,0.9089537529148964
T1,CellOT,Mono_FCGR3A,donor_id=1039,0.9062545087962561
T1,CellOT,Mono_FCGR3A,donor_id=1244,0.898785813150505
T1,CellOT,NK,donor_id=101,0.7589007802553034
T1,CellOT,NK,donor_id=1488,0.7614510722571763
T1,CellOT,NK,donor_id=107,0.6959539246382533
T1,CellOT,NK,donor_id=1244,0.7470288131803192
T1,CellOT,NK,donor_id=1256,0.7814250716454731
T1,CellOT,NK,donor_id=1015,0.756174281651349
T1,CellOT,NK,donor_id=1016,0.8023886284867918
T1,CellOT,NK,donor_id=1039,0.5934848919601332
T1,cell-mean,B,donor_id=1256,0.6784466726248346
T1,cell-mean,B,donor_id=1488,0.6785189122812403
