task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,AttentionPert,native,5,5,2,chen;schmidt,2,True,-0.17355520937249147,-0.49226776204414951,0.14515734329916657,0.057354111861852283,0.048582677727010193,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,Biolord,native,5,5,2,chen;schmidt,2,True,-0.47982340913793509,-0.76152449550001666,-0.19812232277585357,0.037964478698478098,0.026403938682559538,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,CellFlow,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,GEARS,native,5,5,2,chen;schmidt,2,True,0.11528892448794274,0.05718669527091378,0.17339115370497171,0.043413499083208087,0.036249774526056308,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,PertAdapt,native,5,5,2,chen;schmidt,2,True,-0.070350165435535655,-0.40336655914392278,0.26266622827285147,0.20089617767316231,0.19716750991996684,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,PerturbNet,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,STATE,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.027344150943454076,0.018971003884515506,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.030609407333935537,0.022481707411879187,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,scFoundation,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,scGPT,native,5,5,2,chen;schmidt,2,True,0.0065297902189307422,-0.14611238205776364,0.15917196249562512,0.037844227842711062,0.025332841572580273,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.24167119616602811,0.20510353817605315,0.27823885415600308,0.04371923065993473,0.038810363064998042,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,Biolord,native,5,5,2,chen;schmidt,2,True,0.3738369993129641,-0.096707134973253575,0.84438113359918177,0.038989892142255775,0.033633336211953843,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,CellFlow,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,GEARS,native,5,5,2,chen;schmidt,2,True,0.38272546813412361,0.16500834447958815,0.60044259178865911,0.04449006602469726,0.034471270181829966,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,PertAdapt,native,5,5,2,chen;schmidt,2,True,0.25555135805532003,0.135781173256042,0.37532154285459801,0.20532068463340092,0.19600839512570514,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,PerturbNet,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
