task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope,n_units,pearson_delta,binding_floor,binding_floor_score,margin,n_units_positive,response_norm_ratio,macro_mean_response_norm_ratio,calibration_slope,macro_mean_calibration_slope,n_explicit_declined,full_n_strata,n_strata,aggregation,plottable
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.15506161679008082,0.067896912834341239,0.23257509842393345,0.2924810159750581,0.23704123813362399,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.060608934102156321,linear-PCA,0.2694297537764212,-0.20882081967426491,0,2.3446996744094628,2.4886908752486274,0.034512616605450616,0.039719334575470923,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.78290494585368364,0.65995181633183064,0.8731718183529672,0.25413899139175733,0.21890087745643827,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.10382046123706748,linear-PCA,0.2694297537764212,-0.16560929253935372,0,2.4643371720581069,2.2992295464654191,0.034949421776968637,0.062344735658170669,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CellOT,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate,4,0.19362945523246602,linear-PCA,0.2694297537764212,-0.075800298543955175,0,2.0185361559818249,1.9895040719840846,,,1,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,False
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.88059496921300606,0.76805562667883776,0.9336410493676337,0.13931160321776448,0.10851057702178044,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.38744925741192343,linear-PCA,0.2694297537764212,0.11801950363550222,4,0.59585906242569076,0.66915708142612873,0.66836827245374431,0.6380037672899056,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.79580791440837517,0.69683623406467798,0.86899375956430769,0.27104235403990773,0.23552289972757351,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.094430918102211381,linear-PCA,0.2694297537764212,-0.17499883567420985,0,3.0131520356601245,3.4588312262076046,0.039648483553915218,0.059181323201600716,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 4}",common observed-defined units; identical for every candidate,4,0.14909837120069849,linear-PCA,0.2694297537764212,-0.12033138257572271,0,2.0720351680756472,1.8850223685527014,,,4,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,False
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,0.21177878510951165,0.10224284562645997,0.37735160742175139,0.30664791817617876,0.25013585605689936,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.041669246701467891,linear-PCA,0.2694297537764212,-0.22776050707495332,0,2.6306062911834092,3.4541374547894499,0.018394470432577359,0.028030517413959753,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.28199569274942177,0.23144625730761154,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate,4,0.024978818143148059,linear-PCA,0.2694297537764212,-0.24445093563327316,0,2.5919673822523901,3.0466150267808443,0.00018781687853709934,0.014895257600461571,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,False
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.25412535677372522,0.19986113618676432,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate,4,0.2694297537764212,linear-PCA,0.2694297537764212,0,0,0.37619596937858046,0.38191672371649843,0.83657068089333242,0.79925618436697765,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,False
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.67517133311792421,0.16178892706375586,0.9217529243222663,0.18652950975923005,0.14743288311944938,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.32908004972670968,linear-PCA,0.2694297537764212,0.059650295950288451,3,0.45857867983640438,0.49516400893584167,0.75270401945647625,0.74159550269950936,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
