task,model,unit,status,scope,gene_mask,method,program,n_strata,full_n_strata,n_measured,n_listed,measured_genes,correlation,correlation_status,raw_numerical_status,observed_eligible,observed_sd,predicted_sd,observed_profile_max_range,predicted_profile_max_range,rmse,mae,sign_agreement,identity_max_error,n_explicit_declined,ranking_universe_size,rank_top_n,best_unit_floor_rmse,rmse_improvement_vs_unit_floor,rmse_skill_vs_unit_floor,floor_definition,fewer_than_three_strata,observed_scalar_constant,predicted_scalar_constant,observed_profile_numerically_constant,predicted_profile_numerically_constant,legacy_priority_numerical_status
T3,AttentionPert,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,0.1451573432991665,estimable,estimable,True,0.0154393370831533,0.0117670267513436,0.4181470274925231,0.3453025817871093,0.0559573661356486,0.0529823906995632,0.5,0,0,2000,100,0.0159253635030873,-0.0400320026325612,-2.513726146646539,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,Biolord,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,-0.1981223227758535,estimable,estimable,True,0.0154393370831533,0.0116573158728249,0.4181470274925231,0.221388816833496,0.0279471415433216,0.022063649031851,0.4,0,0,2000,100,0.0159253635030873,-0.0120217780402342,-0.7548824890498533,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,CellFlow,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,,explicit_declined_strata_on_full_support,estimable,True,0.0154393370831533,0.0040583987359399,0.4181470274925231,0.2499444484710693,0.0279989261223129,0.024563764863544,0.4666666666666666,0,1,2000,100,0.0159253635030873,-0.0120735626192255,-0.7581341937271883,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,GEARS,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,0.1733911537049717,estimable,estimable,True,0.0154393370831533,0.0147498614481387,0.4181470274925231,0.3928782939910888,0.0363415992712894,0.0313337039202451,0.5333333333333333,0,0,2000,100,0.0159253635030873,-0.0204162357682021,-1.281994961323432,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,PertAdapt,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,0.2626662282728514,estimable,estimable,True,0.0154393370831533,0.023420211699598,0.4181470274925231,0.9982166290283204,0.0738836188466513,0.0697270821641992,0.4666666666666666,0,0,2000,100,0.0159253635030873,-0.0579582553435639,-3.639367813006453,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,PerturbNet,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,,explicit_declined_strata_on_full_support,estimable,True,0.0154393370831533,0.0118222287808118,0.4181470274925231,0.2242279052734375,0.0351102536817517,0.0319186159857997,0.4666666666666666,0,1,2000,100,0.0159253635030873,-0.0191848901786643,-1.2046751821360346,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,STATE,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,,explicit_declined_strata_on_full_support,estimable,True,0.0154393370831533,0.0143320892679025,0.4181470274925231,2.2778453826904297,0.024337588570885,0.0195664587948057,0.3666666666666666,0,1,2000,100,0.0159253635030873,-0.0084122250677976,-0.5282281353368685,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,cell-mean,chen,floor,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,-0.2754316791262695,estimable,estimable,True,0.0154393370831533,6.633491160891096e-07,0.4181470274925231,0.0001115798950195,0.0159253635030873,0.0126272318539796,0.4666666666666666,0,0,2000,100,0.0159253635030873,0.0,0.0,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,linear-PCA,chen,floor,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,-0.1541095303110647,estimable,estimable,True,0.0154393370831533,1.4946142476803864e-06,0.4181470274925231,0.0001192092895507,0.017162698520501,0.0140639642874399,0.4666666666666666,0,0,2000,100,0.0159253635030873,-0.0012373350174137,-0.077695872824117,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,linear-shift-KOemb,chen,diagnostic,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,,explicit_declined_strata_on_full_support,estimable,True,0.0154393370831533,0.0005618644848253,0.4181470274925231,0.1178982257843017,0.0156943101106747,0.0123032759737085,0.4666666666666666,0,1,2000,100,0.0159253635030873,0.0002310533924126,0.014508516076748,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,scFoundation,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,,explicit_declined_strata_on_full_support,estimable,True,0.0154393370831533,0.0087422226517186,0.4181470274925231,0.59743332862854,0.0281778671075126,0.0235656636732595,0.4666666666666666,0,3,2000,100,0.0159253635030873,-0.0122525036044252,-0.7693704198368807,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,scGPT,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,30,30,9,11,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,0.1591719624956251,estimable,estimable,True,0.0154393370831533,0.0062869790598282,0.4181470274925231,0.2082476615905761,0.0165746720922264,0.0134126766964241,0.4666666666666666,0,0,2000,100,0.0159253635030873,-0.0006493085891391,-0.0407719791773186,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,AttentionPert,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.2051035381760531,estimable,estimable,True,0.0240786021150301,0.0111789141566378,0.4181470274925231,0.3453025817871093,0.0306701125472167,0.0262778038227999,0.6999999999999998,0,0,2000,100,0.0251260084059617,-0.005544104141255,-0.2206520053515361,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,Biolord,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,-0.0967071349732535,estimable,estimable,True,0.0240786021150301,0.0149937853149456,0.4181470274925231,0.221388816833496,0.0353764631775783,0.0285976390043894,0.6666666666666666,0,0,2000,100,0.0251260084059617,-0.0102504547716165,-0.4079619255872086,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,CellFlow,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,,explicit_declined_strata_on_full_support,estimable,True,0.0240786021150301,0.0136796865144392,0.4181470274925231,0.2499444484710693,0.068981624429415,0.0650690446297327,0.6999999999999998,0,1,2000,100,0.0251260084059617,-0.0438556160234532,-1.7454271014669973,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,GEARS,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.1650083444795881,estimable,estimable,True,0.0240786021150301,0.0185413254975435,0.4181470274925231,0.3928782939910888,0.0311184199157404,0.0236915065182579,0.5,0,0,2000,100,0.0251260084059617,-0.0059924115097786,-0.2384943685825089,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,PertAdapt,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.375321542854598,estimable,estimable,True,0.0240786021150301,0.0401570489572811,0.4181470274925231,0.9982166290283204,0.0709973082160466,0.0597834938102298,0.6999999999999998,0,0,2000,100,0.0251260084059617,-0.0458712998100848,-1.8256501020353368,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,PerturbNet,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,,explicit_declined_strata_on_full_support,estimable,True,0.0240786021150301,0.0168307025206404,0.4181470274925231,0.2242279052734375,0.0538401549393876,0.0501738633270616,0.6999999999999998,0,1,2000,100,0.0251260084059617,-0.0287141465334258,-1.1428057361714776,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,STATE,chen,native,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,,explicit_declined_strata_on_full_support,estimable,True,0.0240786021150301,0.011948196789474,0.4181470274925231,2.2778453826904297,0.0292839392319228,0.0221277695011209,0.7333333333333332,0,1,2000,100,0.0251260084059617,-0.004157930825961,-0.1654831423591547,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,cell-mean,chen,floor,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.5275111576704049,estimable,estimable,True,0.0240786021150301,6.312657160765916e-07,0.4181470274925231,0.0001115798950195,0.0251260084059617,0.0196067111359702,0.6999999999999998,0,0,2000,100,0.0251260084059617,0.0,0.0,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
T3,linear-PCA,chen,floor,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,30,30,9,14,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.2122219520061842,estimable,estimable,True,0.0240786021150301,9.983843836536846e-07,0.4181470274925231,0.0001192092895507,0.0264647242981579,0.0216384042192388,0.6999999999999998,0,0,2000,100,0.0251260084059617,-0.0013387158921961,-0.0532800861388917,"smaller RMSE of cell-mean and linear-PCA, chosen per unit/program; auxiliary error comparison",False,False,False,False,False,estimable
