task,scope,gene_mask,method,raw_numerical_status,n_model_unit_program_comparisons
T3,full_census_strata,all_measured_original_members,mean_expression_delta,estimable,110
T3,full_census_strata,all_measured_original_members,mean_expression_delta,fewer_than_three_strata_policy,180
T3,full_census_strata,all_measured_original_members,mean_expression_delta,numerically_constant_predicted_profile,10
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,constant_observed_score,84
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,constant_predicted_score,8
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,estimable,28
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,fewer_than_three_strata_policy,180
T3,full_census_strata,benchmark_mask,mean_expression_delta,estimable,110
T3,full_census_strata,benchmark_mask,mean_expression_delta,fewer_than_three_strata_policy,180
T3,full_census_strata,benchmark_mask,mean_expression_delta,numerically_constant_predicted_profile,10
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,constant_observed_score,84
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,constant_predicted_score,8
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,estimable,28
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,fewer_than_three_strata_policy,180
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,estimable,110
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,fewer_than_three_strata_policy,180
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,numerically_constant_predicted_profile,10
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,constant_observed_score,84
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,constant_predicted_score,9
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,estimable,27
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,fewer_than_three_strata_policy,180
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,estimable,110
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,fewer_than_three_strata_policy,180
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,numerically_constant_predicted_profile,10
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,constant_observed_score,84
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,constant_predicted_score,9
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,estimable,27
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,fewer_than_three_strata_policy,180
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,estimable,132
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,numerically_constant_predicted_profile,24
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,constant_observed_score,39
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,constant_predicted_score,53
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,estimable,64
T5c,full_census_strata,benchmark_mask,mean_expression_delta,estimable,132
T5c,full_census_strata,benchmark_mask,mean_expression_delta,numerically_constant_predicted_profile,24
T5c,full_census_strata,benchmark_mask,rank_top5_mean_profile,constant_observed_score,39
T5c,full_census_strata,benchmark_mask,rank_top5_mean_profile,constant_predicted_score,53
T5c,full_census_strata,benchmark_mask,rank_top5_mean_profile,estimable,64
T5c,shared_supported_strata,all_measured_original_members,mean_expression_delta,estimable,132
T5c,shared_supported_strata,all_measured_original_members,mean_expression_delta,numerically_constant_predicted_profile,24
T5c,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,constant_observed_score,39
T5c,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,constant_predicted_score,53
T5c,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,estimable,64
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,estimable,132
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,numerically_constant_predicted_profile,24
T5c,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,constant_observed_score,39
T5c,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,constant_predicted_score,53
T5c,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,estimable,64
