task,scope,model,status,n_units,pearson_delta,binding_floor,binding_floor_score,margin,n_units_positive,response_norm_ratio,macro_mean_response_norm_ratio,calibration_slope,macro_mean_calibration_slope,n_explicit_declined,full_n_strata,n_strata,aggregation
T1,full_census_strata,CPA,native,8,0.3864117466365854,linear-PCA,0.78033401839864336,-0.39392227176205796,0,0.6275116754156902,0.66624016587810586,0.5325471292080417,0.61198179939177544,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,CellFlow,native,8,0.79847389766440924,linear-PCA,0.78033401839864336,0.018139879265765949,4,0.97059683869277835,1.0003692185659534,0.81531230660159937,0.81491689227011488,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,CellOT,native,8,0.78650329479313241,linear-PCA,0.78033401839864336,0.0061692763944890261,4,1.0197093129662602,1.0356529288293226,0.78355933646012788,0.77550995203032147,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,PerturbNet,native,8,0.78683496552940779,linear-PCA,0.78033401839864336,0.0065009471307643923,3,0.95917788303395546,0.95895722399254835,0.81593105728217918,0.82928864061758056,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,STATE,native,8,0.64156542366862679,linear-PCA,0.78033401839864336,-0.13876859473001663,0,1.0672504166600141,1.0608205829480652,0.56374864521137891,0.62252525475421527,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,cell-mean,floor,8,0.58955553410659922,linear-PCA,0.78033401839864336,-0.19077848429204405,0,1.224644034126364,1.2752794845401807,0.46252078528343255,0.47544828569011344,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,linear-PCA,floor,8,0.78033401839864336,linear-PCA,0.78033401839864336,0,0,0.91770661165330858,0.89932892352048555,0.81569535480751076,0.95064012491025307,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,scFoundation,adapted,8,0.67733483905079739,linear-PCA,0.78033401839864336,-0.102999179347846,0,0.91459750114218319,0.93102437338177801,0.73328963462433283,0.74890839423900224,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,scGPT,adapted,8,0.58547668111761231,linear-PCA,0.78033401839864336,-0.19485733728103102,0,1.2117239670166899,1.2571521706053561,0.44695038947373089,0.47543597585977959,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,scGen,native,8,0.7496655437905162,linear-PCA,0.78033401839864336,-0.030668474608127175,2,0.90074036954756087,0.87573904358762311,0.78853522494896366,0.88750079941996041,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,full_census_strata,scPRAM,native,8,0.75071654840083357,linear-PCA,0.78033401839864336,-0.029617469997809745,1,1.0583242037297533,1.0902358206288778,0.61386327326422485,0.66701465983279795,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,CPA,native,8,0.3864117466365854,linear-PCA,0.78033401839864336,-0.39392227176205796,0,0.6275116754156902,0.66624016587810586,0.5325471292080417,0.61198179939177544,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,CellFlow,native,8,0.79847389766440924,linear-PCA,0.78033401839864336,0.018139879265765949,4,0.97059683869277835,1.0003692185659534,0.81531230660159937,0.81491689227011488,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,CellOT,native,8,0.78650329479313241,linear-PCA,0.78033401839864336,0.0061692763944890261,4,1.0197093129662602,1.0356529288293226,0.78355933646012788,0.77550995203032147,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,PerturbNet,native,8,0.78683496552940779,linear-PCA,0.78033401839864336,0.0065009471307643923,3,0.95917788303395546,0.95895722399254835,0.81593105728217918,0.82928864061758056,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,STATE,native,8,0.64156542366862679,linear-PCA,0.78033401839864336,-0.13876859473001663,0,1.0672504166600141,1.0608205829480652,0.56374864521137891,0.62252525475421527,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,cell-mean,floor,8,0.58955553410659922,linear-PCA,0.78033401839864336,-0.19077848429204405,0,1.224644034126364,1.2752794845401807,0.46252078528343255,0.47544828569011344,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,linear-PCA,floor,8,0.78033401839864336,linear-PCA,0.78033401839864336,0,0,0.91770661165330858,0.89932892352048555,0.81569535480751076,0.95064012491025307,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,scFoundation,adapted,8,0.67733483905079739,linear-PCA,0.78033401839864336,-0.102999179347846,0,0.91459750114218319,0.93102437338177801,0.73328963462433283,0.74890839423900224,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,scGPT,adapted,8,0.58547668111761231,linear-PCA,0.78033401839864336,-0.19485733728103102,0,1.2117239670166899,1.2571521706053561,0.44695038947373089,0.47543597585977959,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,scGen,native,8,0.7496655437905162,linear-PCA,0.78033401839864336,-0.030668474608127175,2,0.90074036954756087,0.87573904358762311,0.78853522494896366,0.88750079941996041,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T1,shared_supported_strata,scPRAM,native,8,0.75071654840083357,linear-PCA,0.78033401839864336,-0.029617469997809745,1,1.0583242037297533,1.0902358206288778,0.61386327326422485,0.66701465983279795,0,64,64,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,AttentionPert,native,5,0.23557343791253657,cell-mean,0.50201040619707393,-0.26643696828453745,0,2.0261899092339202,2.0770188858024627,0.11630007590385824,0.66408276762214347,0,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,Biolord,native,5,0.4019162915847751,cell-mean,0.50201040619707393,-0.10009411461229885,1,0.99540241777317173,1.0923927751884486,0.32381088159675109,0.39282296323140181,0,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,CellFlow,native,5,0.32713503928606535,cell-mean,0.50201040619707393,-0.17487536691100866,0,0.87146933339320332,1.0013126839482116,,,1,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,GEARS,native,5,0.21288743040965263,cell-mean,0.50201040619707393,-0.28912297578742135,0,1.5767949020923262,1.5142944293812011,0.10393149545463831,0.67752867218202051,0,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,PertAdapt,native,5,0.24013036196112286,cell-mean,0.50201040619707393,-0.26188004423595113,0,2.1335236469301178,2.6799834428802538,0.13124773170252088,0.11692754761610988,0,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,PerturbNet,native,5,0.37121876385995406,cell-mean,0.50201040619707393,-0.13079164233711996,1,1.3030360479922667,1.1977914061243009,,,1,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,STATE,native,5,0.14346877609122782,cell-mean,0.50201040619707393,-0.35854163010584622,0,2.755664507749696,2.8268978267829858,,,1,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,cell-mean,floor,5,0.50201040619707393,cell-mean,0.50201040619707393,0,0,0.69863253278327109,0.66870846091533231,0.77818508266153552,0.78728424564386867,0,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,linear-PCA,floor,5,0.30119442721918727,cell-mean,0.50201040619707393,-0.20081597897788672,0,0.55592606376116804,0.50038760732614807,0.73690248980091466,0.68462284043761834,0,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,linear-shift-KOemb,diagnostic,5,0.49407499685796508,cell-mean,0.50201040619707393,-0.0079354093391089016,1,0.70393870031820527,0.6561560147467248,,,1,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,scFoundation,native,5,0.13026530423369304,cell-mean,0.50201040619707393,-0.37174510196338095,0,4.3757691541127128,3.9136708897540315,,,3,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,full_census_strata,scGPT,native,5,0.16882010048805715,cell-mean,0.50201040619707393,-0.33319030570901681,0,1.0821997175627815,1.8647730128850153,0.34850328898100008,0.69887266101376677,0,43,43,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,AttentionPert,native,5,0.23703913487793926,cell-mean,0.50590648495448043,-0.26886735007654117,0,2.04436566244018,2.0924156241437171,0.11441299613880485,0.16558024245134492,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,Biolord,native,5,0.40494864919372048,cell-mean,0.50590648495448043,-0.10095783576075998,1,0.99540241777317173,1.0932932920464367,0.32381088159675109,0.39747196374011784,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,CellFlow,native,5,0.33078511126460886,cell-mean,0.50590648495448043,-0.17512137368987157,0,0.87146933339320332,1.0181702962173764,0.34889860059780964,0.39350655066572171,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,GEARS,native,5,0.2147469031004931,cell-mean,0.50590648495448043,-0.29115958185398727,0,1.6020949920483789,1.5277343394678262,0.10353122220876816,0.17920647047382302,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,PertAdapt,native,5,0.24189169051267778,cell-mean,0.50590648495448043,-0.26401479444180265,0,2.1335236469301178,2.6797214891708689,0.13124773170252088,0.11762623376876966,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,PerturbNet,native,5,0.37527960544467309,cell-mean,0.50590648495448043,-0.13062687950980739,1,1.3030360479922667,1.2064571723688655,0.25959292756942981,0.32002730375151028,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,STATE,native,5,0.14460378822966502,cell-mean,0.50590648495448043,-0.36130269672481541,0,2.755664507749696,2.8472995256601279,0.037411752035645243,0.098269866687248464,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,cell-mean,floor,5,0.50590648495448043,cell-mean,0.50590648495448043,0,0,0.69863253278327109,0.66789077857704793,0.77818508266153552,0.79694515207285388,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,linear-PCA,floor,5,0.30583899367261252,cell-mean,0.50590648495448043,-0.20006749128186785,0,0.55592606376116804,0.4996616362189738,0.73690248980091466,0.69665880262183388,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
T3,shared_supported_strata,linear-shift-KOemb,diagnostic,5,0.49922439047865313,cell-mean,0.50590648495448043,-0.0066820944758272383,1,0.70393870031820527,0.66193265339799645,0.83023603729028939,0.79066199784531688,0,43,40,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units
