task,model,unit,status,scope,n_strata,full_n_strata,n_response_genes,n_explicit_declined,pearson_delta,response_norm_ratio,mean_response_norm_ratio,calibration_slope,mean_calibration_slope,n_norm_estimable,n_slope_estimable,all_response_norms_estimable,includes_declined_placeholders
T1,CPA,B,native,shared_supported_strata,8,8,2000,0,0.36214855915898003,0.70413634362176936,0.70348325964452496,0.54137787932766801,0.53054133757250266,8,8,True,False
T1,CPA,B,native,full_census_strata,8,8,2000,0,0.36214855915898003,0.70413634362176936,0.70348325964452496,0.54137787932766801,0.53054133757250266,8,8,True,False
T1,CPA,CD4T,native,shared_supported_strata,8,8,2000,0,0.34104259780117996,0.8631115871836782,0.86492128952165981,0.39672515993831831,0.38841289271935164,8,8,True,False
T1,CPA,CD4T,native,full_census_strata,8,8,2000,0,0.34104259780117996,0.8631115871836782,0.86492128952165981,0.39672515993831831,0.38841289271935164,8,8,True,False
T1,CPA,CD8T,native,shared_supported_strata,8,8,2000,0,0.53487446777249259,0.55088700720961103,0.54940782456945092,0.91999833840941292,0.95396980515960283,8,8,True,False
T1,CPA,CD8T,native,full_census_strata,8,8,2000,0,0.53487446777249259,0.55088700720961103,0.54940782456945092,0.91999833840941292,0.95396980515960283,8,8,True,False
T1,CPA,DC,native,shared_supported_strata,8,8,2000,0,0.50435227680311012,1.0194581278595862,1.0329725982698097,0.42158584545592737,0.42553153049137676,8,8,True,False
T1,CPA,DC,native,full_census_strata,8,8,2000,0,0.50435227680311012,1.0194581278595862,1.0329725982698097,0.42158584545592737,0.42553153049137676,8,8,True,False
T1,CPA,Mk,native,shared_supported_strata,8,8,2000,0,0.27183194661774723,0.54382991568351968,0.55626104496826889,0.43023052102945369,0.4939842741316941,8,8,True,False
T1,CPA,Mk,native,full_census_strata,8,8,2000,0,0.27183194661774723,0.54382991568351968,0.55626104496826889,0.43023052102945369,0.4939842741316941,8,8,True,False
T1,CPA,Mono_CD14,native,shared_supported_strata,8,8,2000,0,0.40885270352835695,0.39133520586939996,0.39095130250349797,1.0610754428793057,1.0390819969746901,8,8,True,False
T1,CPA,Mono_CD14,native,full_census_strata,8,8,2000,0,0.40885270352835695,0.39133520586939996,0.39095130250349797,1.0610754428793057,1.0390819969746901,8,8,True,False
T1,CPA,Mono_FCGR3A,native,shared_supported_strata,8,8,2000,0,0.25992286763464911,0.5039478305793984,0.49420106164527311,0.52371637908841551,0.50642909542699777,8,8,True,False
T1,CPA,Mono_FCGR3A,native,full_census_strata,8,8,2000,0,0.25992286763464911,0.5039478305793984,0.49420106164527311,0.52371637908841551,0.50642909542699777,8,8,True,False
T1,CPA,NK,native,shared_supported_strata,8,8,2000,0,0.40826855377616711,0.73747646590143379,0.73772294590236132,0.54251565834805371,0.55790346265798774,8,8,True,False
T1,CPA,NK,native,full_census_strata,8,8,2000,0,0.40826855377616711,0.73747646590143379,0.73772294590236132,0.54251565834805371,0.55790346265798774,8,8,True,False
T1,CellFlow,B,native,shared_supported_strata,8,8,2000,0,0.82615160487891481,0.94996132452563509,0.94908022517074353,0.86157435282843187,0.87000376338497509,8,8,True,False
T1,CellFlow,B,native,full_census_strata,8,8,2000,0,0.82615160487891481,0.94996132452563509,0.94908022517074353,0.86157435282843187,0.87000376338497509,8,8,True,False
T1,CellFlow,CD4T,native,shared_supported_strata,8,8,2000,0,0.81648344311950616,0.90239503617681005,0.90428710414748237,0.89254897475621831,0.90579248328270401,8,8,True,False
T1,CellFlow,CD4T,native,full_census_strata,8,8,2000,0,0.81648344311950616,0.90239503617681005,0.90428710414748237,0.89254897475621831,0.90579248328270401,8,8,True,False
T1,CellFlow,CD8T,native,shared_supported_strata,8,8,2000,0,0.79229353054304275,1.0340514709992104,1.0312749662527763,0.79533997984565552,0.7712513331808154,8,8,True,False
T1,CellFlow,CD8T,native,full_census_strata,8,8,2000,0,0.79229353054304275,1.0340514709992104,1.0312749662527763,0.79533997984565552,0.7712513331808154,8,8,True,False
T1,CellFlow,DC,native,shared_supported_strata,8,8,2000,0,0.82687221372941411,1.0228537714485277,1.0364132702009443,0.79886614445003779,0.79849568118879377,8,8,True,False
T1,CellFlow,DC,native,full_census_strata,8,8,2000,0,0.82687221372941411,1.0228537714485277,1.0364132702009443,0.79886614445003779,0.79849568118879377,8,8,True,False
T1,CellFlow,Mk,native,shared_supported_strata,8,8,2000,0,0.55641217750833849,0.99123235285992151,1.0138904362531989,0.50223637227101614,0.54975459295254347,8,8,True,False
T1,CellFlow,Mk,native,full_census_strata,8,8,2000,0,0.55641217750833849,0.99123235285992151,1.0138904362531989,0.50223637227101614,0.54975459295254347,8,8,True,False
T1,CellFlow,Mono_CD14,native,shared_supported_strata,8,8,2000,0,0.92519284531104096,0.82629719919476052,0.82548659423631998,1.1235596859072472,1.1215148911330632,8,8,True,False
T1,CellFlow,Mono_CD14,native,full_census_strata,8,8,2000,0,0.92519284531104096,0.82629719919476052,0.82548659423631998,1.1235596859072472,1.1215148911330632,8,8,True,False
T1,CellFlow,Mono_FCGR3A,native,shared_supported_strata,8,8,2000,0,0.87808208178838631,1.3567515928765621,1.3305108680235853,0.65163390180713487,0.65959353558632916,8,8,True,False
T1,CellFlow,Mono_FCGR3A,native,full_census_strata,8,8,2000,0,0.87808208178838631,1.3567515928765621,1.3305108680235853,0.65163390180713487,0.65959353558632916,8,8,True,False
T1,CellFlow,NK,native,shared_supported_strata,8,8,2000,0,0.76630328443663087,0.91170557299412125,0.91201028424257768,0.83175846875316095,0.84292885745169455,8,8,True,False
T1,CellFlow,NK,native,full_census_strata,8,8,2000,0,0.76630328443663087,0.91170557299412125,0.91201028424257768,0.83175846875316095,0.84292885745169455,8,8,True,False
T1,CellOT,B,native,shared_supported_strata,8,8,2000,0,0.81242281499358282,1.0094201364817579,1.0156687168749574,0.79552289583978342,0.79929487387673515,8,8,True,False
T1,CellOT,B,native,full_census_strata,8,8,2000,0,0.81242281499358282,1.0094201364817579,1.0156687168749574,0.79552289583978342,0.79929487387673515,8,8,True,False
T1,CellOT,CD4T,native,shared_supported_strata,8,8,2000,0,0.81843849685826542,1.072233687070324,1.0904841218093557,0.76413726423303463,0.75544369235704356,8,8,True,False
T1,CellOT,CD4T,native,full_census_strata,8,8,2000,0,0.81843849685826542,1.072233687070324,1.0904841218093557,0.76413726423303463,0.75544369235704356,8,8,True,False
T1,CellOT,CD8T,native,shared_supported_strata,8,8,2000,0,0.76360432391529387,0.97135721732513491,0.97200229766836821,0.78610415942205902,0.77582986101196583,8,8,True,False
T1,CellOT,CD8T,native,full_census_strata,8,8,2000,0,0.76360432391529387,0.97135721732513491,0.97200229766836821,0.78610415942205902,0.77582986101196583,8,8,True,False
T1,CellOT,DC,native,shared_supported_strata,8,8,2000,0,0.79520353070042571,1.0299984894507623,1.0183164848340496,0.80174854754129377,0.78203334045168993,8,8,True,False
T1,CellOT,DC,native,full_census_strata,8,8,2000,0,0.79520353070042571,1.0299984894507623,1.0183164848340496,0.80174854754129377,0.78203334045168993,8,8,True,False
T1,CellOT,Mk,native,shared_supported_strata,8,8,2000,0,0.55616239512333743,1.1409295558570793,1.1003838656309675,0.45708146869769062,0.51097470076639628,8,8,True,False
T1,CellOT,Mk,native,full_census_strata,8,8,2000,0,0.55616239512333743,1.1409295558570793,1.1003838656309675,0.45708146869769062,0.51097470076639628,8,8,True,False
T1,CellOT,Mono_CD14,native,shared_supported_strata,8,8,2000,0,0.91301391773806673,0.79632203632333587,0.8154037837633773,1.1559324626560323,1.1285099369941389,8,8,True,False
T1,CellOT,Mono_CD14,native,full_census_strata,8,8,2000,0,0.91301391773806673,0.79632203632333587,0.8154037837633773,1.1559324626560323,1.1285099369941389,8,8,True,False
T1,CellOT,Mono_FCGR3A,native,shared_supported_strata,8,8,2000,0,0.89607994844511851,1.3162109691427841,1.3088564439311727,0.68309897977509404,0.6871419993755894,8,8,True,False
T1,CellOT,Mono_FCGR3A,native,full_census_strata,8,8,2000,0,0.89607994844511851,1.3162109691427841,1.3088564439311727,0.68309897977509404,0.6871419993755894,8,8,True,False
T1,CellOT,NK,native,shared_supported_strata,8,8,2000,0,0.73710093057096859,0.93914123897566459,0.96410771612233392,0.78101451349819673,0.76485121140901247,8,8,True,False
T1,CellOT,NK,native,full_census_strata,8,8,2000,0,0.73710093057096859,0.93914123897566459,0.96410771612233392,0.78101451349819673,0.76485121140901247,8,8,True,False
T1,PerturbNet,B,native,shared_supported_strata,8,8,2000,0,0.78912628619366276,0.97351427233284549,0.9726113412760431,0.80439929059901538,0.81089594892628047,8,8,True,False
T1,PerturbNet,B,native,full_census_strata,8,8,2000,0,0.78912628619366276,0.97351427233284549,0.9726113412760431,0.80439929059901538,0.81089594892628047,8,8,True,False
T1,PerturbNet,CD4T,native,shared_supported_strata,8,8,2000,0,0.78837717878060853,1.0800565414618193,1.0823211163757229,0.7158094025909949,0.73083873784671671,8,8,True,False
T1,PerturbNet,CD4T,native,full_census_strata,8,8,2000,0,0.78837717878060853,1.0800565414618193,1.0823211163757229,0.7158094025909949,0.73083873784671671,8,8,True,False
T1,PerturbNet,CD8T,native,shared_supported_strata,8,8,2000,0,0.77525906120568133,0.97162434049036828,0.96901543913963528,0.81624695162945837,0.80026743039233572,8,8,True,False
T1,PerturbNet,CD8T,native,full_census_strata,8,8,2000,0,0.77525906120568133,0.97162434049036828,0.96901543913963528,0.81624695162945837,0.80026743039233572,8,8,True,False
T1,PerturbNet,DC,native,shared_supported_strata,8,8,2000,0,0.82151889770842401,0.92904386336898126,0.94135975497667379,0.87121358981892028,0.87267136785447197,8,8,True,False
T1,PerturbNet,DC,native,full_census_strata,8,8,2000,0,0.82151889770842401,0.92904386336898126,0.94135975497667379,0.87121358981892028,0.87267136785447197,8,8,True,False
T1,PerturbNet,Mk,native,shared_supported_strata,8,8,2000,0,0.552909447035554,0.94673142557754253,0.96837227395657544,0.52360093279695508,0.57231213546303483,8,8,True,False
T1,PerturbNet,Mk,native,full_census_strata,8,8,2000,0,0.552909447035554,0.94673142557754253,0.96837227395657544,0.52360093279695508,0.57231213546303483,8,8,True,False
T1,PerturbNet,Mono_CD14,native,shared_supported_strata,8,8,2000,0,0.9398165017772675,0.80180002455336297,0.8010134514988827,1.1766528251333548,1.1743104853800133,8,8,True,False
T1,PerturbNet,Mono_CD14,native,full_census_strata,8,8,2000,0,0.9398165017772675,0.80180002455336297,0.8010134514988827,1.1766528251333548,1.1743104853800133,8,8,True,False
T1,PerturbNet,Mono_FCGR3A,native,shared_supported_strata,8,8,2000,0,0.88045187654368018,1.0598142192498801,1.0393165334155094,0.83343301774922973,0.84373901158213127,8,8,True,False
T1,PerturbNet,Mono_FCGR3A,native,full_census_strata,8,8,2000,0,0.88045187654368018,1.0598142192498801,1.0393165334155094,0.83343301774922973,0.84373901158213127,8,8,True,False
T1,PerturbNet,NK,native,shared_supported_strata,8,8,2000,0,0.74722047499038369,0.89734796891303459,0.89764788130134343,0.8156151629349,0.82927400749566049,8,8,True,False
T1,PerturbNet,NK,native,full_census_strata,8,8,2000,0,0.74722047499038369,0.89734796891303459,0.89764788130134343,0.8156151629349,0.82927400749566049,8,8,True,False
T1,STATE,B,native,shared_supported_strata,8,8,2000,0,0.58917587792872461,1.1519336109508389,1.1468613489666866,0.52029857763725618,0.51706821860278573,8,8,True,False
T1,STATE,B,native,full_census_strata,8,8,2000,0,0.58917587792872461,1.1519336109508389,1.1468613489666866,0.52029857763725618,0.51706821860278573,8,8,True,False
T1,STATE,CD4T,native,shared_supported_strata,8,8,2000,0,0.62525435049042266,1.1472665861715534,1.1443379676314254,0.52077564786185992,0.55028767096824516,8,8,True,False
T1,STATE,CD4T,native,full_census_strata,8,8,2000,0,0.62525435049042266,1.1472665861715534,1.1443379676314254,0.52077564786185992,0.55028767096824516,8,8,True,False
T1,STATE,CD8T,native,shared_supported_strata,8,8,2000,0,0.67903132927375087,1.0652004255824852,1.0869903718432399,0.62579135000680974,0.62677357037257075,8,8,True,False
T1,STATE,CD8T,native,full_census_strata,8,8,2000,0,0.67903132927375087,1.0652004255824852,1.0869903718432399,0.62579135000680974,0.62677357037257075,8,8,True,False
T1,STATE,DC,native,shared_supported_strata,8,8,2000,0,0.70307898048759543,1.1761544452731747,1.2115422025334976,0.58508154670358459,0.5766765063843734,8,8,True,False
T1,STATE,DC,native,full_census_strata,8,8,2000,0,0.70307898048759543,1.1761544452731747,1.2115422025334976,0.58508154670358459,0.5766765063843734,8,8,True,False
T1,STATE,Mk,native,shared_supported_strata,8,8,2000,0,0.41141391337357203,1.069300407737543,1.1020289974902351,0.33066396292737182,0.38667163150921857,8,8,True,False
T1,STATE,Mk,native,full_census_strata,8,8,2000,0,0.41141391337357203,1.069300407737543,1.1020289974902351,0.33066396292737182,0.38667163150921857,8,8,True,False
T1,STATE,Mono_CD14,native,shared_supported_strata,8,8,2000,0,0.75628839544425741,0.81909360918849128,0.80414709498638215,0.92487928687046272,0.94135637096854197,8,8,True,False
T1,STATE,Mono_CD14,native,full_census_strata,8,8,2000,0,0.75628839544425741,0.81909360918849128,0.80414709498638215,0.92487928687046272,0.94135637096854197,8,8,True,False
T1,STATE,Mono_FCGR3A,native,shared_supported_strata,8,8,2000,0,0.79054217023850493,0.96308590685294337,0.9453905462485821,0.81337880496241555,0.82895338466890112,8,8,True,False
