task,model,unit,status,snapshot_path,sha256,canonical_model,n_strata,n_genes,n_excluded_genes,max_observed_difference,max_control_difference,target_and_control_used,n_explicit_declined,declined_strata,aligned
T1,CellOT,B,native,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_B.npz,9d1ae51548082144538ac0466d4f0114526f48f5014de9ba31c7c54e48350536,cell-mean,8,2000,0,4.76837158203125e-07,4.76837158203125e-07,canonical_cell_mean_bundle,0,,True
T1,cell-mean,B,floor,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,1dd89d9d86fc9efdba7b41eb02315098c8480f5e8bbc52eed751e22f340a0283,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,linear-PCA,B,floor,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_B.npz,7e058847a0837472a5589d0db88767323900ecbdcf98c081aed8832b353c6d7e,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scFoundation,B,adapted,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_B.npz,7fed5a27c5ce167b5c6c8d28f4b0082366b23609cd35726d19443dab5e5a1247,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGPT,B,adapted,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_B.npz,f693370971742823f7f3beb509c56b240a975613dc904c60dcd04bb3a960db71,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGen,B,native,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_B.npz,7c5b5ac284cb12a1e29fb5f69179452881dd044543f13d3d75e073acaf114607,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CellFlow,B,native,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_B.npz,213f8196637cf14010b0793c2df54d1c7510bd55544881abaa544c951a7f64f7,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CPA,B,native,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_B.npz,3fe08ddb60c0b6572719462bf78084f1756cceab6ab574c225e15f67509af65a,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,PerturbNet,B,native,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_B.npz,ea47f0ef8f362bab8a0905742f7a533a63a4cf5602a6da6163c275762c429c4d,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,STATE,B,native,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_B.npz,8913c10f18a7ed773657014f14b9f71b2ca1d3fda2e4cb574f391182134dd342,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,scPRAM,B,native,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_B.npz,0f2c0b8482c40f132a53961602edb2ce9498a71c220ef741f41bdfa346154cd0,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,CellOT,CD4T,native,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_CD4T.npz,bbd425c5b15f41b59093c9310f19a2295f4697a2341d1839d59be6af676a2114,cell-mean,8,2000,0,4.76837158203125e-07,4.76837158203125e-07,canonical_cell_mean_bundle,0,,True
T1,cell-mean,CD4T,floor,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,e6302e5ba090e14502e8891aaf6d141d593d5df36df10b17d0e844aea2fd70ac,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,linear-PCA,CD4T,floor,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_CD4T.npz,58db321dbdceca9388b9ffdfeac9300e857d72cd027e899fe3f993b097244574,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scFoundation,CD4T,adapted,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_CD4T.npz,5d7d0969ec6d52fd6ae9cfde447c4d8eee863b1906e2d12c01f2fc9937016d77,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGPT,CD4T,adapted,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_CD4T.npz,ee11b35f004b888f47ba28082ad3b178c257a793e0b7bcb1082aa22bca07d11f,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGen,CD4T,native,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_CD4T.npz,30d7e9d195912e49c093fb47586e0504898d7e1f73fdec75bdf62a90daf80d87,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CellFlow,CD4T,native,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_CD4T.npz,47ff1aa19744161af1b3acb2999875f37126d5f6ed6e651e07de0cce51f3feae,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CPA,CD4T,native,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_CD4T.npz,0aa05f88f604c837be8eb11471d461f67dcfe1960fe3c67d4500453654fecc0e,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,PerturbNet,CD4T,native,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_CD4T.npz,4734a173c0e8b948aab169e6994119224949ccedd573a30c14b2b5800fc42c64,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,STATE,CD4T,native,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_CD4T.npz,9e0f2e9597428eab3e85828f36f0af9dcde537782bddba623d81561a6cd72aa2,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,scPRAM,CD4T,native,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_CD4T.npz,39efa32ff27012c8c0c2496e615daa469d452d1b8b5ad3c1a0872d7262c42e12,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,CellOT,CD8T,native,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_CD8T.npz,e7bcf9e325345a1cf446648a02b04b7c59b57392ad69ca2ed7df1dca4402aa71,cell-mean,8,2000,0,9.5367431640625e-07,2.384185791015625e-07,canonical_cell_mean_bundle,0,,True
T1,cell-mean,CD8T,floor,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,cd213a34f099dfc53a5b6581f16e0e206be49f113b409955c8364accb75d6a76,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,linear-PCA,CD8T,floor,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_CD8T.npz,50d9555c945a73cf5cafff05983d7a72a0067c5dee60577b7c8fc485a1cda63a,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scFoundation,CD8T,adapted,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_CD8T.npz,56fc19baf6deed1c90a580d47a089253b540f4d81ecc3dd2fd1e8e08dc1e2fe5,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGPT,CD8T,adapted,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_CD8T.npz,67c36529428bc861a3c20850259ad2c234c34e2c1b0170c9d65257cd00ac57dc,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGen,CD8T,native,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_CD8T.npz,b63fbc81f885a44ccde3d6a7efbd5871dcfbbe70d435e53cd291f9cab8c241ad,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CellFlow,CD8T,native,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_CD8T.npz,67435fe0b313a3aaa9157b7d529ffe3e2c009a2f91f53f42e629bf00a84d0af2,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CPA,CD8T,native,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_CD8T.npz,3f21af7442203dc7ef2a14de3bb1c5d77fc9e089026c796d71d3845ff6f740e8,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,PerturbNet,CD8T,native,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_CD8T.npz,d36e86b5b6b4e34e36f92ad347fe1378761ea95fe1fb0ce35f7f029267fefbcc,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,STATE,CD8T,native,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_CD8T.npz,848f2f7e02e69db1e26ddd69caff683e1f94cd59b9a6a51d76976f86fd3d0653,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,scPRAM,CD8T,native,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_CD8T.npz,809905203f7480d41b59a16a1efac5d38af682243fc91b2e6f9c7f17f63ba736,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,CellOT,DC,native,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_DC.npz,85b3c62c685fd58cb5aae26f7e038fc85e634db6361258085916bc7a19180200,cell-mean,8,2000,0,4.76837158203125e-07,4.76837158203125e-07,canonical_cell_mean_bundle,0,,True
T1,cell-mean,DC,floor,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,1595febc91f74d9ac43d67e690261308d6e1caf68c8ec4c2d74a9c7bfc975321,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,linear-PCA,DC,floor,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_DC.npz,9dc4440f9f29c76ac15e5be42220eab9f54e6aec35e7a606b8b00e687ea6756a,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scFoundation,DC,adapted,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_DC.npz,90198391d62de01a0af5aca7b69f707a4bbb5ce7f79d6b6ab55ddd06bee0d8c3,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGPT,DC,adapted,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_DC.npz,487b5cad8f44e03a6db2268d851774e3f1730baf9dfe2cd8774136426b5dd6e2,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGen,DC,native,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_DC.npz,4a9dcb9fdd95bc50d6f65466f1fefcf5b578ada863039e4e7d258f5c9c31b5c0,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CellFlow,DC,native,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_DC.npz,f080e4af382cab2b9711bfb0ffecfa3de9ae85a03012ab0396e0e7a9741156db,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CPA,DC,native,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_DC.npz,2e63fb1ff29b696c48e1e0bd8e57129134a43df878ca8e7a83a586b339a8baff,cell-mean,8,2000,0,9.5367431640625e-07,0.0,canonical_cell_mean_bundle,0,,True
T1,PerturbNet,DC,native,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_DC.npz,4199d879af9e8715553baaa3e43ac4778d0b28b6e4015a20cc06622a5d73e0c3,cell-mean,8,2000,0,9.5367431640625e-07,0.0,canonical_cell_mean_bundle,0,,True
T1,STATE,DC,native,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_DC.npz,4bb9cf9cec177a687a86c254d368aa5b6aa3c25169b7e025b5b9d4f9b7245aa5,cell-mean,8,2000,0,9.5367431640625e-07,0.0,canonical_cell_mean_bundle,0,,True
