task,unit,n_models,full_n_strata,shared_n_strata,excluded_strata,exclusion_models,full_strata,shared_strata
T1,B,11,8,8,,{},donor_id=1256;donor_id=1488;donor_id=1015;donor_id=101;donor_id=1039;donor_id=1244;donor_id=1016;donor_id=107,donor_id=1256;donor_id=1488;donor_id=1015;donor_id=101;donor_id=1039;donor_id=1244;donor_id=1016;donor_id=107
T1,CD4T,11,8,8,,{},donor_id=1256;donor_id=101;donor_id=1039;donor_id=1016;donor_id=1015;donor_id=1244;donor_id=107;donor_id=1488,donor_id=1256;donor_id=101;donor_id=1039;donor_id=1016;donor_id=1015;donor_id=1244;donor_id=107;donor_id=1488
T1,CD8T,11,8,8,,{},donor_id=101;donor_id=1015;donor_id=1256;donor_id=1244;donor_id=1039;donor_id=1016;donor_id=1488;donor_id=107,donor_id=101;donor_id=1015;donor_id=1256;donor_id=1244;donor_id=1039;donor_id=1016;donor_id=1488;donor_id=107
T1,DC,11,8,8,,{},donor_id=1488;donor_id=101;donor_id=1039;donor_id=1256;donor_id=107;donor_id=1015;donor_id=1244;donor_id=1016,donor_id=1488;donor_id=101;donor_id=1039;donor_id=1256;donor_id=107;donor_id=1015;donor_id=1244;donor_id=1016
T1,Mk,11,8,8,,{},donor_id=1016;donor_id=1488;donor_id=1015;donor_id=107;donor_id=1039;donor_id=1256;donor_id=1244;donor_id=101,donor_id=1016;donor_id=1488;donor_id=1015;donor_id=107;donor_id=1039;donor_id=1256;donor_id=1244;donor_id=101
T1,Mono_CD14,11,8,8,,{},donor_id=101;donor_id=1244;donor_id=1488;donor_id=1015;donor_id=1256;donor_id=107;donor_id=1016;donor_id=1039,donor_id=101;donor_id=1244;donor_id=1488;donor_id=1015;donor_id=1256;donor_id=107;donor_id=1016;donor_id=1039
T1,Mono_FCGR3A,11,8,8,,{},donor_id=1488;donor_id=101;donor_id=107;donor_id=1256;donor_id=1016;donor_id=1015;donor_id=1039;donor_id=1244,donor_id=1488;donor_id=101;donor_id=107;donor_id=1256;donor_id=1016;donor_id=1015;donor_id=1039;donor_id=1244
T1,NK,11,8,8,,{},donor_id=101;donor_id=1488;donor_id=107;donor_id=1244;donor_id=1256;donor_id=1015;donor_id=1016;donor_id=1039,donor_id=101;donor_id=1488;donor_id=107;donor_id=1244;donor_id=1256;donor_id=1015;donor_id=1016;donor_id=1039
T3,chen,12,30,27,perturbation=CYLD;perturbation=FHIP1A;perturbation=PTEN,"{""CellFlow"": [""perturbation=FHIP1A""], ""PerturbNet"": [""perturbation=FHIP1A""], ""STATE"": [""perturbation=FHIP1A""], ""linear-shift-KOemb"": [""perturbation=FHIP1A""], ""scFoundation"": [""perturbation=CYLD"", ""perturbation=FHIP1A"", ""perturbation=PTEN""]}",perturbation=BPTF;perturbation=NOSIP;perturbation=SRPRB;perturbation=U2AF1;perturbation=CYLD;perturbation=FOXRED2;perturbation=SMARCA4;perturbation=PLRG1;perturbation=SIK3;perturbation=KIDINS220;perturbation=NMNAT1;perturbation=MED28;perturbation=TET2;perturbation=NCOR2;perturbation=ALKBH5;perturbation=ANKRD17;perturbation=PCLAF;perturbation=SMARCB1;perturbation=SMARCD2;perturbation=RPL8;perturbation=PLAGL2;perturbation=EMC4;perturbation=TRAPPC2;perturbation=ALG1;perturbation=PTEN;perturbation=ABCA13;perturbation=FHIP1A;perturbation=PDRG1;perturbation=MED6;perturbation=TARDBP,perturbation=BPTF;perturbation=NOSIP;perturbation=SRPRB;perturbation=U2AF1;perturbation=FOXRED2;perturbation=SMARCA4;perturbation=PLRG1;perturbation=SIK3;perturbation=KIDINS220;perturbation=NMNAT1;perturbation=MED28;perturbation=TET2;perturbation=NCOR2;perturbation=ALKBH5;perturbation=ANKRD17;perturbation=PCLAF;perturbation=SMARCB1;perturbation=SMARCD2;perturbation=RPL8;perturbation=PLAGL2;perturbation=EMC4;perturbation=TRAPPC2;perturbation=ALG1;perturbation=ABCA13;perturbation=PDRG1;perturbation=MED6;perturbation=TARDBP
T3,mccutcheon_CRISPRa,12,2,2,,{},perturbation=MYB;perturbation=NR4A1,perturbation=MYB;perturbation=NR4A1
