model,program,n_estimable_lineages,n_lineages,program_corr,pearson_delta
Biolord,effector_lymphocyte,2,4,,0.0787050244158383
Biolord,inflammatory_NFkB,2,4,,0.0787050244158383
Biolord,type_I_IFN,4,4,0.5179332102014924,0.0787050244158383
CellFlow,effector_lymphocyte,1,4,,0.10382046123706745
CellFlow,inflammatory_NFkB,0,4,,0.10382046123706745
CellFlow,type_I_IFN,4,4,0.65059172398949,0.10382046123706745
CellOT,effector_lymphocyte,0,4,,0.10148818994753453
CellOT,inflammatory_NFkB,0,4,,0.10148818994753453
CellOT,type_I_IFN,0,4,,0.10148818994753453
FP-ridge,effector_lymphocyte,1,4,,0.38744925741192343
FP-ridge,inflammatory_NFkB,2,4,,0.38744925741192343
FP-ridge,type_I_IFN,4,4,0.8099282882169518,0.38744925741192343
PRnet,effector_lymphocyte,1,4,,0.09443091810221135
PRnet,inflammatory_NFkB,0,4,,0.09443091810221135
PRnet,type_I_IFN,4,4,0.5105945729792138,0.09443091810221135
cell-mean,effector_lymphocyte,0,4,,0.02497881814314807
cell-mean,inflammatory_NFkB,0,4,,0.02497881814314807
cell-mean,type_I_IFN,0,4,,0.02497881814314807
linear-PCA,effector_lymphocyte,0,4,,0.2694297537764211
linear-PCA,inflammatory_NFkB,0,4,,0.2694297537764211
linear-PCA,type_I_IFN,0,4,,0.2694297537764211
scFoundation,effector_lymphocyte,0,4,,0.05515136195067505
scFoundation,inflammatory_NFkB,0,4,,0.05515136195067505
scFoundation,type_I_IFN,0,4,,0.05515136195067505
scGPT,effector_lymphocyte,0,4,,0.0247077677437753
scGPT,inflammatory_NFkB,0,4,,0.0247077677437753
scGPT,type_I_IFN,0,4,,0.0247077677437753
scPRAM,effector_lymphocyte,1,4,,-0.008695446715084348
scPRAM,inflammatory_NFkB,0,4,,-0.008695446715084348
scPRAM,type_I_IFN,3,4,,-0.008695446715084348
