task_key,unit,model,program,stratum,n_cells,predicted_program_score,observed_program_score,observed_per_cell_score_mean,control_program_score
T3,chen,AttentionPert,TCR_activation,perturbation=BPTF,894,0.04555555555555556,0.058888888888888886,0.0647427293064877,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=NOSIP,1578,0.04666666666666667,0.056666666666666664,0.06400929446556823,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=SRPRB,1097,0.04888888888888889,0.05,0.054779702218170766,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=U2AF1,652,0.044444444444444446,0.05444444444444444,0.05991308793456033,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=CYLD,1233,0.04777777777777778,0.06,0.06431287735423989,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=FOXRED2,1343,0.04555555555555556,0.05333333333333334,0.06409779101514024,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=SMARCA4,1240,0.044444444444444446,0.05555555555555555,0.06349283154121864,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=PLRG1,1051,0.04555555555555556,0.06,0.06312189449201817,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=SIK3,1548,0.05333333333333334,0.06111111111111111,0.06906904966982486,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=KIDINS220,1107,0.04666666666666667,0.05333333333333334,0.06893907457593093,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=NMNAT1,1163,0.04666666666666667,0.052222222222222225,0.06131842934938378,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=MED28,986,0.051111111111111114,0.044444444444444446,0.05624070317782285,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=TET2,1161,0.04555555555555556,0.05444444444444444,0.06419944492295913,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=NCOR2,1285,0.04555555555555556,0.06222222222222222,0.0642697795071336,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=ALKBH5,1028,0.04777777777777778,0.057777777777777775,0.06393212278426287,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=ANKRD17,1294,0.05,0.05333333333333334,0.06577537351880475,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=PCLAF,1380,0.04888888888888889,0.056666666666666664,0.06434541062801932,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=SMARCB1,1960,0.044444444444444446,0.051111111111111114,0.05850170068027211,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=SMARCD2,1268,0.044444444444444446,0.05,0.06019978969505784,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=RPL8,571,0.04777777777777778,0.051111111111111114,0.064386067328274,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=PLAGL2,1128,0.04888888888888889,0.052222222222222225,0.060648148148148145,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=EMC4,883,0.044444444444444446,0.04777777777777778,0.05738895180571285,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=TRAPPC2,1333,0.04555555555555556,0.05333333333333334,0.061485371342835715,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=ALG1,1461,0.05333333333333334,0.052222222222222225,0.06215301543843638,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=PTEN,986,0.04555555555555556,0.04666666666666667,0.05717151228307415,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=ABCA13,1106,0.04888888888888889,0.05333333333333334,0.06130500301386378,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=FHIP1A,1032,0.05444444444444444,0.05333333333333334,0.06333979328165375,0.05444444444444444
