n_train_donors,eval_donor,cellot_score,primary_baseline,baseline_score,n_train_cells,n_test,n_ctrl,n_response_genes,source_file,scgpt_score,source_file_scgpt,cellot_margin,scgpt_margin
8,D353,0.4732,cell-mean,0.2556,9600,583,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2578,results/newdata/scgpt_donor_curve_shard0.csv,0.21760000000000002,0.0021999999999999797
8,D364,0.3828,cell-mean,0.2399,9600,484,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2486,results/newdata/scgpt_donor_curve_shard1.csv,0.14289999999999997,0.008699999999999986
8,D397,0.4325,cell-mean,0.2133,9600,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2501,results/newdata/scgpt_donor_curve_shard2.csv,0.2192,0.0368
8,D411,0.3069,cell-mean,0.1326,9600,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.1408,results/newdata/scgpt_donor_curve_shard0.csv,0.1743,0.008200000000000013
8,D424,0.3228,donor-shift,-0.0742,9600,300,600,50,results/newdata/cellot_donor_learning_curve.csv,-0.0326,results/newdata/scgpt_donor_curve_shard1.csv,0.39699999999999996,0.041600000000000005
8,D429,0.4569,cell-mean,0.1946,9600,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.1631,results/newdata/scgpt_donor_curve_shard2.csv,0.2623,-0.0315
8,D431,0.4318,cell-mean,0.3291,9600,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2978,results/newdata/scgpt_donor_curve_shard0.csv,0.10270000000000001,-0.031299999999999994
8,D454,0.3897,cell-mean,0.5766,9600,300,300,50,results/newdata/cellot_donor_learning_curve.csv,0.5479,results/newdata/scgpt_donor_curve_shard1.csv,-0.1869,-0.028699999999999948
8,D483,0.4924,cell-mean,0.2478,9600,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.25,results/newdata/scgpt_donor_curve_shard2.csv,0.2446,0.0022000000000000075
8,D484,0.5649,cell-mean,0.19,9600,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2074,results/newdata/scgpt_donor_curve_shard0.csv,0.37489999999999996,0.0174
16,D353,0.4277,cell-mean,0.246,17938,583,600,60,results/newdata/cellot_donor_learning_curve.csv,0.2606,results/newdata/scgpt_donor_curve_shard0.csv,0.18170000000000003,0.014600000000000002
16,D364,0.3563,cell-mean,0.2945,17938,484,600,60,results/newdata/cellot_donor_learning_curve.csv,0.2731,results/newdata/scgpt_donor_curve_shard1.csv,0.06180000000000002,-0.021399999999999975
16,D397,0.385,cell-mean,0.3157,17938,600,600,60,results/newdata/cellot_donor_learning_curve.csv,0.2985,results/newdata/scgpt_donor_curve_shard2.csv,0.06930000000000003,-0.017199999999999993
16,D411,0.3364,cell-mean,0.2276,17938,600,600,60,results/newdata/cellot_donor_learning_curve.csv,0.1644,results/newdata/scgpt_donor_curve_shard0.csv,0.10879999999999998,-0.0632
16,D424,0.3112,donor-shift,0.2665,17938,300,600,60,results/newdata/cellot_donor_learning_curve.csv,-0.0347,results/newdata/scgpt_donor_curve_shard1.csv,0.04469999999999996,-0.3012
16,D429,0.329,cell-mean,0.1292,17938,600,600,60,results/newdata/cellot_donor_learning_curve.csv,0.1536,results/newdata/scgpt_donor_curve_shard2.csv,0.1998,0.024399999999999977
16,D431,0.3457,cell-mean,0.232,17938,600,600,60,results/newdata/cellot_donor_learning_curve.csv,0.2601,results/newdata/scgpt_donor_curve_shard0.csv,0.1137,0.028099999999999986
16,D454,0.3796,cell-mean,0.5647,17938,300,300,60,results/newdata/cellot_donor_learning_curve.csv,0.58,results/newdata/scgpt_donor_curve_shard1.csv,-0.1851,0.01529999999999998
16,D483,0.3933,cell-mean,0.3053,17938,600,600,60,results/newdata/cellot_donor_learning_curve.csv,0.3083,results/newdata/scgpt_donor_curve_shard2.csv,0.08799999999999997,0.0030000000000000027
16,D484,0.446,cell-mean,0.2668,17938,600,600,60,results/newdata/cellot_donor_learning_curve.csv,0.2592,results/newdata/scgpt_donor_curve_shard0.csv,0.17920000000000003,-0.007599999999999996
32,D353,0.4933,cell-mean,0.2374,37362,583,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2399,results/newdata/scgpt_donor_curve_shard0.csv,0.2559,0.0025000000000000022
32,D364,0.3614,cell-mean,0.283,37362,484,600,50,results/newdata/cellot_donor_learning_curve.csv,0.275,results/newdata/scgpt_donor_curve_shard1.csv,0.07840000000000003,-0.007999999999999952
32,D397,0.4503,cell-mean,0.2588,37362,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2599,results/newdata/scgpt_donor_curve_shard2.csv,0.1915,0.0011000000000000454
32,D411,0.3687,cell-mean,0.1841,37362,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.1802,results/newdata/scgpt_donor_curve_shard0.csv,0.18460000000000001,-0.0039000000000000146
32,D424,0.374,donor-shift,0.1419,37362,300,600,50,results/newdata/cellot_donor_learning_curve.csv,0.0761,results/newdata/scgpt_donor_curve_shard1.csv,0.2321,-0.0658
32,D429,0.4491,cell-mean,0.1509,37362,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.1539,results/newdata/scgpt_donor_curve_shard2.csv,0.2982,0.0030000000000000027
32,D431,0.3619,cell-mean,0.2513,37362,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2561,results/newdata/scgpt_donor_curve_shard0.csv,0.11059999999999998,0.004799999999999971
32,D454,0.3106,cell-mean,0.5306,37362,300,300,50,results/newdata/cellot_donor_learning_curve.csv,0.5217,results/newdata/scgpt_donor_curve_shard1.csv,-0.21999999999999997,-0.008899999999999908
32,D483,0.4775,cell-mean,0.2623,37362,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2591,results/newdata/scgpt_donor_curve_shard2.csv,0.2152,-0.0031999999999999806
32,D484,0.5332,cell-mean,0.2006,37362,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2124,results/newdata/scgpt_donor_curve_shard0.csv,0.3326,0.011800000000000005
64,D353,0.5076,cell-mean,0.2467,73368,583,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2483,results/newdata/scgpt_donor_curve_shard0.csv,0.2609,0.0015999999999999903
64,D364,0.406,cell-mean,0.2679,73368,484,600,50,results/newdata/cellot_donor_learning_curve.csv,0.27,results/newdata/scgpt_donor_curve_shard1.csv,0.1381,0.0020999999999999908
64,D397,0.4356,cell-mean,0.2693,73368,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2512,results/newdata/scgpt_donor_curve_shard2.csv,0.1663,-0.018100000000000005
64,D411,0.3427,cell-mean,0.1511,73368,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.1487,results/newdata/scgpt_donor_curve_shard0.csv,0.1916,-0.0024000000000000132
64,D424,0.3441,donor-shift,0.227,73368,300,600,50,results/newdata/cellot_donor_learning_curve.csv,-0.0196,results/newdata/scgpt_donor_curve_shard1.csv,0.11710000000000001,-0.2466
64,D429,0.3608,cell-mean,0.1626,73368,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.1667,results/newdata/scgpt_donor_curve_shard2.csv,0.19820000000000002,0.0040999999999999925
64,D431,0.341,cell-mean,0.2463,73368,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2495,results/newdata/scgpt_donor_curve_shard0.csv,0.09470000000000003,0.0032000000000000084
