model,execution_model,n_compounds,slope_per_distance_sd,ci90_lo,ci90_hi,slope_p,tost_p,r_squared,equivalence_bound,inference
Biolord,Biolord,28,-0.0020615163812568874,-0.03496981634152142,0.03084678357900765,0.9157303982807075,0.009865696851747013,0.0004388965691841868,0.05,exploratory; unadjusted; observed distance range only
CPA,chemCPA,28,0.004992191684848648,-0.014893811834273856,0.02487819520397115,0.6720469044740345,0.0003361441495791698,0.007002062455616285,0.05,exploratory; unadjusted; observed distance range only
CellFlow,CellFlow,28,-0.00132193378245091,-0.02855556541918138,0.025911697854279558,0.9346514229377711,0.0026139711827012804,0.00026356270629654144,0.05,exploratory; unadjusted; observed distance range only
FP-ridge,FP-ridge,28,-0.005477772144833133,-0.030778434363052234,0.019822890073385967,0.7149107611225534,0.002932599847601918,0.005217499770329486,0.05,exploratory; unadjusted; observed distance range only
PRnet,PRnet,28,-0.006374069544245357,-0.03396636050534724,0.021218221416856524,0.6967843271859256,0.006061328620922309,0.005935574460462975,0.05,exploratory; unadjusted; observed distance range only
PerturbNet,PerturbNet,28,-0.018536900750510375,-0.05430873430023568,0.01723493279921493,0.3848783659511089,0.07280776002588989,0.02916926696815822,0.05,exploratory; unadjusted; observed distance range only
STATE,STATE,28,-0.009019705253042458,-0.028819481486155003,0.010780070980070087,0.444178547021838,0.0007854548220720106,0.022692661746545866,0.05,exploratory; unadjusted; observed distance range only
cell-mean,cell-mean,28,-0.005879079514514316,-0.03572354629046848,0.023965387261439847,0.7395743323818001,0.00907498920973993,0.004323142844337206,0.05,exploratory; unadjusted; observed distance range only
linear-PCA,linear-PCA,28,-0.00827528767240261,-0.04171288623502521,0.025162310890219988,0.6764119178972037,0.02147536602025616,0.00680644105554675,0.05,exploratory; unadjusted; observed distance range only
scFoundation,scFoundation,28,-0.011329919428147891,-0.036955914691459,0.01429607583516322,0.45756611587505935,0.008054660843437582,0.021403556589062116,0.05,exploratory; unadjusted; observed distance range only
scGPT,scGPT,28,-0.0022274885155290653,-0.02745072467926013,0.022995747648202003,0.8814342212149499,0.0016703584616859447,0.0008718478148379362,0.05,exploratory; unadjusted; observed distance range only
