task_key,task_id,task,cluster,split,unit,model,status,binding_floor,n_units,model_score,binding_floor_score,margin,margin_min,margin_max,units_below_floor,units_above_floor,inference,ci_lo,ci_hi,mde_80,verdict,n_units_target,n_strata,n_estimable_strata,n_partitions,independent_control_r,shared_control_r,minimum_treated_cells,minimum_control_cells,shared_minus_independent_control,independent_control_r_partition_lo,independent_control_r_partition_hi,shared_control_r_partition_lo,shared_control_r_partition_hi,precision_class,power_statement,attenuation_statement
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,Biolord,native,linear-PCA,8,0.5881305853521962,0.7803340183986434,-0.1922034330464471,-0.3839551111277621,-0.0567432927568904,8/8,0/8,bootstrap 95% CI,-0.2711791475893986,-0.120460363283673,0.1077192033969868,negative margin CI (unadjusted),8,64,63,100,0.7282641145764808,0.7514310735514259,4,95,0.02316695897494514,0.7228515586840903,0.7332976347943746,0.7461309430712783,0.7565366767483089,negative conditional interval,"Conditional 95% margin interval [-0.271179, -0.120460]; normal-approximation 80%-power margin scale 0.107719, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.728264 with disjoint controls versus 0.751431 with shared controls; 63/64 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,CellFlow,native,linear-PCA,8,0.798473897664409,0.7803340183986434,0.0181398792657656,-0.0459938339644869,0.1061554286467258,4/8,4/8,bootstrap 95% CI,-0.011111182524546,0.0508012478138842,0.0442490145282693,inconclusive (interval spans zero),8,64,63,100,0.7282641145764808,0.7514310735514259,4,95,0.02316695897494514,0.7228515586840903,0.7332976347943746,0.7461309430712783,0.7565366767483089,unresolved difference,"Conditional 95% margin interval [-0.011111, 0.050801]; normal-approximation 80%-power margin scale 0.044249, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.728264 with disjoint controls versus 0.751431 with shared controls; 63/64 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,CellOT,native,linear-PCA,8,0.7865032952386336,0.7803340183986434,0.0061692768399902,-0.0462436150393041,0.0939765016042155,4/8,4/8,bootstrap 95% CI,-0.0237573877745051,0.0382229395721452,0.0442975407399966,inconclusive (interval spans zero),8,64,63,100,0.7282641145764808,0.7514310735514259,4,95,0.02316695897494514,0.7228515586840903,0.7332976347943746,0.7461309430712783,0.7565366767483089,unresolved difference,"Conditional 95% margin interval [-0.023757, 0.038223]; normal-approximation 80%-power margin scale 0.044298, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.728264 with disjoint controls versus 0.751431 with shared controls; 63/64 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,STATE,native,linear-PCA,8,0.7081211484055274,0.7803340183986434,-0.0722128699931158,-0.1500914717052767,-0.006558647739942,8/8,0/8,bootstrap 95% CI,-0.1021327940108653,-0.0444941308198786,0.0411945393031175,negative margin CI (unadjusted),8,64,63,100,0.7282641145764808,0.7514310735514259,4,95,0.02316695897494514,0.7228515586840903,0.7332976347943746,0.7461309430712783,0.7565366767483089,negative conditional interval,"Conditional 95% margin interval [-0.102133, -0.044494]; normal-approximation 80%-power margin scale 0.041195, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.728264 with disjoint controls versus 0.751431 with shared controls; 63/64 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scFoundation,adapted,linear-PCA,8,0.6773348390507976,0.7803340183986434,-0.1029991793478457,-0.1874147584835076,-0.038783191915013,8/8,0/8,bootstrap 95% CI,-0.1343767346890943,-0.0734949465446428,0.043512411213466,negative margin CI (unadjusted),8,64,63,100,0.7282641145764808,0.7514310735514259,4,95,0.02316695897494514,0.7228515586840903,0.7332976347943746,0.7461309430712783,0.7565366767483089,negative conditional interval,"Conditional 95% margin interval [-0.134377, -0.073495]; normal-approximation 80%-power margin scale 0.043512, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.728264 with disjoint controls versus 0.751431 with shared controls; 63/64 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scGPT,adapted,linear-PCA,8,0.5854766811176123,0.7803340183986434,-0.194857337281031,-0.4204145213702708,-0.0653588943694671,8/8,0/8,bootstrap 95% CI,-0.276621477891656,-0.1219285201479607,0.1105595580274434,negative margin CI (unadjusted),8,64,63,100,0.7282641145764808,0.7514310735514259,4,95,0.02316695897494514,0.7228515586840903,0.7332976347943746,0.7461309430712783,0.7565366767483089,negative conditional interval,"Conditional 95% margin interval [-0.276621, -0.121929]; normal-approximation 80%-power margin scale 0.110560, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.728264 with disjoint controls versus 0.751431 with shared controls; 63/64 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scGen,native,linear-PCA,8,0.7496655437905164,0.7803340183986434,-0.0306684746081269,-0.0907367169651823,0.0507260366150839,6/8,2/8,bootstrap 95% CI,-0.0600191224523578,0.0004035620952833,0.0431842883855591,inconclusive (interval spans zero),8,64,63,100,0.7282641145764808,0.7514310735514259,4,95,0.02316695897494514,0.7228515586840903,0.7332976347943746,0.7461309430712783,0.7565366767483089,unresolved difference,"Conditional 95% margin interval [-0.060019, 0.000404]; normal-approximation 80%-power margin scale 0.043184, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.728264 with disjoint controls versus 0.751431 with shared controls; 63/64 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T1,T1,cytokine/Kang,C1,cell-context (LOCT),lineage,scPRAM,native,linear-PCA,8,0.7507165556262891,0.7803340183986434,-0.0296174627723542,-0.1024123422423908,0.0831908155284812,7/8,1/8,bootstrap 95% CI,-0.0602021237379717,0.0065085375686243,0.0476783257450925,inconclusive (interval spans zero),8,64,63,100,0.7282641145764808,0.7514310735514259,4,95,0.02316695897494514,0.7228515586840903,0.7332976347943746,0.7461309430712783,0.7565366767483089,unresolved difference,"Conditional 95% margin interval [-0.060202, 0.006509]; normal-approximation 80%-power margin scale 0.047678, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.728264 with disjoint controls versus 0.751431 with shared controls; 63/64 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T2,T2,donor/Soskic,C2,donor (LODO),donor,Biolord,native,cell-mean,106,0.0821631012822401,0.2598150389070562,-0.1776519376248161,-0.3127072142657431,0.0349665035039794,103/106,3/106,bootstrap 95% CI,-0.1915361187460141,-0.1639783965664256,0.0196955933150263,negative margin CI (unadjusted),106,206,206,100,0.60384168184136,0.7127273462055543,53,300,0.10888566436419433,0.5989291786008357,0.6095113382268426,0.7091919016354045,0.7160140632671715,negative conditional interval,"Conditional 95% margin interval [-0.191536, -0.163978]; normal-approximation 80%-power margin scale 0.019696, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.603842 with disjoint controls versus 0.712727 with shared controls; 206/206 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
T2,T2,donor/Soskic,C2,donor (LODO),donor,CellFlow,native,cell-mean,106,0.2373441850262243,0.2598150389070562,-0.0224708538808319,-0.16039636062176,0.1292222876321938,73/106,33/106,bootstrap 95% CI,-0.0332217299271919,-0.0113774975454759,0.0156121436476297,negative margin CI (unadjusted),106,206,206,100,0.60384168184136,0.7127273462055543,53,300,0.10888566436419433,0.5989291786008357,0.6095113382268426,0.7091919016354045,0.7160140632671715,negative conditional interval,"Conditional 95% margin interval [-0.033222, -0.011377]; normal-approximation 80%-power margin scale 0.015612, not prospective Wilcoxon power or a multiplicity-adjusted detection threshold. Training-seed and shared-fold variation are not covered.","Matched-mask held-target split-half correlation 0.603842 with disjoint controls versus 0.712727 with shared controls; 206/206 strata estimable. The pooled control has more cells than each disjoint half, so this compares control dependence and sampling precision. This diagnoses cell-sampling noise under the recorded feature space, not a prediction ceiling, a correction for attenuation, independent biological replication, or separation of model error from an unlearnable target."
