baseline,is_simple,e_distance,edist_rank,pearson_delta,pd_rank,rank_shift_pd_minus_edist
CINEMA-OT,False,8.08492644734821,1,0.43329905463623586,3,2
linear-PCA,True,8.08506299045042,2,0.2934657633985288,4,2
donor-shift,True,8.085063012359774,3,0.4643947470509309,2,-1
cell-mean,True,8.085063012359774,4,0.4643947470509309,1,-3
ctrl-pred,True,8.092014754326689,5,-0.0024647078585114733,10,5
STATE,False,8.151076876571826,6,-0.005861712426489706,11,5
GEARS,False,8.169501435095375,7,0.16120609205859898,6,-1
scGPT,False,8.247878563171808,8,0.04113974822806594,9,1
AttentionPert,False,8.282944403620313,9,0.18272887630222828,5,-4
CPA,False,9.164894550479158,10,0.07028094716388025,7,-3
scGen,False,9.542478355031237,11,0.052818196181898834,8,-3
